type,capacity,n,mincap_v1_1_div_time,t_size_v1,s_size_v1,mincap_v1_time,t_size_v2,s_size_v2,mincap_v2_time,t_size_v1_1,s_size_v1_1,mincap_v1_1_time,t_size_v2_1,s_size_v2_1,mincap_v2_1_time,t_size_v1_1_div,s_size_v1_1_div,mincap_v1_1_div_time,t_size_v2_1_cut,s_size_v2_1_cut,mincap_v2_1_cut_time,time_original,time_original_allocation,time_original_prealloc,res_original_alloc,time_ks2_v2_allocation,time_ks2_v2,resOpt_v2,time_ks2_v1_allocation,time_ks2_v1,resOpt_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,resOpt_v1_1,time_ks2_v2_allocation_1,time_ks2_v2_1,resOpt_v2_1,time_ks2_v1_allocation_1_div,time_ks2_v1_1_div,resOpt_v1_1_div,time_ks2_allocation_1_cut,time_ks2_v2_1_cut,resOpt_v2_1_cut,time_ks2_v1_nocol_noalloc,time_fminknap_allocation,time_fminknap,resFmin
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.003870,0.001192,0.003195,20253.436981,0.000831,0.004693,20253.436981,0.000774,0.004671,20253.436981,0.000794,0.002928,20253.436981,0.000838,0.002880,20253.436981,0.000012,0.000038,21312.757712,0.000575,0.002119,17576.571232,0.000000,0.000013,0.000008,20253.436981
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.003301,0.001183,0.003230,21373.237610,0.000808,0.005009,21373.237610,0.000970,0.005237,21373.237610,0.000964,0.003261,21373.237610,0.000896,0.003348,21373.237610,0.000013,0.000039,21917.860263,0.000597,0.002216,19684.049326,0.000000,0.000000,0.000007,21373.237610
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.003650,0.001202,0.004525,21112.047457,0.001161,0.006748,21112.047457,0.001022,0.007407,21112.047457,0.001194,0.005513,21112.047457,0.001451,0.004743,21112.047457,0.000016,0.000039,22689.906369,0.000768,0.002958,16845.344813,0.000000,0.000001,0.000008,21112.047457
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.004484,0.001630,0.004248,21718.975026,0.001099,0.006204,21718.975026,0.001076,0.008538,21718.975026,0.001500,0.004564,21718.975026,0.001138,0.004946,21718.975026,0.000018,0.000055,22109.135286,0.000873,0.003615,18156.357276,0.000000,0.000001,0.000011,21718.975026
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.004673,0.001328,0.005566,20170.236051,0.001733,0.009348,20170.236051,0.001218,0.007360,20170.236051,0.001645,0.005240,20170.236051,0.001910,0.004217,20170.236051,0.000021,0.000042,20662.582655,0.000662,0.002354,16841.117226,0.000000,0.000001,0.000007,20170.236051
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.003648,0.001325,0.003573,14615.890042,0.000943,0.005149,14615.890042,0.000897,0.005232,14615.890042,0.000868,0.004284,14615.890042,0.001495,0.005042,14615.890042,0.000023,0.000065,15578.086781,0.000992,0.003786,12122.377142,0.000000,0.000001,0.000018,14615.890042
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.006260,0.002774,0.008690,23106.095153,0.002024,0.010427,23106.095153,0.001776,0.015628,23106.095153,0.003396,0.011119,23106.095153,0.002059,0.006353,23106.095153,0.000025,0.000080,23690.816283,0.000994,0.003725,18836.697488,0.000000,0.000000,0.000007,23106.095153
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.004980,0.001844,0.005481,14169.965536,0.001120,0.005606,14169.965536,0.000866,0.005213,14169.965536,0.000866,0.003282,14169.965536,0.000916,0.004003,14169.965536,0.000016,0.000041,14732.706597,0.000594,0.002236,11574.883985,0.000000,0.000001,0.000007,14169.965536
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.003258,0.001234,0.003231,25904.416908,0.000882,0.004757,25904.416908,0.000794,0.004688,25904.416908,0.000941,0.002906,25904.416908,0.000818,0.004980,25904.416908,0.000016,0.000043,26727.397483,0.000607,0.002322,22138.547039,0.000001,0.000001,0.000007,25904.416908
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.003471,0.001286,0.005254,20630.692093,0.000934,0.005114,20630.692093,0.000878,0.005247,20630.692093,0.000973,0.003858,20630.692093,0.000865,0.002836,20630.692093,0.000014,0.000038,21746.558530,0.000574,0.002202,15670.730298,0.000000,0.000001,0.000008,20630.692093
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.003276,0.001196,0.003263,16634.187032,0.000874,0.004631,16634.187032,0.000775,0.004701,16634.187032,0.000772,0.002855,16634.187032,0.000885,0.002803,16634.187032,0.000014,0.000037,17730.067927,0.000576,0.002134,14141.102000,0.000000,0.000001,0.000009,16634.187032
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.003261,0.001219,0.003241,16379.014890,0.000821,0.005098,16379.014890,0.001043,0.006434,16379.014890,0.000817,0.003018,16379.014890,0.001037,0.002878,16379.014890,0.000014,0.000039,16647.052247,0.000574,0.002105,15017.582632,0.000000,0.000000,0.000008,16379.014890
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.003455,0.001208,0.003214,15759.612620,0.000809,0.005065,15759.612620,0.000909,0.005216,15759.612620,0.000875,0.003249,15759.612620,0.001012,0.004162,15759.612620,0.000018,0.000051,16275.801107,0.000755,0.003332,13085.314287,0.000001,0.000001,0.000014,15759.612620
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.005628,0.001924,0.006439,19956.900244,0.001638,0.007802,19956.900244,0.000900,0.006238,19956.900244,0.000930,0.003497,19956.900244,0.000905,0.003915,19956.900244,0.000016,0.000042,20308.766897,0.000650,0.003764,17183.604998,0.000001,0.000001,0.000027,19956.900244
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.005328,0.001320,0.004398,16163.432671,0.001117,0.006557,16163.432671,0.001122,0.006032,16163.432671,0.001006,0.003594,16163.432671,0.000947,0.004220,16163.432671,0.000018,0.000055,16805.772049,0.000809,0.003049,15868.512693,0.000000,0.000000,0.000009,16163.432671
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.004064,0.001246,0.003790,17484.474918,0.000940,0.006320,17484.474918,0.000779,0.004650,17484.474918,0.000773,0.004450,17484.474918,0.001262,0.003844,17484.474918,0.000014,0.000037,18376.706948,0.000672,0.002147,14429.775849,0.000000,0.000000,0.000012,17484.474918
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.003246,0.001184,0.004275,14695.524340,0.001219,0.007125,14695.524340,0.000806,0.004719,14695.524340,0.000772,0.003025,14695.524340,0.000827,0.003138,14695.524340,0.000014,0.000038,15276.717321,0.000605,0.002141,11709.285185,0.000000,0.000001,0.000009,14695.524340
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.003387,0.001182,0.003375,15441.253557,0.000813,0.004701,15441.253557,0.000774,0.004658,15441.253557,0.000812,0.002933,15441.253557,0.000808,0.003037,15441.253557,0.000015,0.000038,15837.814510,0.000574,0.002138,14665.475194,0.000000,0.000000,0.000008,15441.253557
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.003314,0.001193,0.003189,16934.570780,0.000811,0.004859,16934.570780,0.000778,0.004646,16934.570780,0.000790,0.002868,16934.570780,0.000828,0.002843,16934.570780,0.000014,0.000038,17871.539136,0.000691,0.002244,14051.072483,0.000000,0.000001,0.000007,16934.570780
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.003263,0.001183,0.003256,16803.297607,0.000821,0.004555,16803.297607,0.000912,0.004743,16803.297607,0.000811,0.002849,16803.297607,0.000812,0.002887,16803.297607,0.000013,0.000037,17261.336244,0.000602,0.002099,15200.085669,0.000001,0.000000,0.000007,16803.297607
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.003434,0.001181,0.003227,20555.715531,0.000810,0.004749,20555.715531,0.000787,0.004688,20555.715531,0.000774,0.002921,20555.715531,0.000833,0.003769,20555.715531,0.000017,0.000042,21193.551740,0.000655,0.002350,18504.335659,0.000000,0.000001,0.000006,20555.715531
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.003819,0.001477,0.004388,16134.828416,0.001188,0.004676,16134.828416,0.000787,0.004678,16134.828416,0.000939,0.002904,16134.828416,0.000823,0.002799,16134.828416,0.000015,0.000037,16500.250259,0.000816,0.002201,13110.897412,0.000001,0.000001,0.000008,16134.828416
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.003269,0.001185,0.003344,21570.778924,0.000823,0.004565,21570.778924,0.000800,0.004663,21570.778924,0.000771,0.003026,21570.778924,0.001007,0.003158,21570.778924,0.000015,0.000054,22800.578168,0.000663,0.002620,18291.668670,0.000000,0.000000,0.000008,21570.778924
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.005116,0.001355,0.005590,18374.723690,0.001690,0.007091,18374.723690,0.001112,0.005426,18374.723690,0.000777,0.002865,18374.723690,0.000811,0.003088,18374.723690,0.000015,0.000038,19447.105389,0.000599,0.002132,16930.101746,0.000000,0.000000,0.000009,18374.723690
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.003369,0.001195,0.003240,18303.181063,0.000811,0.005981,18303.181063,0.001162,0.007283,18303.181063,0.001211,0.004864,18303.181063,0.001190,0.004870,18303.181063,0.000018,0.000061,19039.934123,0.000913,0.003751,15705.519357,0.000001,0.000001,0.000010,18303.181063
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.004526,0.001323,0.003988,15615.527516,0.000971,0.005128,15615.527516,0.000867,0.005891,15615.527516,0.000884,0.003960,15615.527516,0.001180,0.005023,15615.527516,0.000018,0.000066,16052.528195,0.000740,0.003759,13639.576611,0.000000,0.000013,0.000017,15615.527516
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.006209,0.001516,0.005880,17863.451762,0.001519,0.007769,17863.451762,0.001142,0.008094,17863.451762,0.001062,0.003569,17863.451762,0.000925,0.003164,17863.451762,0.000018,0.000043,18783.864119,0.000646,0.002390,15868.723453,0.000001,0.000000,0.000010,17863.451762
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.003801,0.001323,0.003746,21979.109961,0.000906,0.004820,21979.109961,0.000795,0.004865,21979.109961,0.000797,0.002946,21979.109961,0.000810,0.002938,21979.109961,0.000015,0.000038,22948.868983,0.000574,0.002175,17860.708852,0.000000,0.000001,0.000009,21979.109961
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.003243,0.001191,0.003394,22840.570783,0.000925,0.004629,22840.570783,0.000775,0.004765,22840.570783,0.000777,0.002882,22840.570783,0.000810,0.002825,22840.570783,0.000013,0.000038,24282.676271,0.000611,0.002119,19568.826762,0.000000,0.000000,0.000008,22840.570783
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.003268,0.001194,0.003242,24951.891755,0.000819,0.004705,24951.891755,0.000789,0.004709,24951.891755,0.000789,0.002907,24951.891755,0.000832,0.002894,24951.891755,0.000013,0.000037,25768.307063,0.000573,0.002227,22126.581357,0.000000,0.000000,0.000006,24951.891755
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.003279,0.001182,0.003289,20124.419455,0.000808,0.004640,20124.419455,0.000955,0.004806,20124.419455,0.000772,0.002912,20124.419455,0.000870,0.002902,20124.419455,0.000012,0.000037,21367.565406,0.000573,0.002122,18432.856139,0.000001,0.000001,0.000008,20124.419455
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.003318,0.001260,0.003218,20996.684229,0.000810,0.004665,20996.684229,0.000773,0.004783,20996.684229,0.000774,0.002907,20996.684229,0.000843,0.002847,20996.684229,0.000013,0.000038,22058.075706,0.000588,0.002107,17887.411852,0.000000,0.000001,0.000008,20996.684229
uncorr,5000,100,0.001616,5001,4211,0.102860,5001,4405,0.066071,5001,4211,0.097714,5001,4405,0.079044,51,51,0.001616,5001,3123,0.065055,0.003538,0.001398,0.004533,19656.169168,0.001255,0.004676,19656.169168,0.000775,0.005003,19656.169168,0.000828,0.003039,19656.169168,0.001019,0.002794,19656.169168,0.000013,0.000038,20504.087288,0.000643,0.002151,16129.661120,0.000001,0.000001,0.000009,19656.169168
