type,capacity,n,t_v1,t_v2,s_v1,s_v2,t_size_v1_div,t_size_v2_cut,s_sizev1_div,s_size_v2_cut,time_v1,time_v2,time_v1_div,time_v2_cut,time_original_prealloc,time_ks2_v1_1,time_ks2_v2_1,time_ks2_v1_1_div,time_ks2_v2_1_cut,res_original_alloc,resOpt_v1_1,resOpt_v2_1,resOpt_v1_1_div,resOpt_v2_1_cut
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.004963,0.006204,0.004140,0.000541,0.003017,20933.872720,20933.872720,20933.872720,20944.453394,18146.772547
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.003440,0.004006,0.002230,0.000273,0.001551,21205.075911,21205.075911,21205.075911,21375.070631,17052.174234
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002617,0.004486,0.002514,0.000279,0.001853,14509.382893,14509.382893,14509.382893,14509.382893,11657.467276
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002956,0.004306,0.002201,0.000271,0.001538,19863.655735,19863.655735,19863.655735,19863.655735,16141.012087
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002635,0.003894,0.002394,0.000268,0.001524,13534.406667,13534.406667,13534.406667,13534.406667,12941.492090
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002547,0.003850,0.002865,0.000288,0.001527,18321.211199,18321.211199,18321.211199,18321.211199,14694.752580
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002685,0.003739,0.002742,0.000347,0.001687,15373.703245,15373.703245,15373.703245,15643.090614,11940.305080
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.002815,0.004388,0.003102,0.000298,0.002429,18416.714704,18416.714704,18416.714704,18416.714704,15455.984358
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.003075,0.005082,0.003149,0.000299,0.001836,16691.079289,16691.079289,16691.079289,16691.079289,13466.783606
uncorr,5000,100,5001,5001,4211,4405,501,5001,472,2802,0.075260,0.046428,0.007062,0.049996,0.003302,0.004879,0.002843,0.000272,0.001515,18697.919377,18697.919377,18697.919377,18811.261933,16033.553539
