type,capacity,n,mincap_v1_1_div_time,t_size_v1,s_size_v1,mincap_v1_time,t_size_v2,s_size_v2,mincap_v2_time,t_size_v1_1,s_size_v1_1,mincap_v1_1_time,t_size_v2_1,s_size_v2_1,mincap_v2_1_time,t_size_v1_1_div,s_size_v1_1_div,mincap_v1_1_div_time,t_size_v2_1_cut,s_size_v2_1_cut,mincap_v2_1_cut_time,time_original,time_original_allocation,time_original_prealloc,res_original_alloc,time_ks2_v2_allocation,time_ks2_v2,resOpt_v2,time_ks2_v1_allocation,time_ks2_v1,resOpt_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,resOpt_v1_1,time_ks2_v2_allocation_1,time_ks2_v2_1,resOpt_v2_1,time_ks2_v1_allocation_1_div,time_ks2_v1_1_div,resOpt_v1_1_div,time_ks2_allocation_1_cut,time_ks2_v2_1_cut,resOpt_v2_1_cut,time_ks2_v1_nocol_noalloc,time_fminknap_allocation,time_fminknap,resFmin
uncorr,5600,100,0.001052,5601,4828,0.121130,5601,5030,0.076728,5601,4828,0.176117,5601,5030,0.110942,57,57,0.001052,5601,5030,0.093520,0.007258,0.001545,0.005438,22037.934605,0.001108,0.004654,22037.934605,0.001170,0.006017,22037.934605,0.001146,0.005353,22037.934605,0.001831,0.007459,22037.934605,0.000023,0.000112,22121.316727,0.002228,0.005037,19481.411408,0.000000,0.000017,0.000008,22037.934605
uncorr,5600,100,0.001052,5601,4828,0.121130,5601,5030,0.076728,5601,4828,0.176117,5601,5030,0.110942,57,57,0.001052,5601,5030,0.093520,0.008379,0.001890,0.005034,23750.471765,0.001384,0.007587,23750.471765,0.001080,0.004638,23750.471765,0.001080,0.003562,23750.471765,0.001151,0.003383,23750.471765,0.000016,0.000038,24524.540130,0.000941,0.002996,21819.011324,0.000001,0.000001,0.000007,23750.471765
uncorr,5600,100,0.001052,5601,4828,0.121130,5601,5030,0.076728,5601,4828,0.176117,5601,5030,0.110942,57,57,0.001052,5601,5030,0.093520,0.003736,0.001311,0.003571,22425.789057,0.000922,0.004350,22425.789057,0.000917,0.004365,22425.789057,0.000895,0.003639,22425.789057,0.000943,0.003173,22425.789057,0.000014,0.000038,23114.583109,0.000923,0.003087,20618.954379,0.000000,0.000001,0.000008,22425.789057
uncorr,5600,100,0.001052,5601,4828,0.121130,5601,5030,0.076728,5601,4828,0.176117,5601,5030,0.110942,57,57,0.001052,5601,5030,0.093520,0.003635,0.001312,0.003540,23173.334824,0.001015,0.004285,23173.334824,0.000988,0.005019,23173.334824,0.001490,0.007761,23173.334824,0.001417,0.003612,23173.334824,0.000043,0.000061,23430.339912,0.001192,0.003386,20925.690539,0.000000,0.000001,0.000006,23173.334824
uncorr,5600,100,0.001052,5601,4828,0.121130,5601,5030,0.076728,5601,4828,0.176117,5601,5030,0.110942,57,57,0.001052,5601,5030,0.093520,0.006157,0.001908,0.005890,29248.064218,0.001454,0.006573,29248.064218,0.001689,0.008871,29248.064218,0.001874,0.007355,29248.064218,0.002371,0.006894,29248.064218,0.000033,0.000086,29553.206979,0.001665,0.005017,24992.590434,0.000000,0.000001,0.000009,29248.064218
uncorr,5600,100,0.001052,5601,4828,0.121130,5601,5030,0.076728,5601,4828,0.176117,5601,5030,0.110942,57,57,0.001052,5601,5030,0.093520,0.004516,0.001610,0.003626,28142.645909,0.000925,0.004329,28142.645909,0.000888,0.004387,28142.645909,0.000889,0.003223,28142.645909,0.000959,0.003180,28142.645909,0.000016,0.000039,28575.926095,0.000945,0.003000,25825.043701,0.000000,0.000000,0.000011,28142.645909
uncorr,5600,100,0.001052,5601,4828,0.121130,5601,5030,0.076728,5601,4828,0.176117,5601,5030,0.110942,57,57,0.001052,5601,5030,0.093520,0.003591,0.001323,0.003555,19234.452877,0.000990,0.004388,19234.452877,0.000886,0.004373,19234.452877,0.000895,0.003199,19234.452877,0.000977,0.003303,19234.452877,0.000015,0.000039,19589.890842,0.000952,0.003073,17371.018153,0.000000,0.000001,0.000008,19234.452877
uncorr,5600,100,0.001052,5601,4828,0.121130,5601,5030,0.076728,5601,4828,0.176117,5601,5030,0.110942,57,57,0.001052,5601,5030,0.093520,0.003579,0.001330,0.003605,26389.700663,0.000924,0.004380,26389.700663,0.000886,0.004412,26389.700663,0.000887,0.003183,26389.700663,0.000940,0.003222,26389.700663,0.000015,0.000039,27041.636384,0.000945,0.002979,23616.816057,0.000001,0.000001,0.000008,26389.700663
uncorr,5600,100,0.001052,5601,4828,0.121130,5601,5030,0.076728,5601,4828,0.176117,5601,5030,0.110942,57,57,0.001052,5601,5030,0.093520,0.003615,0.001314,0.003622,23367.883435,0.000926,0.004366,23367.883435,0.000888,0.004380,23367.883435,0.000897,0.003237,23367.883435,0.000951,0.003201,23367.883435,0.000015,0.000039,24280.599287,0.000947,0.003000,20991.461381,0.000000,0.000001,0.000013,23367.883435
uncorr,5600,100,0.001052,5601,4828,0.121130,5601,5030,0.076728,5601,4828,0.176117,5601,5030,0.110942,57,57,0.001052,5601,5030,0.093520,0.003724,0.001366,0.003558,24356.175725,0.000927,0.006359,24356.175725,0.001439,0.007643,24356.175725,0.001035,0.003474,24356.175725,0.000926,0.003163,24356.175725,0.000015,0.000038,24574.456750,0.000988,0.003020,19706.147048,0.000000,0.000001,0.000006,24356.175725
