type,capacity,n,mincap_v1_1_div_time,t_size_v1,s_size_v1,mincap_v1_time,t_size_v2,s_size_v2,mincap_v2_time,t_size_v1_1,s_size_v1_1,mincap_v1_1_time,t_size_v2_1,s_size_v2_1,mincap_v2_1_time,t_size_v1_1_div,s_size_v1_1_div,mincap_v1_1_div_time,t_size_v2_1_cut,s_size_v2_1_cut,mincap_v2_1_cut_time,time_original,time_original_allocation,time_original_prealloc,res_original_alloc,time_ks2_v2_allocation,time_ks2_v2,resOpt_v2,time_ks2_v1_allocation,time_ks2_v1,resOpt_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,resOpt_v1_1,time_ks2_v2_allocation_1,time_ks2_v2_1,resOpt_v2_1,time_ks2_v1_allocation_1_div,time_ks2_v1_1_div,resOpt_v1_1_div,time_ks2_allocation_1_cut,time_ks2_v2_1_cut,resOpt_v2_1_cut,time_ks2_v1_nocol_noalloc,time_fminknap_allocation,time_fminknap,resFmin
uncorr,6010,100,0.000850,6011,5373,0.092636,6011,5686,0.059962,6011,5373,0.087731,6011,5686,0.053095,61,61,0.000850,6011,4049,0.056498,0.003660,0.001140,0.003100,17293.823525,0.000885,0.003673,17293.823525,0.000843,0.003743,17293.823525,0.000807,0.003824,17293.823525,0.000849,0.002910,17293.823525,0.000012,0.000037,18381.900494,0.000601,0.002435,15735.864645,0.089468,0.000009,0.000008,17293.823525
uncorr,6010,100,0.000850,6011,5373,0.092636,6011,5686,0.059962,6011,5373,0.087731,6011,5686,0.053095,61,61,0.000850,6011,4049,0.056498,0.003245,0.001185,0.003181,22006.126264,0.000888,0.003875,22006.126264,0.000848,0.003769,22006.126264,0.000837,0.004014,22006.126264,0.001126,0.003480,22006.126264,0.000015,0.000043,22866.283216,0.000650,0.002242,19947.302176,0.093447,0.000001,0.000006,22006.126264
uncorr,6010,100,0.000850,6011,5373,0.092636,6011,5686,0.059962,6011,5373,0.087731,6011,5686,0.053095,61,61,0.000850,6011,4049,0.056498,0.003125,0.001133,0.003222,23531.947878,0.000862,0.003710,23531.947878,0.000806,0.003722,23531.947878,0.001061,0.003867,23531.947878,0.000829,0.002813,23531.947878,0.000012,0.000036,24164.065372,0.000623,0.002290,20865.290687,0.096587,0.000000,0.000005,23531.947878
uncorr,6010,100,0.000850,6011,5373,0.092636,6011,5686,0.059962,6011,5373,0.087731,6011,5686,0.053095,61,61,0.000850,6011,4049,0.056498,0.003766,0.001116,0.003050,24416.342607,0.000827,0.003978,24416.342607,0.000817,0.004611,24416.342607,0.001024,0.003868,24416.342607,0.000831,0.002957,24416.342607,0.000014,0.000045,24634.762510,0.000683,0.002440,22633.325263,0.098328,0.000000,0.000006,24416.342607
uncorr,6010,100,0.000850,6011,5373,0.092636,6011,5686,0.059962,6011,5373,0.087731,6011,5686,0.053095,61,61,0.000850,6011,4049,0.056498,0.003705,0.001184,0.003206,21652.077816,0.000904,0.003707,21652.077816,0.000945,0.003974,21652.077816,0.000834,0.003858,21652.077816,0.001013,0.003046,21652.077816,0.000014,0.000038,22418.868720,0.000650,0.002243,20382.904141,0.091680,0.000000,0.000006,21652.077816
uncorr,6010,100,0.000850,6011,5373,0.092636,6011,5686,0.059962,6011,5373,0.087731,6011,5686,0.053095,61,61,0.000850,6011,4049,0.056498,0.003383,0.001225,0.003268,21674.348687,0.000871,0.003915,21674.348687,0.000862,0.003875,21674.348687,0.000848,0.003869,21674.348687,0.001000,0.002945,21674.348687,0.000012,0.000038,22766.077614,0.000686,0.002259,21301.506219,0.092592,0.000001,0.000007,21674.348687
uncorr,6010,100,0.000850,6011,5373,0.092636,6011,5686,0.059962,6011,5373,0.087731,6011,5686,0.053095,61,61,0.000850,6011,4049,0.056498,0.003371,0.001219,0.003294,24203.057630,0.000862,0.003988,24203.057630,0.000855,0.003928,24203.057630,0.000848,0.003910,24203.057630,0.000896,0.003001,24203.057630,0.000037,0.000041,24343.600821,0.000618,0.002337,24036.478712,0.209208,0.000001,0.000006,24203.057630
uncorr,6010,100,0.000850,6011,5373,0.092636,6011,5686,0.059962,6011,5373,0.087731,6011,5686,0.053095,61,61,0.000850,6011,4049,0.056498,0.003307,0.001168,0.003093,28498.778545,0.001407,0.003695,28498.778545,0.000856,0.003765,28498.778545,0.000923,0.003674,28498.778545,0.000918,0.002868,28498.778545,0.000012,0.000043,29748.028856,0.000640,0.002162,26863.173783,0.088918,0.000001,0.000008,28498.778545
uncorr,6010,100,0.000850,6011,5373,0.092636,6011,5686,0.059962,6011,5373,0.087731,6011,5686,0.053095,61,61,0.000850,6011,4049,0.056498,0.003399,0.001692,0.003092,24187.384109,0.000872,0.003621,24187.384109,0.000847,0.003822,24187.384109,0.000878,0.003681,24187.384109,0.000882,0.002914,24187.384109,0.000013,0.000045,25707.613947,0.000611,0.002198,24070.737478,0.088611,0.000001,0.000008,24187.384109
uncorr,6010,100,0.000850,6011,5373,0.092636,6011,5686,0.059962,6011,5373,0.087731,6011,5686,0.053095,61,61,0.000850,6011,4049,0.056498,0.003256,0.001176,0.003178,29130.763443,0.001400,0.005174,29130.763443,0.000855,0.004072,29130.763443,0.000782,0.003986,29130.763443,0.000871,0.002935,29130.763443,0.000014,0.000036,30110.968579,0.000619,0.002151,27053.470068,0.091334,0.000001,0.000007,29130.763443
uncorr,6010,100,0.000850,6011,5373,0.092636,6011,5686,0.059962,6011,5373,0.087731,6011,5686,0.053095,61,61,0.000850,6011,4049,0.056498,0.003140,0.001134,0.003268,19459.135756,0.000852,0.003694,19459.135756,0.000804,0.003722,19459.135756,0.000814,0.003702,19459.135756,0.000855,0.002782,19459.135756,0.000013,0.000036,19497.794507,0.000660,0.002243,19324.334201,0.089176,0.000000,0.000009,19459.135756
uncorr,6010,100,0.000850,6011,5373,0.092636,6011,5686,0.059962,6011,5373,0.087731,6011,5686,0.053095,61,61,0.000850,6011,4049,0.056498,0.003219,0.001166,0.003117,19284.264797,0.000986,0.003690,19284.264797,0.000806,0.003715,19284.264797,0.000806,0.003904,19284.264797,0.000891,0.002786,19284.264797,0.000037,0.000036,19870.714825,0.000607,0.002161,19126.963777,0.088359,0.000001,0.000008,19284.264797
uncorr,6010,100,0.000850,6011,5373,0.092636,6011,5686,0.059962,6011,5373,0.087731,6011,5686,0.053095,61,61,0.000850,6011,4049,0.056498,0.003164,0.001114,0.003094,27125.296578,0.000857,0.003662,27125.296578,0.000891,0.003763,27125.296578,0.000786,0.003755,27125.296578,0.000896,0.002786,27125.296578,0.000013,0.000036,28689.673230,0.000642,0.002156,23921.328638,0.088564,0.000000,0.000007,27125.296578
uncorr,6010,100,0.000850,6011,5373,0.092636,6011,5686,0.059962,6011,5373,0.087731,6011,5686,0.053095,61,61,0.000850,6011,4049,0.056498,0.003146,0.001132,0.003185,28573.119538,0.000943,0.003549,28573.119538,0.000792,0.003706,28573.119538,0.000817,0.003691,28573.119538,0.000854,0.002892,28573.119538,0.000013,0.000036,29091.652923,0.000686,0.002162,26089.395940,0.088274,0.000000,0.000007,28573.119538
uncorr,6010,100,0.000850,6011,5373,0.092636,6011,5686,0.059962,6011,5373,0.087731,6011,5686,0.053095,61,61,0.000850,6011,4049,0.056498,0.003290,0.001145,0.003059,18968.136617,0.000827,0.003727,18968.136617,0.000820,0.003812,18968.136617,0.000804,0.003781,18968.136617,0.000852,0.003169,18968.136617,0.000013,0.000036,19535.389627,0.000622,0.002137,18152.544647,0.089335,0.000001,0.000015,18968.136617
