type,capacity,n,mincap_v1_1_div_time,t_size_v1,s_size_v1,mincap_v1_time,t_size_v2,s_size_v2,mincap_v2_time,t_size_v1_1,s_size_v1_1,mincap_v1_1_time,t_size_v2_1,s_size_v2_1,mincap_v2_1_time,t_size_v1_1_div,s_size_v1_1_div,mincap_v1_1_div_time,t_size_v2_1_cut,s_size_v2_1_cut,mincap_v2_1_cut_time,time_original,time_original_allocation,time_original_prealloc,res_original_alloc,time_ks2_v2_allocation,time_ks2_v2,resOpt_v2,time_ks2_v1_allocation,time_ks2_v1,resOpt_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,resOpt_v1_1,time_ks2_v2_allocation_1,time_ks2_v2_1,resOpt_v2_1,time_ks2_v1_allocation_1_div,time_ks2_v1_1_div,resOpt_v1_1_div,time_ks2_allocation_1_cut,time_ks2_v2_1_cut,resOpt_v2_1_cut,time_ks2_v1_nocol_noalloc,time_fminknap_allocation,time_fminknap,resFmin
uncorr,2500,1250,0.569215,2501,2497,5.685769,2501,2499,3.584713,2501,2497,5.589828,2501,2499,3.596775,251,251,0.569215,2501,2499,3.617348,0.018649,0.006019,0.016233,41026.521557,0.004965,0.016674,41026.521557,0.005024,0.016718,41026.521557,0.004997,0.015588,41026.521557,0.005022,0.015550,41026.521557,0.000584,0.001646,41974.782406,0.004987,0.015660,40814.435294,0.000000,0.000001,0.000032,41026.521557
uncorr,2500,1250,0.569215,2501,2497,5.685769,2501,2499,3.584713,2501,2497,5.589828,2501,2499,3.596775,251,251,0.569215,2501,2499,3.617348,0.018935,0.006046,0.016405,39095.326297,0.004982,0.016813,39095.326297,0.004963,0.016893,39095.326297,0.004986,0.015659,39095.326297,0.004996,0.015603,39095.326297,0.000594,0.001621,39826.668435,0.005016,0.015807,39049.885044,0.000000,0.000001,0.000029,39095.326297
uncorr,2500,1250,0.569215,2501,2497,5.685769,2501,2499,3.584713,2501,2497,5.589828,2501,2499,3.596775,251,251,0.569215,2501,2499,3.617348,0.018578,0.008792,0.022224,37712.011268,0.005824,0.017946,37712.011268,0.005553,0.017765,37712.011268,0.005149,0.016280,37712.011268,0.005109,0.016377,37712.011268,0.000602,0.001753,38442.963799,0.005168,0.016027,37581.403951,0.000000,0.000001,0.000030,37712.011268
uncorr,2500,1250,0.569215,2501,2497,5.685769,2501,2499,3.584713,2501,2497,5.589828,2501,2499,3.596775,251,251,0.569215,2501,2499,3.617348,0.017348,0.006095,0.016641,36523.520366,0.004905,0.016820,36523.520366,0.005147,0.015938,36523.520366,0.004637,0.014597,36523.520366,0.004670,0.014682,36523.520366,0.000573,0.001491,37344.691466,0.004742,0.014604,36375.669065,0.000001,0.000000,0.000039,36523.520366
uncorr,2500,1250,0.569215,2501,2497,5.685769,2501,2499,3.584713,2501,2497,5.589828,2501,2499,3.596775,251,251,0.569215,2501,2499,3.617348,0.015938,0.005768,0.015682,44684.582532,0.004673,0.015771,44684.582532,0.004698,0.015698,44684.582532,0.004657,0.014649,44684.582532,0.004662,0.014623,44684.582532,0.000573,0.001547,45805.774666,0.004678,0.014721,44523.507951,0.000000,0.000001,0.000038,44684.582532
uncorr,2500,1250,0.569215,2501,2497,5.685769,2501,2499,3.584713,2501,2497,5.589828,2501,2499,3.596775,251,251,0.569215,2501,2499,3.617348,0.015878,0.005963,0.015896,32014.007084,0.004691,0.015891,32014.007084,0.004699,0.015788,32014.007084,0.004654,0.014511,32014.007084,0.004685,0.014624,32014.007084,0.000593,0.001525,32727.822710,0.004690,0.014676,31903.345566,0.000001,0.000001,0.000030,32014.007084
uncorr,2500,1250,0.569215,2501,2497,5.685769,2501,2499,3.584713,2501,2497,5.589828,2501,2499,3.596775,251,251,0.569215,2501,2499,3.617348,0.016004,0.005793,0.015765,28584.458975,0.004737,0.015899,28584.458975,0.004686,0.016117,28584.458975,0.004705,0.014637,28584.458975,0.004750,0.014686,28584.458975,0.000599,0.001625,29172.525131,0.004641,0.014738,28486.485423,0.000001,0.000001,0.000029,28584.458975
uncorr,2500,1250,0.569215,2501,2497,5.685769,2501,2499,3.584713,2501,2497,5.589828,2501,2499,3.596775,251,251,0.569215,2501,2499,3.617348,0.015905,0.005719,0.016051,34789.416071,0.004985,0.016744,34789.416071,0.005086,0.016758,34789.416071,0.004999,0.015447,34789.416071,0.004919,0.015582,34789.416071,0.000675,0.001653,35536.855619,0.005079,0.015879,34688.566291,0.000001,0.000001,0.000028,34789.416071
uncorr,2500,1250,0.569215,2501,2497,5.685769,2501,2499,3.584713,2501,2497,5.589828,2501,2499,3.596775,251,251,0.569215,2501,2499,3.617348,0.017320,0.006262,0.016779,37004.375082,0.005086,0.017136,37004.375082,0.005368,0.017182,37004.375082,0.005055,0.015861,37004.375082,0.005075,0.015891,37004.375082,0.000587,0.001672,37677.532971,0.005221,0.016103,36895.277152,0.000000,0.000001,0.000027,37004.375082
uncorr,2500,1250,0.569215,2501,2497,5.685769,2501,2499,3.584713,2501,2497,5.589828,2501,2499,3.596775,251,251,0.569215,2501,2499,3.617348,0.017493,0.006215,0.017065,37638.751236,0.005173,0.016800,37638.751236,0.005174,0.016932,37638.751236,0.004813,0.015716,37638.751236,0.005460,0.016972,37638.751236,0.000576,0.001719,38389.711722,0.005122,0.015424,37500.134186,0.000000,0.000001,0.000027,37638.751236
