type,capacity,n,mincap_v1_1_div_time,t_size_v1,s_size_v1,mincap_v1_time,t_size_v2,s_size_v2,mincap_v2_time,t_size_v1_1,s_size_v1_1,mincap_v1_1_time,t_size_v2_1,s_size_v2_1,mincap_v2_1_time,t_size_v1_1_div,s_size_v1_1_div,mincap_v1_1_div_time,t_size_v2_1_cut,s_size_v2_1_cut,mincap_v2_1_cut_time,time_original,time_original_allocation,time_original_prealloc,res_original_alloc,time_ks2_v2_allocation,time_ks2_v2,resOpt_v2,time_ks2_v1_allocation,time_ks2_v1,resOpt_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,resOpt_v1_1,time_ks2_v2_allocation_1,time_ks2_v2_1,resOpt_v2_1,time_ks2_v1_allocation_1_div,time_ks2_v1_1_div,resOpt_v1_1_div,time_ks2_allocation_1_cut,time_ks2_v2_1_cut,resOpt_v2_1_cut,time_ks2_v1_nocol_noalloc,time_fminknap_allocation,time_fminknap,resFmin
uncorr,900,900,0.166694,901,898,2.514824,901,901,1.393616,901,898,1.446836,901,901,0.888547,91,91,0.166694,901,901,0.929975,0.007436,0.002174,0.005200,10497.790099,0.001666,0.005742,10497.790099,0.001553,0.005263,10497.790099,0.001514,0.005439,10497.790099,0.001755,0.005401,10497.790099,0.000198,0.000571,11498.733537,0.001703,0.005271,10440.115296,0.000001,0.000013,0.000024,10497.790099
uncorr,900,900,0.166694,901,898,2.514824,901,901,1.393616,901,898,1.446836,901,901,0.888547,91,91,0.166694,901,901,0.929975,0.006472,0.002373,0.006797,11199.521665,0.001573,0.005386,11199.521665,0.001493,0.005328,11199.521665,0.001495,0.005034,11199.521665,0.001503,0.004753,11199.521665,0.000175,0.000509,11923.974719,0.001498,0.005337,11084.596308,0.000000,0.000001,0.000028,11199.521665
uncorr,900,900,0.166694,901,898,2.514824,901,901,1.393616,901,898,1.446836,901,901,0.888547,91,91,0.166694,901,901,0.929975,0.005384,0.001893,0.005110,9991.747348,0.001493,0.007290,9991.747348,0.001561,0.005340,9991.747348,0.001522,0.006400,9991.747348,0.001773,0.006586,9991.747348,0.000188,0.000558,10447.856484,0.001864,0.004845,9857.685574,0.000000,0.000000,0.000025,9991.747348
uncorr,900,900,0.166694,901,898,2.514824,901,901,1.393616,901,898,1.446836,901,901,0.888547,91,91,0.166694,901,901,0.929975,0.005315,0.001833,0.006890,10701.248386,0.002296,0.006055,10701.248386,0.001579,0.005154,10701.248386,0.001490,0.006091,10701.248386,0.001595,0.004859,10701.248386,0.000180,0.000524,11520.501797,0.001506,0.004786,10531.396316,0.000001,0.000000,0.000028,10701.248386
uncorr,900,900,0.166694,901,898,2.514824,901,901,1.393616,901,898,1.446836,901,901,0.888547,91,91,0.166694,901,901,0.929975,0.005743,0.001845,0.005239,10460.995470,0.001500,0.005229,10460.995470,0.001524,0.005862,10460.995470,0.001557,0.004942,10460.995470,0.001529,0.004778,10460.995470,0.000189,0.000953,10869.362931,0.001598,0.004783,10337.721027,0.000000,0.000001,0.000030,10460.995470
uncorr,900,900,0.166694,901,898,2.514824,901,901,1.393616,901,898,1.446836,901,901,0.888547,91,91,0.166694,901,901,0.929975,0.005365,0.001841,0.005308,9673.391459,0.001505,0.005138,9673.391459,0.001517,0.005522,9673.391459,0.001540,0.004743,9673.391459,0.001524,0.004876,9673.391459,0.000177,0.000509,10199.491113,0.001609,0.004794,9618.934331,0.000000,0.000001,0.000028,9673.391459
uncorr,900,900,0.166694,901,898,2.514824,901,901,1.393616,901,898,1.446836,901,901,0.888547,91,91,0.166694,901,901,0.929975,0.005191,0.001929,0.010185,10997.820877,0.002765,0.009066,10997.820877,0.001844,0.006691,10997.820877,0.001704,0.008616,10997.820877,0.002035,0.005340,10997.820877,0.000187,0.000840,11830.899729,0.001868,0.005013,10966.060418,0.000000,0.000001,0.000031,10997.820877
uncorr,900,900,0.166694,901,898,2.514824,901,901,1.393616,901,898,1.446836,901,901,0.888547,91,91,0.166694,901,901,0.929975,0.005751,0.001868,0.006247,11402.558541,0.001526,0.005366,11402.558541,0.001492,0.008036,11402.558541,0.001555,0.004938,11402.558541,0.001495,0.005179,11402.558541,0.000198,0.000524,11823.244835,0.001521,0.004764,11254.710414,0.000000,0.000001,0.000030,11402.558541
uncorr,900,900,0.166694,901,898,2.514824,901,901,1.393616,901,898,1.446836,901,901,0.888547,91,91,0.166694,901,901,0.929975,0.005274,0.001831,0.005528,10400.221130,0.001510,0.005290,10400.221130,0.001488,0.005200,10400.221130,0.001521,0.005020,10400.221130,0.001525,0.004770,10400.221130,0.000202,0.000518,11117.403183,0.001526,0.004790,10192.434631,0.000000,0.000000,0.000022,10400.221130
uncorr,900,900,0.166694,901,898,2.514824,901,901,1.393616,901,898,1.446836,901,901,0.888547,91,91,0.166694,901,901,0.929975,0.005559,0.001841,0.005169,10381.314068,0.001494,0.005744,10381.314068,0.001508,0.005359,10381.314068,0.001519,0.004755,10381.314068,0.001905,0.004943,10381.314068,0.000179,0.000522,10904.659702,0.001503,0.004869,10259.326875,0.000000,0.000001,0.000022,10381.314068
