type,capacity,n,mincap_v1_1_div_time,t_size_v1,s_size_v1,mincap_v1_time,t_size_v2,s_size_v2,mincap_v2_time,t_size_v1_1,s_size_v1_1,mincap_v1_1_time,t_size_v2_1,s_size_v2_1,mincap_v2_1_time,t_size_v1_1_div,s_size_v1_1_div,mincap_v1_1_div_time,t_size_v2_1_cut,s_size_v2_1_cut,mincap_v2_1_cut_time,time_original,time_original_allocation,time_original_prealloc,res_original_alloc,time_ks2_v2_allocation,time_ks2_v2,resOpt_v2,time_ks2_v1_allocation,time_ks2_v1,resOpt_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,resOpt_v1_1,time_ks2_v2_allocation_1,time_ks2_v2_1,resOpt_v2_1,time_ks2_v1_allocation_1_div,time_ks2_v1_1_div,resOpt_v1_1_div,time_ks2_allocation_1_cut,time_ks2_v2_1_cut,resOpt_v2_1_cut,time_ks2_v1_nocol_noalloc,time_fminknap_allocation,time_fminknap,resFmin
uncorr,50000,100,0.019487,50001,48543,0.198754,50001,48620,0.121173,50001,48543,0.189223,50001,48620,0.120270,5001,4939,0.019487,50001,48620,0.128192,0.036636,0.015159,0.029664,237371.482524,0.013701,0.077616,237371.482524,0.013877,0.071778,237371.482524,0.017598,0.028058,237371.482524,0.013652,0.028648,237371.482524,0.000770,0.003037,236692.553770,0.013961,0.028797,237371.482524,0.000001,0.000009,0.000007,237371.482524
uncorr,50000,100,0.019487,50001,48543,0.198754,50001,48620,0.121173,50001,48543,0.189223,50001,48620,0.120270,5001,4939,0.019487,50001,48620,0.128192,0.036897,0.015077,0.029579,240631.590561,0.013888,0.070594,240631.590561,0.013638,0.071092,240631.590561,0.013756,0.028821,240631.590561,0.014313,0.028718,240631.590561,0.000769,0.002954,240631.590561,0.014767,0.033137,240631.590561,0.000001,0.000001,0.000007,240631.590561
uncorr,50000,100,0.019487,50001,48543,0.198754,50001,48620,0.121173,50001,48543,0.189223,50001,48620,0.120270,5001,4939,0.019487,50001,48620,0.128192,0.042210,0.029584,0.034720,227304.451917,0.014622,0.075346,227304.451917,0.013483,0.072051,227304.451917,0.013921,0.028697,227304.451917,0.013652,0.030134,227304.451917,0.000781,0.002826,226380.472249,0.013893,0.029616,227304.451917,0.000001,0.000001,0.000009,227304.451917
uncorr,50000,100,0.019487,50001,48543,0.198754,50001,48620,0.121173,50001,48543,0.189223,50001,48620,0.120270,5001,4939,0.019487,50001,48620,0.128192,0.036918,0.015040,0.029138,290841.871806,0.013421,0.070685,290841.871806,0.014957,0.071301,290841.871806,0.013811,0.028882,290841.871806,0.013794,0.028820,290841.871806,0.000746,0.002793,290841.871806,0.013726,0.027900,290841.871806,0.000000,0.000000,0.000006,290841.871806
uncorr,50000,100,0.019487,50001,48543,0.198754,50001,48620,0.121173,50001,48543,0.189223,50001,48620,0.120270,5001,4939,0.019487,50001,48620,0.128192,0.036251,0.014964,0.028725,263664.810371,0.013473,0.070411,263664.810371,0.013653,0.070884,263664.810371,0.013646,0.027788,263664.810371,0.013594,0.027780,263664.810371,0.000767,0.002830,263664.810371,0.013801,0.028438,263664.810371,0.000001,0.000000,0.000009,263664.810371
uncorr,50000,100,0.019487,50001,48543,0.198754,50001,48620,0.121173,50001,48543,0.189223,50001,48620,0.120270,5001,4939,0.019487,50001,48620,0.128192,0.036218,0.015272,0.028806,248911.072106,0.014052,0.073659,248911.072106,0.013589,0.072383,248911.072106,0.014199,0.028562,248911.072106,0.013729,0.028588,248911.072106,0.000781,0.002801,248911.072106,0.014263,0.028623,248911.072106,0.000001,0.000001,0.000008,248911.072106
uncorr,50000,100,0.019487,50001,48543,0.198754,50001,48620,0.121173,50001,48543,0.189223,50001,48620,0.120270,5001,4939,0.019487,50001,48620,0.128192,0.041626,0.015096,0.028888,241506.022530,0.013576,0.070047,241506.022530,0.013601,0.071100,241506.022530,0.013881,0.028077,241506.022530,0.013727,0.028128,241506.022530,0.000753,0.002860,241506.022530,0.013734,0.028121,241506.022530,0.000000,0.000001,0.000009,241506.022530
uncorr,50000,100,0.019487,50001,48543,0.198754,50001,48620,0.121173,50001,48543,0.189223,50001,48620,0.120270,5001,4939,0.019487,50001,48620,0.128192,0.036162,0.015061,0.028796,272130.551707,0.013494,0.070131,272130.551707,0.013806,0.070584,272130.551707,0.013460,0.028047,272130.551707,0.013705,0.028680,272130.551707,0.000812,0.002806,272130.551707,0.013729,0.028228,272130.551707,0.000001,0.000000,0.000008,272130.551707
uncorr,50000,100,0.019487,50001,48543,0.198754,50001,48620,0.121173,50001,48543,0.189223,50001,48620,0.120270,5001,4939,0.019487,50001,48620,0.128192,0.039455,0.015030,0.029714,259316.355633,0.013608,0.070853,259316.355633,0.013646,0.071093,259316.355633,0.013668,0.028681,259316.355633,0.013608,0.029017,259316.355633,0.000804,0.002912,259316.355633,0.013565,0.028675,259316.355633,0.000000,0.000001,0.000011,259316.355633
uncorr,50000,100,0.019487,50001,48543,0.198754,50001,48620,0.121173,50001,48543,0.189223,50001,48620,0.120270,5001,4939,0.019487,50001,48620,0.128192,0.036577,0.014859,0.029282,269306.057495,0.013848,0.070850,269306.057495,0.013756,0.070981,269306.057495,0.013598,0.027767,269306.057495,0.013741,0.027759,269306.057495,0.000767,0.002793,268896.901335,0.013790,0.027701,269306.057495,0.000000,0.000001,0.000016,269306.057495
