ok
type,capacity,n,mincap_v1_1_div_time,t_size_v1,s_size_v1,mincap_v1_time,t_size_v2,s_size_v2,mincap_v2_time,t_size_v1_1,s_size_v1_1,mincap_v1_1_time,t_size_v2_1,s_size_v2_1,mincap_v2_1_time,t_size_v1_1_div,s_size_v1_1_div,mincap_v1_1_div_time,t_size_v2_1_cut,s_size_v2_1_cut,mincap_v2_1_cut_time,time_original,time_original_allocation,time_original_prealloc,res_original_alloc,time_ks2_v2_allocation,time_ks2_v2,resOpt_v2,time_ks2_v1_allocation,time_ks2_v1,resOpt_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,resOpt_v1_1,time_ks2_v2_allocation_1,time_ks2_v2_1,resOpt_v2_1,time_ks2_v1_allocation_1_div,time_ks2_v1_1_div,resOpt_v1_1_div,time_ks2_allocation_1_cut,time_ks2_v2_1_cut,resOpt_v2_1_cut,time_ks2_v1_nocol_noalloc,time_fminknap_allocation,time_fminknap,resFmin
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000523,0.000182,0.000441,5132.484398,0.000073,0.000300,5132.484398,0.000052,0.000257,5132.484398,0.000052,0.000148,5132.484398,0.000062,0.000165,5132.484398,0.000013,0.000031,5132.484398,0.000001,0.000004,0.000000,0.000000,0.000006,0.000006,5132.484398
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000447,0.000182,0.000441,6158.515570,0.000062,0.000290,6158.515570,0.000052,0.000249,6158.515570,0.000052,0.000141,6158.515570,0.000061,0.000164,6158.515570,0.000013,0.000031,6158.515570,0.000001,0.000006,4987.363021,0.000000,0.000000,0.000004,6158.515570
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000443,0.000188,0.000441,11684.742560,0.000062,0.000289,11684.742560,0.000052,0.000250,11684.742560,0.000053,0.000139,11684.742560,0.000062,0.000163,11684.742560,0.000012,0.000031,11684.742560,0.000001,0.000004,2384.349164,0.000000,0.000000,0.000004,11684.742560
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000443,0.000182,0.000440,11029.365744,0.000062,0.000292,11029.365744,0.000051,0.000277,11029.365744,0.000064,0.000147,11029.365744,0.000061,0.000164,11029.365744,0.000013,0.000032,11247.157902,0.000001,0.000004,4221.795348,0.000000,0.000001,0.000003,11029.365744
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000452,0.000182,0.000441,5168.821996,0.000061,0.000288,5168.821996,0.000053,0.000247,5168.821996,0.000052,0.000139,5168.821996,0.000061,0.000164,5168.821996,0.000012,0.000031,5168.821996,0.000001,0.000004,6051.323894,0.000000,0.000000,0.000003,5168.821996
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000450,0.000197,0.000450,4904.717121,0.000062,0.000287,4904.717121,0.000052,0.000251,4904.717121,0.000052,0.000147,4904.717121,0.000062,0.000165,4904.717121,0.000013,0.000031,4947.210048,0.000002,0.000004,2489.188340,0.000000,0.000000,0.000004,4904.717121
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000443,0.000192,0.000442,7734.742106,0.000061,0.000285,7734.742106,0.000052,0.000246,7734.742106,0.000053,0.000139,7734.742106,0.000062,0.000163,7734.742106,0.000013,0.000031,7734.742106,0.000002,0.000004,2081.351557,0.000000,0.000000,0.000003,7734.742106
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000443,0.000182,0.000441,7079.954936,0.000062,0.000318,7079.954936,0.000052,0.000246,7079.954936,0.000052,0.000139,7079.954936,0.000061,0.000163,7079.954936,0.000012,0.000031,7079.954936,0.000001,0.000003,1412.428869,0.000000,0.000000,0.000004,7079.954936
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000444,0.000182,0.000441,9962.811857,0.000062,0.000285,9962.811857,0.000053,0.000251,9962.811857,0.000052,0.000138,9962.811857,0.000061,0.000163,9962.811857,0.000012,0.000031,9962.811857,0.000001,0.000004,1532.663298,0.000000,0.000000,0.000004,9962.811857
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000450,0.000182,0.000447,5265.082239,0.000062,0.000292,5265.082239,0.000053,0.000246,5265.082239,0.000052,0.000140,5265.082239,0.000061,0.000164,5265.082239,0.000013,0.000031,5265.082239,0.000001,0.000004,5074.524560,0.000000,0.000000,0.000002,5265.082239
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000444,0.000182,0.000441,6552.074041,0.000062,0.000318,6552.074041,0.000106,0.000446,6552.074041,0.000070,0.000253,6552.074041,0.000099,0.000304,6552.074041,0.000017,0.000053,6552.074041,0.000001,0.000004,2733.328356,0.000000,0.000001,0.000004,6552.074041
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000693,0.000205,0.000725,10311.123738,0.000082,0.000458,10311.123738,0.000068,0.000397,10311.123738,0.000069,0.000251,10311.123738,0.000069,0.000183,10311.123738,0.000014,0.000034,10446.541353,0.000001,0.000005,2741.620594,0.000000,0.000001,0.000004,10311.123738
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000509,0.000203,0.000492,6267.890207,0.000080,0.000322,6267.890207,0.000059,0.000279,6267.890207,0.000058,0.000157,6267.890207,0.000069,0.000184,6267.890207,0.000014,0.000035,6723.165049,0.000002,0.000004,5123.148262,0.000001,0.000001,0.000004,6267.890207
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000517,0.000203,0.000493,6625.341352,0.000069,0.000328,6625.341352,0.000059,0.000276,6625.341352,0.000058,0.000156,6625.341352,0.000069,0.000190,6625.341352,0.000014,0.000035,6625.341352,0.000001,0.000004,2450.288650,0.000000,0.000001,0.000004,6625.341352
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000494,0.000202,0.000502,6564.263382,0.000070,0.000328,6564.263382,0.000058,0.000289,6564.263382,0.000058,0.000167,6564.263382,0.000069,0.000182,6564.263382,0.000014,0.000035,6770.034617,0.000002,0.000004,3572.650665,0.000000,0.000000,0.000002,6564.263382
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000495,0.000204,0.000477,6177.988478,0.000062,0.000286,6177.988478,0.000052,0.000246,6177.988478,0.000052,0.000139,6177.988478,0.000066,0.000182,6177.988478,0.000014,0.000034,6177.988478,0.000001,0.000005,1692.277580,0.000000,0.000000,0.000014,6177.988478
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000513,0.000230,0.000518,5158.354546,0.000076,0.000503,5158.354546,0.000072,0.000358,5158.354546,0.000058,0.000211,5158.354546,0.000071,0.000288,5158.354546,0.000030,0.000054,5158.354546,0.000003,0.000005,2010.770295,0.000001,0.000000,0.000004,5158.354546
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000608,0.000203,0.000492,6403.892008,0.000069,0.000332,6403.892008,0.000058,0.000287,6403.892008,0.000058,0.000157,6403.892008,0.000068,0.000184,6403.892008,0.000014,0.000035,6403.892008,0.000001,0.000004,3588.653998,0.000000,0.000000,0.000005,6403.892008
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000495,0.000204,0.000492,5823.883684,0.000069,0.000324,5823.883684,0.000058,0.000312,5823.883684,0.000058,0.000155,5823.883684,0.000068,0.000183,5823.883684,0.000014,0.000035,5823.883684,0.000002,0.000004,4581.579723,0.000001,0.000000,0.000004,5823.883684
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000495,0.000203,0.000494,11197.424964,0.000067,0.000308,11197.424964,0.000052,0.000253,11197.424964,0.000058,0.000144,11197.424964,0.000061,0.000180,11197.424964,0.000014,0.000034,11197.424964,0.000001,0.000005,1746.508747,0.000000,0.000001,0.000003,11197.424964
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000542,0.000211,0.000542,9553.795064,0.000070,0.000301,9553.795064,0.000052,0.000294,9553.795064,0.000059,0.000140,9553.795064,0.000062,0.000173,9553.795064,0.000014,0.000036,10823.374931,0.000001,0.000004,4905.658888,0.000000,0.000001,0.000004,9553.795064
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000476,0.000182,0.000455,7265.632331,0.000061,0.000286,7265.632331,0.000052,0.000248,7265.632331,0.000052,0.000150,7265.632331,0.000069,0.000182,7265.632331,0.000013,0.000042,7265.632331,0.000001,0.000005,9525.372905,0.000000,0.000000,0.000004,7265.632331
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000493,0.000229,0.000519,5082.690029,0.000062,0.000300,5082.690029,0.000054,0.000252,5082.690029,0.000052,0.000139,5082.690029,0.000061,0.000163,5082.690029,0.000012,0.000033,5082.690029,0.000001,0.000003,1815.712665,0.000001,0.000000,0.000004,5082.690029
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000470,0.000182,0.000451,7725.037570,0.000062,0.000289,7725.037570,0.000052,0.000261,7364.535658,0.000054,0.000139,7364.535658,0.000061,0.000164,7725.037570,0.000012,0.000030,7725.037570,0.000002,0.000004,5429.205152,0.000000,0.000000,0.000003,7725.037570
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000447,0.000192,0.000442,7821.831463,0.000061,0.000289,7821.831463,0.000052,0.000246,7821.831463,0.000052,0.000139,7821.831463,0.000061,0.000174,7821.831463,0.000012,0.000031,7821.831463,0.000002,0.000004,4503.982802,0.000000,0.000000,0.000004,7821.831463
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000443,0.000182,0.000441,4739.896504,0.000062,0.000285,4739.896504,0.000052,0.000247,4739.896504,0.000052,0.000139,4739.896504,0.000062,0.000170,4739.896504,0.000012,0.000031,4801.474856,0.000002,0.000004,2174.715372,0.000000,0.000000,0.000004,4739.896504
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000443,0.000181,0.000440,6866.171545,0.000062,0.000287,6866.171545,0.000052,0.000248,6866.171545,0.000052,0.000139,6866.171545,0.000061,0.000163,6866.171545,0.000012,0.000031,6866.171545,0.000001,0.000004,1412.316389,0.000000,0.000000,0.000004,6866.171545
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000443,0.000182,0.000441,7587.876210,0.000061,0.000289,7587.876210,0.000052,0.000248,7587.876210,0.000052,0.000139,7587.876210,0.000061,0.000164,7587.876210,0.000013,0.000031,7761.935232,0.000002,0.000004,2488.403065,0.000000,0.000000,0.000004,7587.876210
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000443,0.000182,0.000441,7538.514302,0.000062,0.000285,7538.514302,0.000053,0.000246,7538.514302,0.000052,0.000139,7538.514302,0.000068,0.000170,7538.514302,0.000013,0.000031,7538.514302,0.000001,0.000005,2973.274497,0.000000,0.000001,0.000003,7538.514302
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000457,0.000182,0.000465,6337.395619,0.000061,0.000288,6337.395619,0.000052,0.000250,6337.395619,0.000052,0.000139,6337.395619,0.000062,0.000170,6337.395619,0.000012,0.000030,6337.395619,0.000001,0.000004,1750.976262,0.000000,0.000000,0.000003,6337.395619
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000450,0.000181,0.000451,6008.742956,0.000062,0.000284,6008.742956,0.000052,0.000245,6008.742956,0.000052,0.000138,6008.742956,0.000061,0.000163,6008.742956,0.000012,0.000031,6008.742956,0.000002,0.000004,4060.530400,0.000000,0.000000,0.000004,6008.742956
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000443,0.000181,0.000441,9181.345001,0.000061,0.000317,9181.345001,0.000052,0.000254,9181.345001,0.000052,0.000139,9181.345001,0.000062,0.000163,9181.345001,0.000013,0.000031,9181.345001,0.000001,0.000004,2667.271491,0.000000,0.000000,0.000004,9181.345001
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000444,0.000181,0.000441,11401.750024,0.000062,0.000286,11401.750024,0.000052,0.000245,11401.750024,0.000052,0.000139,11401.750024,0.000062,0.000163,11401.750024,0.000012,0.000031,11548.400580,0.000001,0.000004,4100.700014,0.000000,0.000000,0.000004,11401.750024
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000443,0.000182,0.000441,7895.154744,0.000062,0.000287,7895.154744,0.000052,0.000259,7895.154744,0.000059,0.000138,7895.154744,0.000061,0.000180,7895.154744,0.000012,0.000031,7895.154744,0.000001,0.000004,4017.054668,0.000000,0.000000,0.000003,7895.154744
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000444,0.000182,0.000448,9320.076505,0.000062,0.000288,9320.076505,0.000052,0.000246,9320.076505,0.000052,0.000138,9320.076505,0.000061,0.000164,9320.076505,0.000013,0.000030,9320.076505,0.000001,0.000004,5494.293089,0.000000,0.000000,0.000003,9320.076505
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000442,0.000182,0.000441,7802.202416,0.000061,0.000285,7802.202416,0.000053,0.000253,7802.202416,0.000053,0.000164,7802.202416,0.000069,0.000187,7802.202416,0.000013,0.000031,7802.202416,0.000001,0.000004,2210.180761,0.000001,0.000000,0.000003,7802.202416
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000443,0.000182,0.000440,6547.880154,0.000062,0.000287,6547.880154,0.000052,0.000245,6547.880154,0.000052,0.000138,6547.880154,0.000062,0.000169,6547.880154,0.000013,0.000031,6547.880154,0.000001,0.000003,3336.811273,0.000000,0.000000,0.000004,6547.880154
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000443,0.000183,0.000441,4879.327362,0.000071,0.000289,4879.327362,0.000052,0.000245,4879.327362,0.000052,0.000138,4879.327362,0.000061,0.000163,4879.327362,0.000012,0.000030,4879.327362,0.000001,0.000004,3531.735516,0.000000,0.000000,0.000004,4879.327362
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000460,0.000186,0.000442,8538.539787,0.000062,0.000286,8538.539787,0.000052,0.000248,8538.539787,0.000052,0.000139,8538.539787,0.000061,0.000164,8538.539787,0.000012,0.000031,8538.539787,0.000001,0.000004,2003.249384,0.000000,0.000000,0.000003,8538.539787
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000443,0.000193,0.000441,8131.052088,0.000062,0.000286,8131.052088,0.000052,0.000244,8131.052088,0.000052,0.000138,8131.052088,0.000061,0.000164,8131.052088,0.000013,0.000030,8131.052088,0.000001,0.000004,4385.467219,0.000000,0.000001,0.000004,8131.052088
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000443,0.000182,0.000441,4734.003232,0.000061,0.000286,4734.003232,0.000052,0.000245,4734.003232,0.000052,0.000138,4734.003232,0.000061,0.000162,4734.003232,0.000012,0.000031,5023.743810,0.000001,0.000004,4390.559603,0.000000,0.000000,0.000003,4734.003232
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000458,0.000182,0.000448,5860.440422,0.000061,0.000289,5860.440422,0.000052,0.000245,5860.440422,0.000052,0.000143,5860.440422,0.000061,0.000163,5860.440422,0.000012,0.000031,5860.440422,0.000001,0.000003,3167.286618,0.000000,0.000000,0.000003,5860.440422
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000443,0.000182,0.000441,6172.794347,0.000062,0.000300,6172.794347,0.000052,0.000245,6172.794347,0.000052,0.000138,6172.794347,0.000061,0.000172,6172.794347,0.000014,0.000035,6172.794347,0.000001,0.000006,2334.308743,0.000000,0.000001,0.000003,6172.794347
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000464,0.000183,0.000461,10603.124522,0.000061,0.000284,10603.124522,0.000052,0.000252,10603.124522,0.000052,0.000138,10603.124522,0.000062,0.000163,10603.124522,0.000013,0.000031,10603.124522,0.000001,0.000004,7799.445638,0.000000,0.000000,0.000003,10603.124522
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000465,0.000201,0.000520,6908.128883,0.000086,0.000315,6908.128883,0.000052,0.000249,6908.128883,0.000053,0.000210,6908.128883,0.000089,0.000224,6908.128883,0.000013,0.000033,6908.128883,0.000002,0.000004,2464.487105,0.000001,0.000000,0.000004,6908.128883
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000482,0.000205,0.000444,9629.398331,0.000062,0.000285,9629.398331,0.000053,0.000257,9629.398331,0.000052,0.000139,9629.398331,0.000062,0.000170,9629.398331,0.000013,0.000030,11367.768615,0.000001,0.000004,1943.656544,0.000000,0.000000,0.000004,9629.398331
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000488,0.000189,0.000471,6776.914931,0.000068,0.000297,6776.914931,0.000053,0.000260,6776.914931,0.000058,0.000153,6776.914931,0.000069,0.000176,6776.914931,0.000013,0.000031,6776.914931,0.000001,0.000004,4075.138889,0.000000,0.000000,0.000004,6776.914931
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000443,0.000181,0.000455,5862.002884,0.000062,0.000288,5862.002884,0.000052,0.000250,5862.002884,0.000058,0.000165,5862.002884,0.000062,0.000163,5862.002884,0.000013,0.000031,5862.002884,0.000001,0.000004,5979.291165,0.000000,0.000000,0.000004,5862.002884
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000451,0.000188,0.000441,6429.183899,0.000062,0.000288,6429.183899,0.000058,0.000257,6429.183899,0.000052,0.000138,6429.183899,0.000061,0.000166,6429.183899,0.000012,0.000031,6429.183899,0.000001,0.000004,2866.253380,0.000000,0.000000,0.000002,6429.183899
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000456,0.000181,0.000441,7411.907249,0.000066,0.000320,7411.907249,0.000052,0.000251,7411.907249,0.000052,0.000143,7411.907249,0.000061,0.000180,7411.907249,0.000014,0.000035,7411.907249,0.000002,0.000005,5575.347660,0.000000,0.000000,0.000003,7411.907249
uncorr,1000,100,0.006881,1001,339,0.074220,1001,407,0.043676,1001,339,0.068461,1001,407,0.041883,101,75,0.006881,1001,0,0.041822,0.000443,0.000182,0.000456,7080.202411,0.000062,0.000286,7080.202411,0.000052,0.000244,7080.202411,0.000052,0.000154,7080.202411,0.000064,0.000163,7080.202411,0.000013,0.000030,7080.202411,0.000001,0.000004,2860.611799,0.000000,0.000000,0.000003,7080.202411
