type,capacity,n,mincap_v1_1_div_time,t_size_v1,s_size_v1,mincap_v1_time,t_size_v2,s_size_v2,mincap_v2_time,t_size_v1_1,s_size_v1_1,mincap_v1_1_time,t_size_v2_1,s_size_v2_1,mincap_v2_1_time,t_size_v1_1_div,s_size_v1_1_div,mincap_v1_1_div_time,t_size_v2_1_cut,s_size_v2_1_cut,mincap_v2_1_cut_time,time_original,time_original_allocation,time_original_prealloc,res_original_alloc,time_ks2_v2_allocation,time_ks2_v2,resOpt_v2,time_ks2_v1_allocation,time_ks2_v1,resOpt_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,resOpt_v1_1,time_ks2_v2_allocation_1,time_ks2_v2_1,resOpt_v2_1,time_ks2_v1_allocation_1_div,time_ks2_v1_1_div,resOpt_v1_1_div,time_ks2_allocation_1_cut,time_ks2_v2_1_cut,resOpt_v2_1_cut,time_ks2_v1_nocol_noalloc,time_fminknap_allocation,time_fminknap,resFmin
uncorr,370,100,0.000666,371,29,0.070779,371,30,0.042816,371,29,0.069216,371,30,0.041847,4,4,0.000666,371,30,0.042739,0.000194,0.000064,0.000161,6310.835614,0.000007,0.000022,6310.835614,0.000006,0.000019,6310.835614,0.000006,0.000013,6310.835614,0.000006,0.000014,6310.835614,0.000002,0.000003,5201.236592,0.000006,0.000013,0.000000,0.000001,0.000004,0.000005,6310.835614
uncorr,370,100,0.000666,371,29,0.070779,371,30,0.042816,371,29,0.069216,371,30,0.041847,4,4,0.000666,371,30,0.042739,0.000164,0.000063,0.000161,6211.009190,0.000006,0.000020,6211.009190,0.000006,0.000019,6211.009190,0.000006,0.000012,6211.009190,0.000006,0.000013,6211.009190,0.000002,0.000002,6172.167625,0.000006,0.000016,0.000000,0.000000,0.000000,0.000002,6211.009190
uncorr,370,100,0.000666,371,29,0.070779,371,30,0.042816,371,29,0.069216,371,30,0.041847,4,4,0.000666,371,30,0.042739,0.000163,0.000063,0.000160,2066.808218,0.000007,0.000020,2066.808218,0.000006,0.000019,2066.808218,0.000006,0.000012,2066.808218,0.000006,0.000013,2066.808218,0.000001,0.000003,1994.347977,0.000006,0.000013,0.000000,0.000000,0.000000,0.000003,2066.808218
uncorr,370,100,0.000666,371,29,0.070779,371,30,0.042816,371,29,0.069216,371,30,0.041847,4,4,0.000666,371,30,0.042739,0.000162,0.000063,0.000161,5627.086389,0.000007,0.000020,5627.086389,0.000006,0.000018,5627.086389,0.000006,0.000011,5627.086389,0.000006,0.000013,5627.086389,0.000002,0.000002,5487.494348,0.000006,0.000014,0.000000,0.000000,0.000000,0.000002,5627.086389
uncorr,370,100,0.000666,371,29,0.070779,371,30,0.042816,371,29,0.069216,371,30,0.041847,4,4,0.000666,371,30,0.042739,0.000163,0.000072,0.000160,7656.865818,0.000006,0.000020,7656.865818,0.000006,0.000018,7656.865818,0.000006,0.000012,7656.865818,0.000006,0.000013,7656.865818,0.000002,0.000002,6345.262949,0.000007,0.000013,0.000000,0.000000,0.000000,0.000003,7656.865818
uncorr,370,100,0.000666,371,29,0.070779,371,30,0.042816,371,29,0.069216,371,30,0.041847,4,4,0.000666,371,30,0.042739,0.000163,0.000064,0.000160,4060.120018,0.000006,0.000020,4060.120018,0.000006,0.000019,4060.120018,0.000006,0.000012,4060.120018,0.000006,0.000013,4060.120018,0.000002,0.000002,4378.396089,0.000006,0.000013,0.000000,0.000000,0.000000,0.000002,4060.120018
uncorr,370,100,0.000666,371,29,0.070779,371,30,0.042816,371,29,0.069216,371,30,0.041847,4,4,0.000666,371,30,0.042739,0.000162,0.000064,0.000160,5579.408248,0.000006,0.000020,5579.408248,0.000005,0.000018,5579.408248,0.000006,0.000012,5579.408248,0.000006,0.000013,5579.408248,0.000002,0.000002,4591.535757,0.000006,0.000013,0.000000,0.000000,0.000000,0.000002,5579.408248
uncorr,370,100,0.000666,371,29,0.070779,371,30,0.042816,371,29,0.069216,371,30,0.041847,4,4,0.000666,371,30,0.042739,0.000162,0.000064,0.000160,3090.126440,0.000006,0.000020,3090.126440,0.000006,0.000018,3090.126440,0.000006,0.000011,3090.126440,0.000005,0.000013,3090.126440,0.000001,0.000003,3014.227505,0.000006,0.000013,0.000000,0.000000,0.000000,0.000003,3090.126440
uncorr,370,100,0.000666,371,29,0.070779,371,30,0.042816,371,29,0.069216,371,30,0.041847,4,4,0.000666,371,30,0.042739,0.000163,0.000064,0.000160,3714.000600,0.000006,0.000020,3714.000600,0.000006,0.000018,3714.000600,0.000006,0.000012,3714.000600,0.000006,0.000013,3714.000600,0.000002,0.000002,3366.945726,0.000006,0.000013,0.000000,0.000001,0.000000,0.000003,3714.000600
uncorr,370,100,0.000666,371,29,0.070779,371,30,0.042816,371,29,0.069216,371,30,0.041847,4,4,0.000666,371,30,0.042739,0.000163,0.000064,0.000167,1937.322449,0.000006,0.000020,1937.322449,0.000006,0.000018,1937.322449,0.000006,0.000012,1937.322449,0.000006,0.000013,1937.322449,0.000001,0.000003,1608.390287,0.000006,0.000013,0.000000,0.000000,0.000000,0.000003,1937.322449
uncorr,370,100,0.000666,371,29,0.070779,371,30,0.042816,371,29,0.069216,371,30,0.041847,4,4,0.000666,371,30,0.042739,0.000162,0.000064,0.000160,5290.953581,0.000006,0.000020,5290.953581,0.000006,0.000018,5290.953581,0.000006,0.000011,5290.953581,0.000006,0.000012,5290.953581,0.000001,0.000002,5145.991687,0.000006,0.000013,0.000000,0.000001,0.000000,0.000002,5290.953581
