type,capacity,n,t_v1,t_v2,s_v1,s_v2,t_size_v1_div,t_size_v2_cut,s_sizev1_div,s_size_v2_cut,time_v1,time_v2,time_v1_div,time_v2_cut,time_original_prealloc,time_ks2_v1_1,time_ks2_v2_1,time_ks2_v1_1_div,time_ks2_v2_1_cut,res_original_alloc,resOpt_v1_1,resOpt_v2_1,resOpt_v1_1_div,resOpt_v2_1_cut
uncorr,5000,100,5001,5001,4211,4405,6,5001,6,3637,0.076630,0.048044,0.000064,0.058702,0.002942,0.003674,0.002225,0.000006,0.002101,21121.727510,21121.727510,21121.727510,18273.017756,19243.702390
uncorr,5000,100,5001,5001,4211,4405,6,5001,6,3637,0.076630,0.048044,0.000064,0.058702,0.002519,0.003854,0.002216,0.000006,0.001905,24106.098421,24106.098421,24106.098421,19007.891977,23062.573812
uncorr,5000,100,5001,5001,4211,4405,6,5001,6,3637,0.076630,0.048044,0.000064,0.058702,0.002792,0.004068,0.002257,0.000006,0.001875,13788.577023,13788.577023,13788.577023,13288.235304,13315.211094
uncorr,5000,100,5001,5001,4211,4405,6,5001,6,3637,0.076630,0.048044,0.000064,0.058702,0.002728,0.003890,0.002343,0.000006,0.001889,15698.843200,15698.843200,15698.843200,12200.186802,13840.813763
uncorr,5000,100,5001,5001,4211,4405,6,5001,6,3637,0.076630,0.048044,0.000064,0.058702,0.002634,0.003705,0.002574,0.000006,0.001870,19490.926476,19490.926476,19490.926476,15444.364569,17943.483908
uncorr,5000,100,5001,5001,4211,4405,6,5001,6,3637,0.076630,0.048044,0.000064,0.058702,0.002536,0.003831,0.002220,0.000006,0.002613,19755.605591,19755.605591,19755.605591,14645.767729,17283.729579
uncorr,5000,100,5001,5001,4211,4405,6,5001,6,3637,0.076630,0.048044,0.000064,0.058702,0.002810,0.004156,0.002604,0.000006,0.002467,15090.403835,15090.403835,15090.403835,14538.116766,12871.960657
uncorr,5000,100,5001,5001,4211,4405,6,5001,6,3637,0.076630,0.048044,0.000064,0.058702,0.002791,0.003846,0.002223,0.000006,0.001902,19571.671848,19571.671848,19571.671848,17439.145218,17197.948878
uncorr,5000,100,5001,5001,4211,4405,6,5001,6,3637,0.076630,0.048044,0.000064,0.058702,0.002796,0.004961,0.002714,0.000006,0.002627,21801.025791,21801.025791,21801.025791,18134.907894,19581.456275
uncorr,5000,100,5001,5001,4211,4405,6,5001,6,3637,0.076630,0.048044,0.000064,0.058702,0.003271,0.003788,0.002386,0.000007,0.002149,15179.411575,15179.411575,15179.411575,13052.370644,13246.864349
uncorr,5000,100,5001,5001,4211,4405,6,5001,6,3637,0.076630,0.048044,0.000064,0.058702,0.002789,0.003806,0.002302,0.000005,0.001910,17728.626180,17728.626180,17728.626180,18321.992248,16902.017892
uncorr,5000,100,5001,5001,4211,4405,6,5001,6,3637,0.076630,0.048044,0.000064,0.058702,0.003078,0.003733,0.002218,0.000006,0.002129,16133.017957,16133.017957,16133.017957,16521.695644,14737.677638
