typename,time_original,time_columOpt_prealloc,time_columOpt_prealloc_V1,time_ks2_v1_nocol_noalloc,time_ks2_v1_allocation,time_ks2_allocation,time_ks2_v1_allocation,time_ks2_allocation,time_ks2_v1_allocation,time_ks2_allocation,time_fminknap,resOpt_v1,resOpt,resFmin
s_div: 19974, s_cut: 17855
uncorr,0.000000,0.561215,0.026414,0.000000,0.015203,0.040052,0.015203,0.040052,0.015203,0.040052,0.000010,521668.648367,131443.359484,136507.709059
uncorr,0.000000,0.557867,0.026132,0.000000,0.007765,0.010301,0.007765,0.010301,0.007765,0.010301,0.000012,502392.034821,137031.964701,143655.717058
uncorr,0.000000,0.549259,0.026169,0.000000,0.009801,0.010381,0.009801,0.010381,0.009801,0.010381,0.000009,510686.496817,112946.164819,117904.168297
uncorr,0.000000,0.550396,0.026077,0.000000,0.006770,0.010526,0.006770,0.010526,0.006770,0.010526,0.000011,556629.981927,117862.013124,119149.252912
uncorr,0.000000,0.548668,0.026188,0.000000,0.006784,0.010292,0.006784,0.010292,0.006784,0.010292,0.000008,480312.962999,121492.412187,121560.479771
uncorr,0.000000,0.547902,0.026605,0.000000,0.010193,0.010356,0.010193,0.010356,0.010193,0.010356,0.000009,453701.109976,108581.036136,110417.933206
uncorr,0.000000,0.560600,0.027080,0.000000,0.006798,0.010364,0.006798,0.010364,0.006798,0.010364,0.000011,481340.175956,113696.873623,119045.157845
uncorr,0.000000,0.560247,0.029043,0.000000,0.008392,0.010294,0.008392,0.010294,0.008392,0.010294,0.000010,482921.173764,98788.594497,101399.675003
uncorr,0.000000,0.569212,0.027446,0.000000,0.007568,0.011436,0.007568,0.011436,0.007568,0.011436,0.000011,451318.173113,77954.212137,78683.986517
uncorr,0.000000,0.563154,0.026678,0.000000,0.010502,0.010571,0.010502,0.010571,0.010502,0.010571,0.000010,441643.257112,94487.443277,96980.046354
uncorr,0.000000,0.579529,0.027466,0.000000,0.007085,0.011236,0.007085,0.011236,0.007085,0.011236,0.000009,581958.326922,141364.815608,149098.220530
uncorr,0.000000,0.575683,0.027519,0.000000,0.006854,0.010696,0.006854,0.010696,0.006854,0.010696,0.000009,514257.534516,131279.656170,137353.813187
uncorr,0.000000,0.568098,0.027659,0.000000,0.010810,0.010520,0.010810,0.010520,0.010810,0.010520,0.000010,504325.933112,146246.319694,152346.988448
uncorr,0.000000,0.570103,0.028537,0.000000,0.007222,0.011317,0.007222,0.011317,0.007222,0.011317,0.000010,486083.853305,114144.939476,116907.792366
uncorr,0.000000,0.574236,0.036608,0.000000,0.007709,0.011563,0.007709,0.011563,0.007709,0.011563,0.000012,514342.520659,99611.275787,105064.345674
uncorr,0.000000,0.578388,0.027475,0.000000,0.009897,0.012456,0.009897,0.012456,0.009897,0.012456,0.000010,459268.240984,101068.754619,106244.656691
uncorr,0.000000,0.550323,0.026370,0.000000,0.007367,0.010543,0.007367,0.010543,0.007367,0.010543,0.000009,537144.557179,147639.858177,152622.807472
uncorr,0.000000,0.550008,0.026001,0.000000,0.006718,0.010390,0.006718,0.010390,0.006718,0.010390,0.000010,459383.339804,109963.725333,113813.327139
uncorr,0.000000,0.550448,0.027096,0.000000,0.006725,0.010285,0.006725,0.010285,0.006725,0.010285,0.000008,545083.749409,140196.563595,147646.234536
uncorr,0.000000,0.548823,0.026831,0.000000,0.009944,0.010395,0.009944,0.010395,0.009944,0.010395,0.000009,479852.509974,115064.704595,120331.140146
uncorr,0.000000,0.549471,0.026105,0.000000,0.006914,0.010301,0.006914,0.010301,0.006914,0.010301,0.000011,481654.132999,82938.860110,85847.092859
uncorr,0.000000,0.547885,0.026666,0.000000,0.006745,0.010231,0.006745,0.010231,0.006745,0.010231,0.000013,532758.066389,112962.224565,116840.705691
uncorr,0.000000,0.548695,0.025944,0.000000,0.009741,0.010414,0.009741,0.010414,0.009741,0.010414,0.000010,472330.611817,111120.622523,116928.074134
uncorr,0.000000,0.549097,0.025936,0.000000,0.006700,0.010430,0.006700,0.010430,0.006700,0.010430,0.000009,518955.225288,135391.639007,141354.452913
uncorr,0.000000,0.574113,0.027406,0.000000,0.007155,0.010251,0.007155,0.010251,0.007155,0.010251,0.000007,497277.766376,131899.832668,137845.308896
uncorr,0.000000,0.557921,0.027176,0.000000,0.006716,0.011167,0.006716,0.011167,0.006716,0.011167,0.000010,437282.025777,95995.992845,99539.934673
uncorr,0.000000,0.555142,0.026775,0.000000,0.009865,0.010482,0.009865,0.010482,0.009865,0.010482,0.000008,502124.759018,151111.850438,157674.756020
uncorr,0.000000,0.565381,0.026994,0.000000,0.007525,0.011353,0.007525,0.011353,0.007525,0.011353,0.000009,503553.532199,110355.983365,111499.819362
uncorr,0.000000,0.559313,0.026542,0.000000,0.013679,0.011174,0.013679,0.011174,0.013679,0.011174,0.000010,488113.481880,123693.902976,130340.648144
uncorr,0.000000,0.563856,0.027414,0.000000,0.007814,0.010475,0.007814,0.010475,0.007814,0.010475,0.000011,501760.939931,120758.383007,122850.186552
uncorr,0.000000,0.575093,0.027850,0.000000,0.009447,0.012891,0.009447,0.012891,0.009447,0.012891,0.000008,507723.976722,137004.489823,142403.255141
uncorr,0.000000,0.564514,0.027775,0.000000,0.008738,0.010909,0.008738,0.010909,0.008738,0.010909,0.000008,514599.653024,112014.075762,116972.879304
uncorr,0.000000,0.564781,0.026216,0.000000,0.007084,0.010412,0.007084,0.010412,0.007084,0.010412,0.000011,542308.005173,131192.938499,132413.337186
uncorr,0.000000,0.550195,0.026002,0.000000,0.009415,0.010398,0.009415,0.010398,0.009415,0.010398,0.000009,536174.080631,104097.150377,109829.295628
uncorr,0.000000,0.549878,0.026133,0.000000,0.006760,0.010407,0.006760,0.010407,0.006760,0.010407,0.000009,548383.704672,125803.932640,130890.661661
