typename,columOpt,fminknap,resOpt,resFmin
uncorr,0.146708,0.000034,478760.000000,479636.000000
uncorr,0.159905,0.000033,478760.000000,479636.000000
uncorr,0.146069,0.000033,478760.000000,479636.000000
uncorr,0.147832,0.000033,478760.000000,479636.000000
uncorr,0.158268,0.000033,478760.000000,479636.000000
uncorr,0.146533,0.000033,478760.000000,479636.000000
uncorr,0.158077,0.000033,478760.000000,479636.000000
uncorr,0.149275,0.000033,478760.000000,479636.000000
uncorr,0.147971,0.000033,478760.000000,479636.000000
uncorr,0.148088,0.000032,478760.000000,479636.000000
uncorr,0.147289,0.000035,478760.000000,479636.000000
uncorr,0.145477,0.000064,478760.000000,479636.000000
uncorr,0.147908,0.000032,478760.000000,479636.000000
uncorr,0.175958,0.000033,478760.000000,479636.000000
uncorr,0.162942,0.000047,478760.000000,479636.000000
uncorr,0.162614,0.000033,478760.000000,479636.000000
uncorr,0.155382,0.000034,478760.000000,479636.000000
uncorr,0.147527,0.000032,478760.000000,479636.000000
uncorr,0.146949,0.000033,478760.000000,479636.000000
uncorr,0.146446,0.000033,478760.000000,479636.000000
uncorr,0.147357,0.000065,478760.000000,479636.000000
uncorr,0.145664,0.000031,478760.000000,479636.000000
uncorr,0.146246,0.000033,478760.000000,479636.000000
uncorr,0.162421,0.000033,478760.000000,479636.000000
uncorr,0.150544,0.000034,478760.000000,479636.000000
uncorr,0.146859,0.000033,478760.000000,479636.000000
uncorr,0.148355,0.000033,478760.000000,479636.000000
uncorr,0.146888,0.000033,478760.000000,479636.000000
uncorr,0.153799,0.000034,478760.000000,479636.000000
uncorr,0.146896,0.000033,478760.000000,479636.000000
uncorr,0.145863,0.000032,478760.000000,479636.000000
uncorr,0.148879,0.000033,478760.000000,479636.000000
uncorr,0.187570,0.000033,478760.000000,479636.000000
uncorr,0.158278,0.000035,478760.000000,479636.000000
uncorr,0.150418,0.000033,478760.000000,479636.000000
uncorr,0.178679,0.000042,478760.000000,479636.000000
uncorr,0.180700,0.000041,478760.000000,479636.000000
uncorr,0.189114,0.000038,478760.000000,479636.000000
uncorr,0.175965,0.000036,478760.000000,479636.000000
uncorr,0.183238,0.000036,478760.000000,479636.000000
uncorr,0.186661,0.000053,478760.000000,479636.000000
uncorr,0.170569,0.000034,478760.000000,479636.000000
uncorr,0.154606,0.000033,478760.000000,479636.000000
uncorr,0.148840,0.000033,478760.000000,479636.000000
uncorr,0.150241,0.000034,478760.000000,479636.000000
uncorr,0.146762,0.000032,478760.000000,479636.000000
uncorr,0.148338,0.000033,478760.000000,479636.000000
uncorr,0.150688,0.000033,478760.000000,479636.000000
uncorr,0.149481,0.000033,478760.000000,479636.000000
uncorr,0.150540,0.000033,478760.000000,479636.000000
uncorr,0.147631,0.000034,478760.000000,479636.000000
uncorr,0.146168,0.000032,478760.000000,479636.000000
uncorr,0.150179,0.000034,478760.000000,479636.000000
uncorr,0.150518,0.000033,478760.000000,479636.000000
uncorr,0.164448,0.000047,478760.000000,479636.000000
uncorr,0.152737,0.000033,478760.000000,479636.000000
uncorr,0.180921,0.000050,478760.000000,479636.000000
uncorr,0.183454,0.000034,478760.000000,479636.000000
uncorr,0.162013,0.000034,478760.000000,479636.000000
uncorr,0.163140,0.000033,478760.000000,479636.000000
uncorr,0.172009,0.000042,478760.000000,479636.000000
uncorr,0.170290,0.000034,478760.000000,479636.000000
uncorr,0.147380,0.000043,478760.000000,479636.000000
uncorr,0.153009,0.000033,478760.000000,479636.000000
uncorr,0.165239,0.000054,478760.000000,479636.000000
uncorr,0.158417,0.000034,478760.000000,479636.000000
uncorr,0.152448,0.000033,478760.000000,479636.000000
uncorr,0.149438,0.000062,478760.000000,479636.000000
uncorr,0.165938,0.000034,478760.000000,479636.000000
uncorr,0.162145,0.000034,478760.000000,479636.000000
uncorr,0.171792,0.000034,478760.000000,479636.000000
uncorr,0.151078,0.000048,478760.000000,479636.000000
uncorr,0.170661,0.000036,478760.000000,479636.000000
uncorr,0.149050,0.000034,478760.000000,479636.000000
uncorr,0.151809,0.000033,478760.000000,479636.000000
uncorr,0.166780,0.000050,478760.000000,479636.000000
uncorr,0.148085,0.000035,478760.000000,479636.000000
uncorr,0.156130,0.000033,478760.000000,479636.000000
uncorr,0.148086,0.000033,478760.000000,479636.000000
uncorr,0.151065,0.000034,478760.000000,479636.000000
uncorr,0.148048,0.000033,478760.000000,479636.000000
uncorr,0.145429,0.000032,478760.000000,479636.000000
uncorr,0.179226,0.000033,478760.000000,479636.000000
uncorr,0.173701,0.000034,478760.000000,479636.000000
uncorr,0.157841,0.000034,478760.000000,479636.000000
uncorr,0.153382,0.000041,478760.000000,479636.000000
uncorr,0.153696,0.000035,478760.000000,479636.000000
uncorr,0.155677,0.000034,478760.000000,479636.000000
uncorr,0.149685,0.000033,478760.000000,479636.000000
uncorr,0.166603,0.000033,478760.000000,479636.000000
uncorr,0.154975,0.000036,478760.000000,479636.000000
uncorr,0.187614,0.000034,478760.000000,479636.000000
uncorr,0.152032,0.000033,478760.000000,479636.000000
uncorr,0.157145,0.000034,478760.000000,479636.000000
uncorr,0.152876,0.000034,478760.000000,479636.000000
uncorr,0.159265,0.000034,478760.000000,479636.000000
uncorr,0.171643,0.000034,478760.000000,479636.000000
uncorr,0.162263,0.000034,478760.000000,479636.000000
uncorr,0.147946,0.000033,478760.000000,479636.000000
uncorr,0.159478,0.000034,478760.000000,479636.000000
