typename,original,columOpt_prealloc,columOpt_prealloc_V1,fminknap,resOpt,resFmin
uncorr,0.000754,0.000217,0.000215,0.000008,648.577255,648.577255,648.577255
uncorr,0.000733,0.000220,0.000203,0.000004,653.447543,653.447543,653.447543
uncorr,0.000764,0.000331,0.000203,0.000004,584.901617,584.901617,584.901617
uncorr,0.000747,0.000208,0.000209,0.000007,675.987014,675.987014,675.987014
uncorr,0.000760,0.000225,0.000203,0.000007,441.255688,441.255688,441.255688
uncorr,0.000752,0.000202,0.000203,0.000006,616.950094,616.950094,616.950094
uncorr,0.000876,0.000201,0.000201,0.000008,604.618259,604.618259,604.618259
uncorr,0.000788,0.000201,0.000207,0.000003,659.978003,659.978003,659.978003
uncorr,0.000739,0.000203,0.000203,0.000006,451.220892,451.220892,451.220892
uncorr,0.000764,0.000351,0.000205,0.000005,596.014058,596.014058,596.014058
uncorr,0.000746,0.000204,0.000204,0.000005,465.773508,465.773508,465.773508
uncorr,0.000767,0.000256,0.000204,0.000006,727.351061,727.351061,727.351061
uncorr,0.000744,0.000209,0.000205,0.000005,699.647989,699.647989,699.647989
uncorr,0.000739,0.000219,0.000203,0.000003,537.632795,537.632795,537.632795
uncorr,0.000760,0.000204,0.000205,0.000007,527.389116,527.389116,527.389116
uncorr,0.000911,0.000201,0.000202,0.000009,512.327335,512.327335,512.327335
uncorr,0.000742,0.000204,0.000250,0.000004,617.007934,617.007934,617.007934
uncorr,0.000747,0.000203,0.000204,0.000007,431.395687,431.395687,431.395687
uncorr,0.000735,0.000201,0.000203,0.000005,715.268729,715.268729,715.268729
uncorr,0.000745,0.000201,0.000202,0.000004,723.507282,723.507282,723.507282
uncorr,0.000922,0.000202,0.000203,0.000005,541.908599,541.908599,541.908599
uncorr,0.000749,0.000202,0.000203,0.000007,666.809165,666.809165,666.809165
uncorr,0.000739,0.000208,0.000272,0.000004,564.082554,564.082554,564.082554
uncorr,0.000783,0.000204,0.000204,0.000006,486.777310,486.777310,486.777310
uncorr,0.000913,0.000215,0.000215,0.000005,686.434826,686.434826,686.434826
uncorr,0.000732,0.000203,0.000203,0.000006,617.526562,617.526562,617.526562
uncorr,0.000781,0.000203,0.000203,0.000004,619.535074,619.535074,619.535074
uncorr,0.000733,0.000204,0.000204,0.000004,445.717297,445.717297,445.717297
uncorr,0.000744,0.000215,0.000243,0.000008,648.711421,648.711421,648.711421
uncorr,0.000976,0.000202,0.000203,0.000004,424.484870,424.484870,424.484870
uncorr,0.000768,0.000204,0.000204,0.000004,508.541456,508.541456,508.541456
uncorr,0.000733,0.000208,0.000271,0.000006,703.955577,703.955577,703.955577
uncorr,0.000738,0.000204,0.000205,0.000004,677.622192,677.622192,677.622192
uncorr,0.000777,0.000204,0.000205,0.000007,521.556601,521.556601,521.556601
uncorr,0.000746,0.000203,0.000365,0.000006,663.670061,663.670061,663.670061
uncorr,0.000802,0.000204,0.000205,0.000005,588.626329,588.626329,588.626329
uncorr,0.000750,0.000203,0.000203,0.000006,657.388260,657.388260,657.388260
uncorr,0.000889,0.000203,0.000203,0.000005,554.042650,554.042650,554.042650
uncorr,0.001037,0.000202,0.000205,0.000006,623.943023,623.943023,623.943023
uncorr,0.000751,0.000208,0.000205,0.000003,554.573317,554.573317,554.573317
uncorr,0.000753,0.000211,0.000203,0.000005,622.976767,622.976767,622.976767
uncorr,0.000748,0.000208,0.000203,0.000003,749.965250,749.965250,749.965250
uncorr,0.000776,0.000201,0.000202,0.000005,605.440624,605.440624,605.440624
uncorr,0.000749,0.000203,0.000202,0.000016,523.298018,523.298018,523.298018
uncorr,0.000751,0.000202,0.000203,0.000004,692.280768,692.280768,692.280768
uncorr,0.000755,0.000283,0.000243,0.000007,538.610277,538.610277,538.610277
uncorr,0.000741,0.000203,0.000204,0.000005,594.244837,594.244837,594.244837
uncorr,0.000790,0.000202,0.000201,0.000006,578.744676,578.744676,578.744676
uncorr,0.000749,0.000371,0.000202,0.000005,446.895972,446.895972,446.895972
uncorr,0.000772,0.000204,0.000204,0.000006,509.545506,509.545506,509.545506
uncorr,0.000764,0.000205,0.000205,0.000006,562.697223,562.697223,562.697223
uncorr,0.000747,0.000203,0.000204,0.000006,639.105822,639.105822,639.105822
uncorr,0.001313,0.000203,0.000207,0.000009,647.692856,647.692856,647.692856
uncorr,0.000860,0.000209,0.000209,0.000005,519.430433,519.430433,519.430433
uncorr,0.000775,0.000204,0.000204,0.000006,802.315980,802.315980,802.315980
uncorr,0.001024,0.000203,0.000203,0.000006,654.554837,654.554837,654.554837
uncorr,0.001106,0.000202,0.000211,0.000010,525.794627,525.794627,525.794627
uncorr,0.001392,0.000335,0.000333,0.000007,563.987117,563.987117,563.987117
uncorr,0.001064,0.000360,0.000385,0.000008,470.866471,470.866471,470.866471
uncorr,0.001150,0.000324,0.000414,0.000006,650.845331,650.845331,650.845331
uncorr,0.000775,0.000514,0.000230,0.000006,458.139106,458.139106,458.139106
uncorr,0.000747,0.000210,0.000204,0.000005,633.319007,633.319007,633.319007
uncorr,0.000742,0.000202,0.000203,0.000006,630.537224,630.537224,630.537224
uncorr,0.000746,0.000268,0.000208,0.000004,627.396220,627.396220,627.396220
uncorr,0.000770,0.000204,0.000204,0.000005,525.546676,525.546676,525.546676
uncorr,0.000743,0.000202,0.000203,0.000005,691.427610,691.427610,691.427610
uncorr,0.000731,0.000201,0.000203,0.000003,562.273686,562.273686,562.273686
uncorr,0.000774,0.000202,0.000202,0.000007,674.592585,674.592585,674.592585
uncorr,0.000741,0.000291,0.000202,0.000006,666.846018,666.846018,666.846018
uncorr,0.000777,0.000214,0.000204,0.000005,592.994283,592.994283,592.994283
uncorr,0.000741,0.000202,0.000202,0.000005,595.701626,595.701626,595.701626
uncorr,0.000744,0.000201,0.000202,0.000004,775.339439,775.339439,775.339439
uncorr,0.001022,0.000202,0.000204,0.000006,611.636516,611.636516,611.636516
uncorr,0.000753,0.000202,0.000203,0.000005,602.945711,602.945711,602.945711
uncorr,0.000742,0.000208,0.000208,0.000008,630.080593,630.080593,630.080593
uncorr,0.000743,0.000201,0.000202,0.000005,564.418840,564.418840,564.418840
uncorr,0.000781,0.000203,0.000204,0.000004,590.147885,590.147885,590.147885
uncorr,0.000974,0.000201,0.000320,0.000004,492.292262,492.292262,492.292262
uncorr,0.000782,0.000209,0.000209,0.000005,662.928878,662.928878,662.928878
uncorr,0.000753,0.000203,0.000203,0.000006,659.283136,659.283136,659.283136
uncorr,0.000768,0.000202,0.000202,0.000004,646.562047,646.562047,646.562047
uncorr,0.001008,0.000202,0.000203,0.000004,609.017257,609.017257,609.017257
uncorr,0.000753,0.000202,0.000203,0.000004,569.439627,569.439627,569.439627
uncorr,0.000738,0.000201,0.000213,0.000004,739.331522,739.331522,739.331522
uncorr,0.000748,0.000211,0.000204,0.000005,619.552218,619.552218,619.552218
uncorr,0.000800,0.000201,0.000202,0.000005,671.252220,671.252220,671.252220
uncorr,0.000738,0.000203,0.000209,0.000005,629.870455,629.870455,629.870455
uncorr,0.000754,0.000202,0.000203,0.000003,550.655040,550.655040,550.655040
uncorr,0.000742,0.000246,0.000203,0.000005,739.085520,739.085520,739.085520
uncorr,0.000732,0.000214,0.000204,0.000004,655.538388,655.538388,655.538388
uncorr,0.000779,0.000202,0.000202,0.000007,740.855236,740.855236,740.855236
uncorr,0.000755,0.000417,0.000208,0.000005,757.069311,757.069311,757.069311
uncorr,0.001378,0.000203,0.000205,0.000012,512.992534,512.992534,512.992534
uncorr,0.000935,0.000447,0.000421,0.000010,596.380345,596.380345,596.380345
