typename,time_original,time_columOpt_prealloc,time_columOpt_prealloc_V1,time_fminknap,resOpt_v1,resOpt,resFmin
uncorr,0.132818,0.060702,0.053871,0.000016,63804.437449,63804.437449,63804.437449
uncorr,0.134882,0.058412,0.055620,0.000006,77243.308752,77243.308752,77243.308752
uncorr,0.137839,0.059646,0.054167,0.000005,91607.804566,91607.804566,91607.804566
uncorr,0.144111,0.061092,0.056726,0.000004,55389.500876,55389.500876,55389.500876
uncorr,0.133068,0.058544,0.056943,0.000006,41586.146274,41586.146274,41586.146274
uncorr,0.133562,0.058615,0.053648,0.000006,67998.507760,67998.507760,67998.507760
uncorr,0.137260,0.060935,0.056403,0.000007,56419.776554,56419.776554,56419.776554
uncorr,0.134890,0.059225,0.054607,0.000006,51030.893270,51030.893270,51030.893270
uncorr,0.138963,0.059216,0.054086,0.000006,68765.494075,68765.494075,68765.494075
uncorr,0.133626,0.058667,0.054256,0.000005,49746.938356,49746.938356,49746.938356
uncorr,0.132814,0.059338,0.053977,0.000005,56995.607103,56995.607103,56995.607103
uncorr,0.131542,0.058857,0.054486,0.000007,62577.628617,62577.628617,62577.628617
uncorr,0.133029,0.058111,0.053669,0.000008,49639.566979,49639.566979,49639.566979
uncorr,0.134646,0.058580,0.053819,0.000006,67468.222651,67468.222651,67468.222651
uncorr,0.131781,0.058883,0.053914,0.000006,70164.370138,70164.370138,70164.370138
uncorr,0.132653,0.058563,0.054165,0.000006,63301.287881,63301.287881,63301.287881
uncorr,0.133354,0.058501,0.053840,0.000007,42179.990576,42179.990576,42179.990576
uncorr,0.134069,0.058354,0.053703,0.000007,61416.632152,61416.632152,61416.632152
uncorr,0.133458,0.058516,0.054128,0.000005,85811.295759,85811.295759,85811.295759
uncorr,0.135564,0.058560,0.055830,0.000006,67039.542681,67039.542681,67039.542681
uncorr,0.132498,0.058321,0.053896,0.000007,58852.137169,58852.137169,58852.137169
uncorr,0.143310,0.059263,0.054057,0.000007,56758.678530,56758.678530,56758.678530
uncorr,0.134216,0.058648,0.064382,0.000005,59161.808173,59161.808173,59161.808173
uncorr,0.135774,0.058819,0.054255,0.000005,90164.703679,90164.703679,90164.703679
uncorr,0.133878,0.058459,0.053758,0.000007,55176.169929,55176.169929,55176.169929
uncorr,0.134929,0.060221,0.054505,0.000008,53444.717146,53444.717146,53444.717146
uncorr,0.132311,0.058257,0.053798,0.000006,58109.936009,58109.936009,58109.936009
uncorr,0.137388,0.059068,0.054323,0.000006,51600.329440,51600.329440,51600.329440
uncorr,0.132884,0.059155,0.054160,0.000005,69366.374134,69366.374134,69366.374134
uncorr,0.133256,0.058662,0.054369,0.000006,60747.679768,60747.679768,60747.679768
uncorr,0.134629,0.058820,0.054092,0.000008,39988.457811,39988.457811,39988.457811
uncorr,0.132864,0.058579,0.053746,0.000007,63546.040574,63546.040574,63546.040574
uncorr,0.133779,0.058704,0.053659,0.000005,39425.063946,39425.063946,39425.063946
uncorr,0.133176,0.058621,0.054885,0.000007,70125.103482,70125.103482,70125.103482
uncorr,0.147530,0.059034,0.054093,0.000007,55562.906842,55562.906842,55562.906842
uncorr,0.144011,0.058673,0.053650,0.000007,67327.839645,67327.839645,67327.839645
uncorr,0.138964,0.062576,0.057291,0.000005,51767.663974,51767.663974,51767.663974
uncorr,0.137382,0.059489,0.055069,0.000008,48489.926994,48489.926994,48489.926994
uncorr,0.133358,0.060971,0.054110,0.000006,35710.049623,35710.049623,35710.049623
uncorr,0.138465,0.058658,0.054081,0.000007,65413.651515,65413.651515,65413.651515
uncorr,0.146321,0.064384,0.055618,0.000005,60528.576516,60528.576516,60528.576516
uncorr,0.148049,0.062318,0.057366,0.000007,44530.472322,44530.472322,44530.472322
uncorr,0.144513,0.090272,0.056741,0.000007,50892.265392,50892.265392,50892.265392
uncorr,0.147082,0.061205,0.056848,0.000007,68642.186768,68642.186768,68642.186768
uncorr,0.137824,0.064548,0.058939,0.000006,59911.498141,59911.498141,59911.498141
uncorr,0.155005,0.059592,0.053982,0.000006,47963.452424,47963.452424,47963.452424
uncorr,0.136334,0.059911,0.058653,0.000006,59049.359670,59049.359670,59049.359670
uncorr,0.142159,0.060540,0.055631,0.000005,73420.118242,73420.118242,73420.118242
uncorr,0.135617,0.060135,0.055650,0.000005,51000.344986,51000.344986,51000.344986
uncorr,0.134275,0.059187,0.058244,0.000006,37688.390175,37688.390175,37688.390175
uncorr,0.140403,0.058339,0.054052,0.000005,54805.120489,54805.120489,54805.120489
uncorr,0.143450,0.060059,0.055531,0.000008,57177.489273,57177.489273,57177.489273
uncorr,0.149829,0.061936,0.059311,0.000008,60186.463513,60186.463513,60186.463513
uncorr,0.139456,0.060045,0.056437,0.000005,62207.844612,62207.844612,62207.844612
uncorr,0.139363,0.060471,0.055681,0.000007,43767.631578,43767.631578,43767.631578
uncorr,0.147390,0.059345,0.054447,0.000006,69980.569196,69980.569196,69980.569196
uncorr,0.133574,0.059045,0.053779,0.000005,47935.596952,47935.596952,47935.596952
uncorr,0.142268,0.058751,0.054134,0.000006,65301.440914,65301.440914,65301.440914
uncorr,0.135630,0.061216,0.054753,0.000006,67978.815974,67978.815974,67978.815974
uncorr,0.132672,0.058759,0.053699,0.000006,79397.158391,79397.158391,79397.158391
uncorr,0.134885,0.058815,0.053949,0.000005,82553.922925,82553.922925,82553.922925
uncorr,0.131940,0.058447,0.053845,0.000006,70671.375786,70671.375786,70671.375786
uncorr,0.136474,0.058503,0.054179,0.000005,64357.458235,64357.458235,64357.458235
uncorr,0.131422,0.058711,0.053819,0.000006,50106.523204,50106.523204,50106.523204
uncorr,0.132281,0.058635,0.053864,0.000007,45553.152664,45553.152664,45553.152664
uncorr,0.133430,0.058357,0.055022,0.000005,53321.501058,53321.501058,53321.501058
uncorr,0.134622,0.058297,0.054180,0.000020,57962.570226,57962.570226,57962.570226
uncorr,0.132041,0.058568,0.053668,0.000005,54233.963280,54233.963280,54233.963280
uncorr,0.133639,0.058342,0.053781,0.000007,66871.821240,66871.821240,66871.821240
uncorr,0.131476,0.058958,0.054077,0.000005,55542.360613,55542.360613,55542.360613
uncorr,0.132463,0.058191,0.053854,0.000007,59165.163194,59165.163194,59165.163194
uncorr,0.133160,0.058397,0.056039,0.000006,57853.680372,57853.680372,57853.680372
uncorr,0.133653,0.059126,0.054097,0.000007,66344.545899,66344.545899,66344.545899
uncorr,0.133488,0.058716,0.054929,0.000005,53385.131047,53385.131047,53385.131047
uncorr,0.133495,0.059377,0.054174,0.000007,49819.736573,49819.736573,49819.736573
uncorr,0.134149,0.058684,0.054157,0.000006,69782.203469,69782.203469,69782.203469
uncorr,0.131766,0.058585,0.054021,0.000006,69563.076903,69563.076903,69563.076903
uncorr,0.132352,0.058519,0.054033,0.000007,66312.200817,66312.200817,66312.200817
uncorr,0.134223,0.058298,0.054454,0.000006,61876.967009,61876.967009,61876.967009
uncorr,0.133266,0.059016,0.054206,0.000007,51317.065297,51317.065297,51317.065297
uncorr,0.133406,0.058472,0.053967,0.000005,65628.016047,65628.016047,65628.016047
uncorr,0.131985,0.058466,0.053926,0.000006,38561.903483,38561.903483,38561.903483
uncorr,0.133664,0.058296,0.053731,0.000006,80252.604080,80252.604080,80252.604080
uncorr,0.136721,0.058558,0.053855,0.000008,60821.179589,60821.179589,60821.179589
uncorr,0.135194,0.061311,0.054248,0.000008,60538.540713,60538.540713,60538.540713
uncorr,0.133034,0.058675,0.054229,0.000005,58225.519585,58225.519585,58225.519585
uncorr,0.135220,0.058333,0.053781,0.000006,40146.283375,40146.283375,40146.283375
uncorr,0.133692,0.061386,0.054503,0.000007,62209.519658,62209.519658,62209.519658
uncorr,0.133489,0.058903,0.054073,0.000009,44813.868596,44813.868596,44813.868596
uncorr,0.132848,0.059126,0.054255,0.000005,67076.939320,67076.939320,67076.939320
uncorr,0.131789,0.058611,0.053829,0.000005,50118.574689,50118.574689,50118.574689
uncorr,0.132136,0.058413,0.053814,0.000007,57085.026462,57085.026462,57085.026462
uncorr,0.134251,0.058468,0.054261,0.000006,47144.071698,47144.071698,47144.071698
uncorr,0.133287,0.058822,0.054071,0.000005,64286.168291,64286.168291,64286.168291
uncorr,0.133663,0.059920,0.054092,0.000006,60015.614120,60015.614120,60015.614120
uncorr,0.132910,0.058273,0.053675,0.000005,53466.298968,53466.298968,53466.298968
uncorr,0.133355,0.058417,0.053889,0.000006,62373.819035,62373.819035,62373.819035
uncorr,0.132861,0.058210,0.053830,0.000006,45526.530517,45526.530517,45526.530517
uncorr,0.132422,0.058277,0.056343,0.000006,49503.808185,49503.808185,49503.808185
uncorr,0.132919,0.058470,0.056005,0.000006,80309.618250,80309.618250,80309.618250
almost,0.133869,0.058711,0.054123,0.000006,30948.731205,30948.731205,30948.731205
almost,0.137339,0.058601,0.053974,0.000006,23098.548095,23098.548095,23098.548095
almost,0.131980,0.060599,0.055723,0.000006,33434.023346,33434.023346,33434.023346
almost,0.133211,0.059896,0.054083,0.000005,36170.603520,36170.603520,36170.603520
almost,0.133167,0.058936,0.068080,0.000006,34647.216776,34647.216776,34647.216776
almost,0.132491,0.060440,0.053907,0.000006,26452.502014,26452.502014,26452.502014
almost,0.132984,0.058441,0.053748,0.000004,28857.430963,28857.430963,28857.430963
almost,0.133196,0.060222,0.056622,0.000006,33159.622631,33159.622631,33159.622631
almost,0.133960,0.058584,0.054117,0.000010,32453.778004,32453.778004,32453.778004
almost,0.134436,0.058696,0.054080,0.000005,32097.143324,32097.143324,32097.143324
almost,0.134051,0.058574,0.056552,0.000008,27067.426050,27067.426050,27067.426050
almost,0.137501,0.060655,0.053903,0.000006,34635.593618,34635.593618,34635.593618
almost,0.135235,0.058833,0.054185,0.000006,39770.804793,39770.804793,39770.804793
almost,0.132333,0.058125,0.053605,0.000006,30384.549428,30384.549428,30384.549428
almost,0.132382,0.058231,0.053690,0.000006,26359.439162,26359.439162,26359.439162
almost,0.131422,0.058304,0.054051,0.000006,27160.664342,27160.664342,27160.664342
almost,0.148850,0.058199,0.053712,0.000005,27987.430458,27987.430458,27987.430458
almost,0.132350,0.058869,0.054074,0.000006,28644.606997,28644.606997,28644.606997
almost,0.131887,0.058774,0.054143,0.000008,28084.195712,28084.195712,28084.195712
almost,0.132663,0.058136,0.054243,0.000006,31319.899718,31319.899718,31319.899718
almost,0.134670,0.058926,0.056226,0.000005,36721.667778,36721.667778,36721.667778
almost,0.143978,0.058727,0.053846,0.000006,42098.987606,42098.987606,42098.987606
almost,0.140357,0.058832,0.057516,0.000005,26324.520474,26324.520474,26324.520474
almost,0.134090,0.058917,0.054079,0.000005,27642.546485,27642.546485,27642.546485
almost,0.132911,0.058748,0.056603,0.000006,25312.412924,25312.412924,25312.412924
almost,0.144038,0.060164,0.055167,0.000009,27080.590608,27080.590608,27080.590608
almost,0.133555,0.059416,0.054050,0.000005,27183.766020,27183.766020,27183.766020
almost,0.132225,0.058633,0.053979,0.000005,39085.000979,39085.000979,39085.000979
almost,0.132148,0.058355,0.054417,0.000007,27283.999797,27283.999797,27283.999797
almost,0.136425,0.058688,0.053729,0.000007,22956.950413,22956.950413,22956.950413
almost,0.133646,0.058968,0.053959,0.000007,34848.161719,34848.161719,34848.161719
almost,0.133295,0.060493,0.053950,0.000007,27885.524004,27885.524004,27885.524004
almost,0.136373,0.058312,0.054078,0.000006,29627.873958,29627.873958,29627.873958
almost,0.136055,0.058839,0.054086,0.000007,31192.334974,31192.334974,31192.334974
almost,0.133019,0.058286,0.053709,0.000009,28357.060649,28357.060649,28357.060649
almost,0.133958,0.076237,0.053558,0.000006,32702.485666,32702.485666,32702.485666
almost,0.133904,0.058247,0.053951,0.000007,30113.863273,30113.863273,30113.863273
almost,0.134021,0.058659,0.054118,0.000007,28919.414505,28919.414505,28919.414505
almost,0.133933,0.058722,0.054301,0.000007,27625.109243,27625.109243,27625.109243
almost,0.132969,0.058062,0.053840,0.000006,28290.210705,28290.210705,28290.210705
almost,0.133444,0.058217,0.053837,0.000008,24203.361684,24203.361684,24203.361684
almost,0.133348,0.058337,0.054127,0.000007,24237.514779,24237.514779,24237.514779
almost,0.132420,0.060920,0.054928,0.000006,31768.814615,31768.814615,31768.814615
almost,0.132857,0.058102,0.054635,0.000008,30287.208098,30287.208098,30287.208098
almost,0.133708,0.058746,0.056655,0.000007,29519.526451,29519.526451,29519.526451
almost,0.137465,0.059289,0.056018,0.000008,42621.832983,42621.832983,42621.832983
almost,0.133426,0.058766,0.054166,0.000019,27682.869202,27682.869202,27682.869202
almost,0.132909,0.058745,0.054364,0.000006,34089.558539,34089.558539,34089.558539
almost,0.134075,0.059841,0.054891,0.000005,31490.717986,31490.717986,31490.717986
almost,0.134497,0.058609,0.056426,0.000006,33715.997058,33715.997058,33715.997058
almost,0.132973,0.058758,0.054207,0.000008,28334.046017,28334.046017,28334.046017
almost,0.138149,0.058544,0.054016,0.000005,33376.643723,33376.643723,33376.643723
almost,0.136149,0.060644,0.055570,0.000007,27641.835197,27641.835197,27641.835197
almost,0.133998,0.058669,0.054094,0.000008,25456.275852,25456.275852,25456.275852
almost,0.133229,0.058562,0.054591,0.000007,27920.156687,27920.156687,27920.156687
almost,0.133356,0.058671,0.054420,0.000006,28183.146346,28183.146346,28183.146346
almost,0.133046,0.058594,0.054093,0.000008,29231.308721,29231.308721,29231.308721
almost,0.131320,0.059331,0.056114,0.000007,27733.967598,27733.967598,27733.967598
almost,0.131426,0.058255,0.053681,0.000007,36070.933949,36070.933949,36070.933949
almost,0.134515,0.058287,0.055888,0.000008,25284.419025,25284.419025,25284.419025
almost,0.134981,0.058561,0.054052,0.000007,36079.063759,36079.063759,36079.063759
almost,0.133977,0.058490,0.054138,0.000006,27112.305838,27112.305838,27112.305838
almost,0.133518,0.058728,0.053987,0.000005,24913.188691,24913.188691,24913.188691
almost,0.131595,0.058601,0.054107,0.000006,28502.790500,28502.790500,28502.790500
almost,0.133550,0.058578,0.054290,0.000005,35516.634724,35516.634724,35516.634724
almost,0.133328,0.060389,0.054006,0.000006,31742.305781,31742.305781,31742.305781
almost,0.132742,0.058757,0.054065,0.000006,25729.181700,25729.181700,25729.181700
almost,0.134926,0.059667,0.054146,0.000008,30282.497191,30282.497191,30282.497191
almost,0.132158,0.058431,0.055374,0.000008,29750.721271,29750.721271,29750.721271
almost,0.133354,0.058369,0.054295,0.000008,27465.153660,27465.153660,27465.153660
almost,0.133557,0.058710,0.053921,0.000006,21975.521481,21975.521481,21975.521481
almost,0.133153,0.058914,0.054083,0.000006,33626.888638,33626.888638,33626.888638
almost,0.135369,0.058743,0.054345,0.000010,28912.457338,28912.457338,28912.457338
almost,0.133038,0.058694,0.053893,0.000006,28899.294330,28899.294330,28899.294330
almost,0.135599,0.059052,0.054022,0.000005,24893.485002,24893.485002,24893.485002
almost,0.132553,0.058381,0.053658,0.000007,29891.262531,29891.262531,29891.262531
almost,0.133407,0.058599,0.054220,0.000008,28065.816320,28065.816320,28065.816320
almost,0.133494,0.058712,0.053977,0.000007,33676.131100,33676.131100,33676.131100
almost,0.133812,0.058765,0.054692,0.000007,27976.484919,27976.484919,27976.484919
almost,0.131621,0.058688,0.054126,0.000005,34293.919186,34293.919186,34293.919186
almost,0.135319,0.058154,0.055968,0.000007,24954.874505,24954.874505,24954.874505
almost,0.132238,0.058079,0.053717,0.000006,31707.926072,31707.926072,31707.926072
almost,0.133562,0.058630,0.053651,0.000007,25937.419014,25937.419014,25937.419014
almost,0.131401,0.058669,0.054200,0.000008,30414.033614,30414.033614,30414.033614
almost,0.131216,0.058221,0.053647,0.000007,35048.497137,35048.497137,35048.497137
almost,0.132619,0.058324,0.053858,0.000005,27526.904321,27526.904321,27526.904321
almost,0.132980,0.058665,0.054968,0.000007,28064.039665,28064.039665,28064.039665
almost,0.132926,0.058597,0.053960,0.000005,34251.033364,34251.033364,34251.033364
almost,0.134571,0.058830,0.056063,0.000006,32471.426364,32471.426364,32471.426364
almost,0.133724,0.058890,0.054291,0.000006,27438.756035,27438.756035,27438.756035
almost,0.133745,0.058637,0.054324,0.000004,33494.361201,33494.361201,33494.361201
almost,0.138278,0.059044,0.053787,0.000005,30145.988247,30145.988247,30145.988247
almost,0.133566,0.058841,0.053909,0.000008,30988.838744,30988.838744,30988.838744
almost,0.133148,0.058631,0.053976,0.000004,31555.508215,31555.508215,31555.508215
almost,0.133580,0.058273,0.056003,0.000006,39001.380464,39001.380464,39001.380464
almost,0.133080,0.058632,0.060564,0.000006,33579.873418,33579.873418,33579.873418
almost,0.133150,0.059745,0.054279,0.000005,29451.967461,29451.967461,29451.967461
almost,0.132115,0.058775,0.055051,0.000008,26206.593681,26206.593681,26206.593681
almost,0.132997,0.058447,0.053792,0.000006,26482.287456,26482.287456,26482.287456
almost,0.135140,0.058370,0.058821,0.000004,32768.047758,32768.047758,32768.047758
inv,0.144763,0.052021,0.048533,0.000005,17794.401550,17794.401550,17794.401550
inv,0.149720,0.051740,0.048467,0.000006,18826.673217,18826.673217,18826.673217
inv,0.146004,0.051649,0.049979,0.000004,16465.113364,16465.113364,16465.113364
inv,0.141983,0.051418,0.048613,0.000004,18029.059479,18029.059479,18029.059479
inv,0.145070,0.053581,0.048408,0.000007,22220.560709,22220.560709,22220.560709
inv,0.142619,0.051661,0.048483,0.000007,13283.026922,13283.026922,13283.026922
inv,0.142297,0.051745,0.050820,0.000006,13527.185452,13527.185452,13527.185452
inv,0.142502,0.051530,0.048445,0.000008,18011.305529,18011.305529,18011.305529
inv,0.142479,0.051556,0.048304,0.000006,17830.807355,17830.807355,17830.807355
inv,0.154989,0.051674,0.050041,0.000008,16752.164513,16752.164513,16752.164513
inv,0.143441,0.055268,0.048303,0.000004,20388.625886,20388.625886,20388.625886
inv,0.144421,0.052163,0.048433,0.000007,13066.609181,13066.609181,13066.609181
inv,0.143583,0.051765,0.048626,0.000007,15889.087558,15889.087558,15889.087558
inv,0.144614,0.051546,0.048488,0.000007,20855.021478,20855.021478,20855.021478
inv,0.143503,0.051634,0.048529,0.000006,18194.602849,18194.602849,18194.602849
inv,0.142604,0.051430,0.048341,0.000007,21040.000353,21040.000353,21040.000353
inv,0.145186,0.051521,0.048865,0.000006,22607.083129,22607.083129,22607.083129
inv,0.143601,0.051561,0.049390,0.000005,20166.638008,20166.638008,20166.638008
inv,0.168986,0.051736,0.048626,0.000006,12055.890523,12055.890523,12055.890523
inv,0.159876,0.056187,0.052054,0.000006,17082.057746,17082.057746,17082.057746
inv,0.151331,0.057075,0.055088,0.000008,18873.714368,18873.714368,18873.714368
inv,0.175148,0.061079,0.051114,0.000007,13400.932732,13400.932732,13400.932732
inv,0.194814,0.064048,0.051681,0.000006,13017.482843,13017.482843,13017.482843
inv,0.175002,0.059735,0.056566,0.000006,21165.578460,21165.578460,21165.578460
inv,0.257758,0.071595,0.061634,0.000008,13731.137811,13731.137811,13731.137811
inv,0.189566,0.066796,0.059490,0.000005,26248.287452,26248.287452,26248.287452
inv,0.189410,0.061930,0.061941,0.000005,18867.885894,18867.885894,18867.885894
inv,0.161564,0.067292,0.084094,0.000005,18938.673141,18938.673141,18938.673141
inv,0.217968,0.065873,0.070224,0.000008,15388.871170,15388.871170,15388.871170
inv,0.218853,0.065856,0.062946,0.000020,18080.448407,18080.448407,18080.448407
inv,0.160797,0.090602,0.058982,0.000007,15993.788509,15993.788509,15993.788509
inv,0.161064,0.061042,0.050712,0.000008,13386.482958,13386.482958,13386.482958
inv,0.161984,0.052308,0.056255,0.000005,22553.111946,22553.111946,22553.111946
inv,0.158649,0.057200,0.049427,0.000008,13343.919623,13343.919623,13343.919623
inv,0.145575,0.057249,0.050837,0.000004,16666.442172,16666.442172,16666.442172
inv,0.149036,0.051841,0.050844,0.000008,11353.229664,11353.229664,11353.229664
