typename,time_original,time_original_prealloc
uncorr,1.383841,0.307906
uncorr,0.428097,0.307753
uncorr,0.388083,0.305838
uncorr,0.386562,0.302738
uncorr,0.399067,0.348869
uncorr,0.463720,0.311607
uncorr,0.404511,0.305112
uncorr,0.425088,0.312910
uncorr,0.389610,0.305621
uncorr,0.391632,0.302174
uncorr,0.397631,0.350674
uncorr,0.581225,0.300283
uncorr,0.423743,0.322140
uncorr,0.452604,0.347062
uncorr,0.479190,0.329532
uncorr,0.479829,0.348800
uncorr,0.526346,0.324890
uncorr,0.542313,0.306950
uncorr,0.390652,0.320842
uncorr,0.386017,0.311883
uncorr,0.395355,0.325886
uncorr,0.423438,0.320072
uncorr,0.466126,0.319596
uncorr,0.404340,0.296877
uncorr,0.419814,0.314688
uncorr,0.415992,0.302485
uncorr,0.476741,0.304927
uncorr,0.462031,0.292000
uncorr,0.509380,0.291563
uncorr,0.378665,0.306564
uncorr,0.378909,0.304239
uncorr,0.398598,0.302923
uncorr,0.392477,0.293436
uncorr,0.382416,0.294115
uncorr,0.386572,0.298288
uncorr,0.382766,0.298551
uncorr,0.371063,0.315030
uncorr,0.404578,0.302820
uncorr,0.380352,0.293038
uncorr,0.390364,0.303050
uncorr,0.520477,0.301666
uncorr,0.384830,0.299503
uncorr,0.383239,0.331686
uncorr,0.381425,0.337587
uncorr,0.412916,0.303150
uncorr,0.385523,0.301840
uncorr,0.394389,0.323471
uncorr,0.564355,0.330202
uncorr,0.428248,0.319921
uncorr,0.500521,0.300867
uncorr,0.449425,0.295209
uncorr,0.408529,0.293879
uncorr,0.378902,0.302307
uncorr,0.384486,0.324780
uncorr,0.431927,0.315750
uncorr,0.378991,0.307262
uncorr,0.410150,0.327861
uncorr,0.386985,0.300637
uncorr,0.379100,0.332451
uncorr,0.424301,0.291374
uncorr,0.411035,0.321685
uncorr,0.413652,0.314931
uncorr,0.383907,0.298668
uncorr,0.387673,0.301305
uncorr,0.398604,0.312129
uncorr,0.382804,0.299974
uncorr,0.389282,0.299249
uncorr,0.373651,0.337361
uncorr,0.397908,0.322457
uncorr,0.385810,0.339484
uncorr,0.535620,0.327826
uncorr,0.435422,0.299009
uncorr,0.481252,0.316247
uncorr,0.401807,0.386354
uncorr,0.455430,0.312226
uncorr,0.417247,0.336361
uncorr,0.405334,0.322376
uncorr,0.416635,0.333153
uncorr,0.413010,0.312651
uncorr,0.433747,0.302293
uncorr,0.399903,0.315806
uncorr,0.410575,0.370287
uncorr,0.409129,0.320211
uncorr,0.462279,0.325493
uncorr,0.436207,0.367452
uncorr,0.417222,0.336203
uncorr,0.412001,0.302195
uncorr,0.417575,0.329630
uncorr,0.453061,0.362920
uncorr,0.431321,0.303265
uncorr,0.411905,0.308764
uncorr,0.389355,0.304356
uncorr,0.408299,0.316601
uncorr,0.394010,0.313525
uncorr,0.410506,0.361257
uncorr,0.489598,0.323765
uncorr,0.454542,0.376534
uncorr,0.411901,0.329135
uncorr,0.443352,0.346883
uncorr,0.452395,0.327493
almost,0.409283,0.309192
almost,0.404097,0.331364
almost,0.421838,0.325075
almost,0.406165,0.311139
almost,0.399313,0.314725
almost,0.392857,0.323871
almost,0.399790,0.320581
almost,0.396502,0.320216
almost,0.395821,0.314593
almost,0.384900,0.302394
almost,0.397411,0.332703
almost,0.399516,0.300330
almost,0.392236,0.332437
almost,0.393130,0.310157
almost,0.386015,0.311077
almost,0.396863,0.307385
almost,0.393732,0.308106
almost,0.402063,0.305718
almost,0.391110,0.318672
almost,0.397370,0.307954
almost,0.392483,0.311114
almost,0.397592,0.319163
almost,0.400620,0.325662
almost,0.394725,0.303295
almost,0.498873,0.303562
almost,0.396293,0.301467
almost,0.399984,0.309271
almost,0.388709,0.314947
almost,0.391413,0.308349
almost,0.397980,0.303409
almost,0.392204,0.358798
almost,0.478025,0.307955
almost,0.390988,0.305439
almost,0.422384,0.347080
almost,0.486268,0.331807
almost,0.443723,0.336087
almost,0.402687,0.320021
almost,0.416465,0.348212
almost,0.433427,0.317377
almost,0.389027,0.354268
almost,0.417982,0.331117
almost,0.393616,0.307881
