typename, columOpt, fminknap
uncorr, 0.000000, 0.000556
almost, 0.000000, 0.001030
inv, 0.000000, 0.293753
str, 0.000000, 0.019723
weak, 0.000000, 0.001280
uncorr, 0.000000, 0.000485
almost, 0.000000, 0.001484
inv, 0.000000, 0.258144
str, 0.000000, 0.019954
weak, 0.000000, 0.000607
uncorr, 0.000000, 0.000427
almost, 0.000000, 0.001275
inv, 0.000000, 0.281162
str, 0.000000, 0.020458
weak, 0.000000, 0.000547
uncorr, 0.000000, 0.000436
almost, 0.000000, 0.001025
inv, 0.000000, 0.269828
str, 0.000000, 0.020072
weak, 0.000000, 0.000612
uncorr, 0.000000, 0.000440
almost, 0.000000, 0.001146
inv, 0.000000, 0.297068
str, 0.000000, 0.017974
weak, 0.000000, 0.000565
uncorr, 0.000000, 0.000466
almost, 0.000000, 0.001194
inv, 0.000000, 0.271527
str, 0.000000, 0.020671
weak, 0.000000, 0.000662
uncorr, 0.000000, 0.000527
almost, 0.000000, 0.001029
inv, 0.000000, 0.268761
str, 0.000000, 0.022041
weak, 0.000000, 0.000594
uncorr, 0.000000, 0.000520
almost, 0.000000, 0.001170
inv, 0.000000, 0.276745
str, 0.000000, 0.020063
weak, 0.000000, 0.001258
