type,capacity,n,t_v1,t_v2,s_v1,s_v2,t_size_v1_div,t_size_v2_cut,s_sizev1_div,s_size_v2_cut,time_v1,time_v2,time_v1_div,time_v2_cut,time_original_prealloc,time_ks2_v1_1,time_ks2_v2_1,time_ks2_v1_1_div,time_ks2_v2_1_cut,res_original_alloc,resOpt_v1_1,resOpt_v2_1,resOpt_v1_1_div,resOpt_v2_1_cut
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.004936,0.006854,0.004066,0.000002,0.000704,16123.423346,16123.423346,16123.423346,121669.923922,6533.124747
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.004160,0.006009,0.003536,0.000001,0.000461,20712.299281,20712.299281,20712.299281,102908.403078,6933.417016
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003854,0.005280,0.002910,0.000002,0.000897,19411.289964,19411.289964,19411.289964,90179.640424,8600.062114
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.008594,0.011608,0.008109,0.000002,0.000995,16311.371591,16311.371591,16311.371591,98200.057121,8216.609630
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.009679,0.012705,0.005689,0.000002,0.001048,17982.811460,17982.811460,17982.811460,103576.038395,7571.414490
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.007379,0.011189,0.014042,0.000003,0.001428,23797.047718,23797.047718,23797.047718,107071.148922,8402.318362
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.012069,0.017671,0.010863,0.000002,0.001383,19497.009304,19497.009304,19497.009304,105774.272486,8909.694097
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.005585,0.010567,0.005754,0.000001,0.000698,15199.659299,15199.659299,15199.659299,90701.888799,7533.741891
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.004521,0.008600,0.005367,0.000001,0.000709,24061.292196,24061.292196,24061.292196,119163.077662,11233.690803
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.005181,0.006892,0.004078,0.000001,0.000637,22765.342973,22765.342973,22765.342973,107267.466728,11498.990739
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.004673,0.006908,0.007970,0.000001,0.000888,19903.805506,19903.805506,19903.805506,115292.182967,9146.448369
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.007646,0.007762,0.004797,0.000001,0.000423,16872.869918,16872.869918,16872.869918,106657.556129,6866.361400
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003252,0.004779,0.003528,0.000002,0.000446,21501.330995,21501.330995,21501.330995,92918.930013,10034.537071
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003248,0.005044,0.002934,0.000001,0.000425,18263.866866,18263.866866,18263.866866,109403.863896,6524.357532
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003236,0.007782,0.003408,0.000001,0.000450,21939.663518,21939.663518,21939.663518,107421.600722,9415.408080
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003912,0.004871,0.002983,0.000001,0.000437,20359.406467,20359.406467,20359.406467,96403.798665,9523.723982
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003362,0.005314,0.003219,0.000001,0.000413,18043.048384,18043.048384,18043.048384,101474.102240,6929.274259
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003351,0.004658,0.002876,0.000001,0.000412,19432.932197,19432.932197,19432.932197,111756.001924,7775.667145
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003265,0.004656,0.003124,0.000001,0.000504,23599.944977,23599.944977,23599.944977,109020.711680,8775.522005
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003675,0.005473,0.002840,0.000001,0.000472,22498.942290,22498.942290,22498.942290,115903.913505,6451.686514
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003206,0.004680,0.002867,0.000001,0.000420,21085.259753,21085.259753,21085.259753,100235.286240,10013.526861
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003234,0.004668,0.003227,0.000001,0.000410,19002.827623,19002.827623,19002.827623,93986.422188,10239.282026
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003226,0.004670,0.004231,0.000001,0.000442,15607.247053,15607.247053,15607.247053,101227.280511,5363.054409
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003900,0.005289,0.002995,0.000001,0.000411,15376.385379,15376.385379,15376.385379,95103.163809,6209.247969
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003211,0.005398,0.002811,0.000001,0.000412,17703.629960,17703.629960,17703.629960,94150.449269,7110.608633
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003219,0.005437,0.002827,0.000001,0.000425,14751.883386,14751.883386,14751.883386,97197.337895,6044.109102
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003418,0.005078,0.002803,0.000001,0.000404,17899.980946,17899.980946,17899.980946,95741.193642,7979.514948
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003562,0.004931,0.003489,0.000001,0.000675,15829.255301,15829.255301,15829.255301,89606.664896,7113.290267
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.004629,0.006832,0.004871,0.000001,0.000664,24096.871661,24096.871661,24096.871661,108372.983074,8879.160187
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.005267,0.006721,0.005718,0.000001,0.001013,19597.533682,19597.533682,19597.533682,107067.696247,7565.036702
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.004862,0.007170,0.005734,0.000001,0.000431,17929.715374,17929.715374,17929.715374,95717.800476,10154.008357
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003299,0.005100,0.002850,0.000001,0.000438,19752.743847,19752.743847,19752.743847,105906.256131,8508.395046
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003253,0.004971,0.002925,0.000001,0.000424,23321.558164,23321.558164,23321.558164,83601.387929,10952.937225
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003257,0.006731,0.002855,0.000001,0.000472,14799.785058,14799.785058,14799.785058,86827.387788,7224.246588
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003446,0.004832,0.002840,0.000001,0.000404,17501.495665,17501.495665,17501.495665,104805.104590,7407.532257
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003207,0.005649,0.002833,0.000001,0.000407,19976.848815,19976.848815,19976.848815,103358.360988,8398.111657
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003307,0.005154,0.002813,0.000001,0.000398,22650.707663,22650.707663,22650.707663,103322.822238,8176.057797
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.004876,0.006489,0.003184,0.000001,0.000460,23580.404324,23580.404324,23580.404324,100839.032088,9779.096688
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003675,0.005691,0.003310,0.000000,0.000418,19978.127295,19978.127295,19978.127295,104097.844458,7579.692679
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003227,0.004706,0.002930,0.000001,0.000441,18249.662566,18249.662566,18249.662566,102992.809625,7855.454300
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003326,0.004775,0.002917,0.000001,0.000402,19877.139188,19877.139188,19877.139188,101677.237729,8671.920727
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003221,0.004697,0.002914,0.000001,0.000407,23251.157645,23251.157645,23251.157645,96016.767038,11987.600398
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003386,0.004683,0.003592,0.000001,0.000455,21877.685545,21877.685545,21877.685545,105158.167466,12193.631673
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003654,0.005757,0.003049,0.000001,0.000424,25547.934180,25547.934180,25547.934180,116423.186617,10270.298383
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003250,0.005294,0.003154,0.000001,0.000408,21846.214988,21846.214988,21846.214988,95706.016006,8729.903033
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003197,0.004965,0.002877,0.000001,0.000421,18525.539567,18525.539567,18525.539567,104244.133978,6961.611317
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003186,0.006266,0.003257,0.000001,0.000470,23064.523505,23064.523505,23064.523505,107062.025440,10708.946646
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.004100,0.006910,0.005361,0.000001,0.000749,20754.733407,20754.733407,20754.733407,112533.819257,8907.744777
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.005460,0.007340,0.004991,0.000001,0.000742,23639.362480,23639.362480,23639.362480,115234.164045,12233.067497
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.005448,0.008194,0.004221,0.000001,0.000475,16205.046882,16205.046882,16205.046882,95061.045664,6156.975814
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003658,0.006303,0.002870,0.000001,0.000418,11468.453468,11468.453468,11468.453468,73803.179183,4024.395005
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.004319,0.006034,0.003320,0.000001,0.000447,16413.009153,16413.009153,16413.009153,102528.839013,7509.609347
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003535,0.004900,0.002838,0.000001,0.000398,17308.506703,17308.506703,17308.506703,99967.079741,6754.004034
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.004049,0.005493,0.003656,0.000001,0.000469,20827.444100,20827.444100,20827.444100,115033.515674,8071.929996
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.006603,0.004695,0.004965,0.000001,0.001018,14332.462204,14332.462204,14332.462204,97766.382664,6257.193770
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.006855,0.010336,0.005058,0.000001,0.000431,22468.876657,22468.876657,22468.876657,99480.658184,7617.380824
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003221,0.004695,0.003086,0.000000,0.000420,18199.812208,18199.812208,18199.812208,104466.411571,6323.249686
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.007514,0.004842,0.004878,0.000001,0.001134,20049.260808,20049.260808,20049.260808,93841.873105,7490.057696
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.007647,0.009623,0.007318,0.000001,0.001032,17685.122096,17685.122096,17685.122096,112244.544878,7942.744227
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.006966,0.008379,0.006682,0.000002,0.000831,16373.398739,16373.398739,16373.398739,98182.833487,6986.150958
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003847,0.005293,0.002823,0.000001,0.000424,24828.262427,24828.262427,24828.262427,91110.619830,9161.225474
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.006383,0.012308,0.008961,0.000001,0.001334,14308.325743,14308.325743,14308.325743,92071.159011,5566.808462
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.007589,0.010770,0.007524,0.000001,0.000476,17186.372959,17186.372959,17186.372959,92267.111240,8792.007387
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003687,0.005236,0.003989,0.000001,0.000521,24642.317777,24642.317777,24642.317777,114740.794139,9163.159166
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003696,0.005947,0.002869,0.000001,0.000413,15506.412833,15506.412833,15506.412833,87327.564929,6715.947471
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003768,0.004990,0.002834,0.000001,0.000401,21684.228661,21684.228661,21684.228661,111941.011942,7775.763752
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003253,0.004767,0.002892,0.000001,0.000408,17340.103082,17340.103082,17340.103082,101246.732941,6296.294293
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003220,0.004802,0.003411,0.000001,0.000416,23915.529800,23915.529800,23915.529800,107990.527592,8535.101514
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003478,0.007631,0.006201,0.000001,0.001344,12799.403643,12799.403643,12799.403643,98642.840952,6697.523508
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.005444,0.006414,0.005836,0.000001,0.000451,19634.372417,19634.372417,19634.372417,101728.324425,9673.525784
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003571,0.004828,0.002833,0.000001,0.000403,22866.217629,22866.217629,22866.217629,100348.900658,7978.329042
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003322,0.004659,0.002839,0.000001,0.000412,19240.877079,19240.877079,19240.877079,106581.545320,9707.671604
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003337,0.005106,0.003143,0.000001,0.000421,20869.892719,20869.892719,20869.892719,107095.943955,11969.350252
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003816,0.004744,0.002944,0.000002,0.000418,13995.696261,13995.696261,13995.696261,92756.145511,6999.868197
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003650,0.004689,0.002901,0.000001,0.000413,13405.173579,13405.173579,13405.173579,76832.031764,5113.207481
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003649,0.004743,0.002823,0.000001,0.000408,13156.591968,13156.591968,13156.591968,99681.462743,8319.378853
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003629,0.004822,0.002827,0.000001,0.000407,17358.463241,17358.463241,17358.463241,119707.481192,8906.462206
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003665,0.005036,0.003152,0.000001,0.000444,19610.438105,19610.438105,19610.438105,96542.940681,9913.998672
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4671,514,0.108592,0.079062,0.002050,0.070303,0.003601,0.007154,0.005050,0.000001,0.000672,17824.021644,17824.021644,17824.021644,89697.202728,7732.346923
