type,capacity,n,mincap_v1_1_div_time,t_size_v1,s_size_v1,mincap_v1_time,t_size_v2,s_size_v2,mincap_v2_time,t_size_v1_1,s_size_v1_1,mincap_v1_1_time,t_size_v2_1,s_size_v2_1,mincap_v2_1_time,t_size_v1_1_div,s_size_v1_1_div,mincap_v1_1_div_time,t_size_v2_1_cut,s_size_v2_1_cut,mincap_v2_1_cut_time,time_original,time_original_allocation,time_original_prealloc,res_original_alloc,time_ks2_v2_allocation,time_ks2_v2,resOpt_v2,time_ks2_v1_allocation,time_ks2_v1,resOpt_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,resOpt_v1_1,time_ks2_v2_allocation_1,time_ks2_v2_1,resOpt_v2_1,time_ks2_v1_allocation_1_div,time_ks2_v1_1_div,resOpt_v1_1_div,time_ks2_allocation_1_cut,time_ks2_v2_1_cut,resOpt_v2_1_cut,time_ks2_v1_nocol_noalloc,time_fminknap_allocation,time_fminknap,resFmin
uncorr,500,100,0.000881,501,476,0.014449,501,487,0.006846,501,476,0.011529,501,487,0.006715,51,51,0.000881,501,487,0.005797,0.000402,0.000162,0.000338,1755.058235,0.000162,0.000665,1755.058235,0.000199,0.000563,1755.058235,0.000147,0.000328,1755.058235,0.000144,0.000321,1755.058235,0.000013,0.000039,1805.387852,0.000144,0.000348,1704.477312,0.000000,0.000015,0.000012,1755.058235
uncorr,500,100,0.000881,501,476,0.014449,501,487,0.006846,501,476,0.011529,501,487,0.006715,51,51,0.000881,501,487,0.005797,0.000510,0.000176,0.000352,2125.957029,0.000139,0.000344,2125.957029,0.000131,0.000348,2125.957029,0.000131,0.000307,2125.957029,0.000130,0.000296,2125.957029,0.000012,0.000036,2260.249256,0.000130,0.000298,2078.619537,0.000000,0.000000,0.000007,2125.957029
uncorr,500,100,0.000881,501,476,0.014449,501,487,0.006846,501,476,0.011529,501,487,0.006715,51,51,0.000881,501,487,0.005797,0.000372,0.000151,0.000322,1935.919929,0.000130,0.000590,1935.919929,0.000162,0.000597,1935.919929,0.000165,0.000554,1935.919929,0.000164,0.000544,1935.919929,0.000015,0.000062,2012.129170,0.000165,0.000546,1862.632209,0.000001,0.000001,0.000006,1935.919929
uncorr,500,100,0.000881,501,476,0.014449,501,487,0.006846,501,476,0.011529,501,487,0.006715,51,51,0.000881,501,487,0.005797,0.000378,0.000151,0.000321,1401.491190,0.000130,0.000338,1401.491190,0.000127,0.000353,1401.491190,0.000127,0.000298,1401.491190,0.000130,0.000295,1401.491190,0.000012,0.000036,1454.794138,0.000136,0.000359,1368.151436,0.000000,0.000000,0.000006,1401.491190
uncorr,500,100,0.000881,501,476,0.014449,501,487,0.006846,501,476,0.011529,501,487,0.006715,51,51,0.000881,501,487,0.005797,0.000374,0.000157,0.000321,2194.909128,0.000131,0.000329,2194.909128,0.000127,0.000336,2194.909128,0.000126,0.000297,2194.909128,0.000130,0.000308,2194.909128,0.000012,0.000048,2400.689054,0.000132,0.000340,2188.796955,0.000000,0.000000,0.000008,2194.909128
uncorr,500,100,0.000881,501,476,0.014449,501,487,0.006846,501,476,0.011529,501,487,0.006715,51,51,0.000881,501,487,0.005797,0.000382,0.000150,0.000322,1954.096725,0.000130,0.000329,1954.096725,0.000127,0.000351,1954.096725,0.000127,0.000299,1954.096725,0.000130,0.000296,1954.096725,0.000011,0.000037,2017.209643,0.000130,0.000298,1904.921847,0.000000,0.000000,0.000005,1954.096725
uncorr,500,100,0.000881,501,476,0.014449,501,487,0.006846,501,476,0.011529,501,487,0.006715,51,51,0.000881,501,487,0.005797,0.000371,0.000151,0.000322,1631.202020,0.000135,0.000337,1631.202020,0.000127,0.000337,1631.202020,0.000127,0.000299,1631.202020,0.000130,0.000304,1631.202020,0.000013,0.000036,1740.411839,0.000135,0.000299,1577.112844,0.000000,0.000001,0.000005,1631.202020
uncorr,500,100,0.000881,501,476,0.014449,501,487,0.006846,501,476,0.011529,501,487,0.006715,51,51,0.000881,501,487,0.005797,0.000370,0.000151,0.000320,2373.294122,0.000130,0.000327,2373.294122,0.000127,0.000336,2373.294122,0.000132,0.000296,2373.294122,0.000130,0.000295,2373.294122,0.000012,0.000035,2460.310243,0.000135,0.000297,2349.984751,0.000001,0.000000,0.000004,2373.294122
uncorr,500,100,0.000881,501,476,0.014449,501,487,0.006846,501,476,0.011529,501,487,0.006715,51,51,0.000881,501,487,0.005797,0.000426,0.000151,0.000404,2912.625387,0.000154,0.000367,2912.625387,0.000142,0.000376,2912.625387,0.000143,0.000342,2912.625387,0.000147,0.000349,2912.625387,0.000013,0.000040,2956.095783,0.000164,0.000427,2860.581205,0.000001,0.000001,0.000006,2912.625387
uncorr,500,100,0.000881,501,476,0.014449,501,487,0.006846,501,476,0.011529,501,487,0.006715,51,51,0.000881,501,487,0.005797,0.000437,0.000170,0.000366,2361.616527,0.000146,0.000366,2361.616527,0.000147,0.000375,2361.616527,0.000142,0.000341,2361.616527,0.000146,0.000330,2361.616527,0.000014,0.000040,2514.634057,0.000146,0.000333,2336.497820,0.000000,0.000000,0.000009,2361.616527
uncorr,500,100,0.000881,501,476,0.014449,501,487,0.006846,501,476,0.011529,501,487,0.006715,51,51,0.000881,501,487,0.005797,0.000415,0.000170,0.000358,1843.947969,0.000145,0.000365,1843.947969,0.000142,0.000375,1843.947969,0.000142,0.000572,1843.947969,0.000151,0.000303,1843.947969,0.000012,0.000035,1949.966454,0.000130,0.000300,1804.822419,0.000000,0.000000,0.000007,1843.947969
uncorr,500,100,0.000881,501,476,0.014449,501,487,0.006846,501,476,0.011529,501,487,0.006715,51,51,0.000881,501,487,0.005797,0.000380,0.000156,0.000320,1898.734016,0.000130,0.000328,1898.734016,0.000127,0.000336,1898.734016,0.000127,0.000299,1898.734016,0.000130,0.000295,1898.734016,0.000012,0.000036,1951.943495,0.000130,0.000298,1863.422436,0.000000,0.000000,0.000005,1898.734016
uncorr,500,100,0.000881,501,476,0.014449,501,487,0.006846,501,476,0.011529,501,487,0.006715,51,51,0.000881,501,487,0.005797,0.000370,0.000151,0.000329,2198.229672,0.000130,0.000327,2198.229672,0.000127,0.000335,2192.867200,0.000159,0.000297,2192.867200,0.000130,0.000295,2198.229672,0.000011,0.000037,2243.998615,0.000130,0.000305,2171.156952,0.000000,0.000001,0.000004,2198.229672
uncorr,500,100,0.000881,501,476,0.014449,501,487,0.006846,501,476,0.011529,501,487,0.006715,51,51,0.000881,501,487,0.005797,0.000370,0.000152,0.000322,1907.499486,0.000131,0.000328,1907.499486,0.000129,0.000336,1907.499486,0.000161,0.000370,1907.499486,0.000132,0.000367,1907.499486,0.000012,0.000036,1955.213865,0.000131,0.000305,1805.890480,0.000000,0.000000,0.000004,1907.499486
