type,capacity,n,mincap_v1_1_div_time,t_size_v1,s_size_v1,mincap_v1_time,t_size_v2,s_size_v2,mincap_v2_time,t_size_v1_1,s_size_v1_1,mincap_v1_1_time,t_size_v2_1,s_size_v2_1,mincap_v2_1_time,t_size_v1_1_div,s_size_v1_1_div,mincap_v1_1_div_time,t_size_v2_1_cut,s_size_v2_1_cut,mincap_v2_1_cut_time,time_original,time_original_allocation,time_original_prealloc,res_original_alloc,time_ks2_v2_allocation,time_ks2_v2,resOpt_v2,time_ks2_v1_allocation,time_ks2_v1,resOpt_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,resOpt_v1_1,time_ks2_v2_allocation_1,time_ks2_v2_1,resOpt_v2_1,time_ks2_v1_allocation_1_div,time_ks2_v1_1_div,resOpt_v1_1_div,time_ks2_allocation_1_cut,time_ks2_v2_1_cut,resOpt_v2_1_cut,time_ks2_v1_nocol_noalloc,time_fminknap_allocation,time_fminknap,resFmin
uncorr,4310,100,0.000595,4311,3528,0.067108,4311,3701,0.041367,4311,3528,0.066520,4311,3701,0.039308,44,44,0.000595,4311,2624,0.040359,0.003855,0.001026,0.002673,19914.550956,0.000649,0.004521,19914.550956,0.000550,0.004124,19914.550956,0.000784,0.004265,19914.550956,0.000594,0.002045,19914.550956,0.000013,0.000030,20582.202376,0.000505,0.001436,18087.114677,0.068523,0.000019,0.000006,19914.550956
uncorr,4310,100,0.000595,4311,3528,0.067108,4311,3701,0.041367,4311,3528,0.066520,4311,3701,0.039308,44,44,0.000595,4311,2624,0.040359,0.002388,0.000832,0.002207,22227.250692,0.000564,0.003549,22227.250692,0.000539,0.003637,22227.250692,0.000515,0.003614,22227.250692,0.000540,0.001929,22227.250692,0.000010,0.000026,23090.105770,0.000407,0.001505,18494.219998,0.066221,0.000000,0.000008,22227.250692
uncorr,4310,100,0.000595,4311,3528,0.067108,4311,3701,0.041367,4311,3528,0.066520,4311,3701,0.039308,44,44,0.000595,4311,2624,0.040359,0.002219,0.000932,0.002895,18869.200420,0.000692,0.003595,18869.200420,0.000526,0.003566,18869.200420,0.000541,0.003574,18869.200420,0.000539,0.001901,18869.200420,0.000010,0.000028,20206.764752,0.000421,0.001442,16831.111597,0.065076,0.000000,0.000008,18869.200420
uncorr,4310,100,0.000595,4311,3528,0.067108,4311,3701,0.041367,4311,3528,0.066520,4311,3701,0.039308,44,44,0.000595,4311,2624,0.040359,0.002234,0.000828,0.002385,18557.914861,0.000568,0.003602,18557.914861,0.000542,0.003623,18557.914861,0.000512,0.003606,18557.914861,0.000596,0.001960,18557.914861,0.000010,0.000026,19513.664344,0.000383,0.001464,16993.028408,0.065345,0.000001,0.000007,18557.914861
uncorr,4310,100,0.000595,4311,3528,0.067108,4311,3701,0.041367,4311,3528,0.066520,4311,3701,0.039308,44,44,0.000595,4311,2624,0.040359,0.002290,0.000874,0.002207,24113.713192,0.000538,0.003599,24113.713192,0.000513,0.003604,24113.713192,0.000530,0.003537,24113.713192,0.000576,0.001971,24113.713192,0.000010,0.000026,24888.286037,0.000382,0.001456,18968.137163,0.067099,0.000000,0.000007,24113.713192
uncorr,4310,100,0.000595,4311,3528,0.067108,4311,3701,0.041367,4311,3528,0.066520,4311,3701,0.039308,44,44,0.000595,4311,2624,0.040359,0.002186,0.000822,0.002160,15210.559104,0.000596,0.003650,15210.559104,0.000557,0.003611,15210.559104,0.000543,0.003626,15210.559104,0.000606,0.001955,15210.559104,0.000010,0.000027,16124.047606,0.000382,0.001477,12199.842909,0.069320,0.000001,0.000008,15210.559104
uncorr,4310,100,0.000595,4311,3528,0.067108,4311,3701,0.041367,4311,3528,0.066520,4311,3701,0.039308,44,44,0.000595,4311,2624,0.040359,0.002272,0.000833,0.002288,21089.853975,0.000539,0.003805,21089.853975,0.000608,0.003593,21089.853975,0.000550,0.003678,21089.853975,0.000606,0.002214,21089.853975,0.000012,0.000030,21843.865447,0.000602,0.001833,17962.095253,0.072149,0.000006,0.000014,21089.853975
uncorr,4310,100,0.000595,4311,3528,0.067108,4311,3701,0.041367,4311,3528,0.066520,4311,3701,0.039308,44,44,0.000595,4311,2624,0.040359,0.002705,0.000862,0.002252,19139.576710,0.000566,0.003610,19139.576710,0.000626,0.003885,19139.576710,0.000575,0.004012,19139.576710,0.000702,0.001939,19139.576710,0.000011,0.000028,19927.746600,0.000396,0.001441,16067.004499,0.089328,0.000001,0.000012,19139.576710
uncorr,4310,100,0.000595,4311,3528,0.067108,4311,3701,0.041367,4311,3528,0.066520,4311,3701,0.039308,44,44,0.000595,4311,2624,0.040359,0.005235,0.001301,0.004910,19747.840703,0.001112,0.007551,19747.840703,0.001066,0.007419,19747.840703,0.001098,0.007545,19747.840703,0.001165,0.005182,19747.840703,0.000019,0.000064,20467.314601,0.000822,0.004030,18056.444022,0.190999,0.000001,0.000009,19747.840703
uncorr,4310,100,0.000595,4311,3528,0.067108,4311,3701,0.041367,4311,3528,0.066520,4311,3701,0.039308,44,44,0.000595,4311,2624,0.040359,0.005780,0.001242,0.005784,19952.869820,0.001060,0.008522,19952.869820,0.001043,0.008323,19952.869820,0.001023,0.008352,19952.869820,0.001077,0.005922,19952.869820,0.000018,0.000073,20377.667937,0.000763,0.004526,17804.520246,0.070202,0.000001,0.000008,19952.869820
