type,capacity,n,mincap_v1_1_div_time,t_size_v1,s_size_v1,mincap_v1_time,t_size_v2,s_size_v2,mincap_v2_time,t_size_v1_1,s_size_v1_1,mincap_v1_1_time,t_size_v2_1,s_size_v2_1,mincap_v2_1_time,t_size_v1_1_div,s_size_v1_1_div,mincap_v1_1_div_time,t_size_v2_1_cut,s_size_v2_1_cut,mincap_v2_1_cut_time,time_original,time_original_allocation,time_original_prealloc,res_original_alloc,time_ks2_v2_allocation,time_ks2_v2,resOpt_v2,time_ks2_v1_allocation,time_ks2_v1,resOpt_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,resOpt_v1_1,time_ks2_v2_allocation_1,time_ks2_v2_1,resOpt_v2_1,time_ks2_v1_allocation_1_div,time_ks2_v1_1_div,resOpt_v1_1_div,time_ks2_allocation_1_cut,time_ks2_v2_1_cut,resOpt_v2_1_cut,time_ks2_v1_nocol_noalloc,time_fminknap_allocation,time_fminknap,resFmin
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.011889,0.003751,0.010434,26326.942722,0.003096,0.010761,26326.942722,0.003292,0.010811,26326.942722,0.003156,0.010210,26326.942722,0.003167,0.009912,26326.942722,0.000412,0.001045,26972.359841,0.003332,0.010210,26298.973048,0.000000,0.000011,0.000029,26326.942722
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.011134,0.003739,0.010640,25032.374379,0.003102,0.010906,25032.374379,0.003179,0.010964,25032.374379,0.003144,0.009892,25032.374379,0.003240,0.010169,25032.374379,0.000412,0.001032,25670.646698,0.003188,0.010123,24954.298063,0.000000,0.000001,0.000026,25032.374379
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.010934,0.003814,0.010689,28679.055425,0.003130,0.010740,28679.055425,0.003462,0.010780,28679.055425,0.003309,0.010220,28679.055425,0.003298,0.010029,28679.055425,0.000408,0.001051,29589.690773,0.003284,0.010101,28564.807489,0.000000,0.000000,0.000027,28679.055425
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.010480,0.003893,0.010339,25293.219734,0.003060,0.010590,25293.219734,0.003033,0.010696,25293.219734,0.003105,0.009691,25293.219734,0.003088,0.009600,25293.219734,0.000528,0.001027,25980.390345,0.003035,0.009510,25249.755282,0.000000,0.000000,0.000023,25293.219734
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.010632,0.003704,0.010501,20158.718280,0.003079,0.010492,20158.718280,0.003045,0.010260,20158.718280,0.003262,0.009588,20158.718280,0.003034,0.009865,20158.718280,0.000390,0.000979,20774.299165,0.003107,0.009775,20031.196682,0.000000,0.000001,0.000026,20158.718280
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.010692,0.003944,0.010454,23658.979501,0.003583,0.010389,23658.979501,0.003034,0.010514,23658.979501,0.003038,0.009712,23658.979501,0.003599,0.009813,23658.979501,0.000390,0.000989,24180.969537,0.003077,0.009770,23601.896420,0.000000,0.000000,0.000027,23658.979501
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.010374,0.003694,0.011537,20777.905614,0.003073,0.010511,20777.905614,0.003033,0.010649,20777.905614,0.003035,0.009679,20777.905614,0.003109,0.009444,20777.905614,0.000418,0.000984,21350.351876,0.003299,0.009569,20725.848407,0.000001,0.000001,0.000027,20777.905614
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.010521,0.003702,0.010565,28946.454017,0.003052,0.010342,28946.454017,0.003244,0.010275,28946.454017,0.003108,0.009692,28946.454017,0.003136,0.009668,28946.454017,0.000372,0.000991,29820.142173,0.003102,0.009753,28848.155252,0.000001,0.000000,0.000025,28946.454017
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.010434,0.003973,0.010330,24724.853564,0.003021,0.010561,24724.853564,0.003064,0.010465,24724.853564,0.003493,0.009707,24724.853564,0.003018,0.009560,24724.853564,0.000407,0.000997,25294.017282,0.003262,0.009585,24528.643480,0.000000,0.000000,0.000024,24724.853564
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.010621,0.003688,0.010517,23619.873816,0.003072,0.010573,23619.873816,0.003048,0.010281,23619.873816,0.003276,0.009429,23619.873816,0.003154,0.009727,23619.873816,0.000403,0.001167,24201.035309,0.003256,0.010213,23583.818000,0.000000,0.000001,0.000025,23619.873816
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.010505,0.003754,0.010308,22843.130235,0.003215,0.010276,22843.130235,0.003051,0.010508,22843.130235,0.003047,0.009689,22843.130235,0.003053,0.009675,22843.130235,0.000437,0.000990,23496.303540,0.003028,0.009530,22795.271336,0.000000,0.000000,0.000029,22843.130235
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.010689,0.003750,0.010465,24256.958924,0.003083,0.010410,24256.958924,0.003125,0.010356,24256.958924,0.003578,0.009611,24256.958924,0.003088,0.009967,24256.958924,0.000434,0.000983,24884.221797,0.003088,0.009740,24157.199955,0.000000,0.000001,0.000026,24256.958924
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.011249,0.003895,0.011778,23542.766466,0.003601,0.012537,23542.766466,0.003647,0.014310,23542.766466,0.003222,0.009613,23542.766466,0.003711,0.010844,23542.766466,0.000406,0.001104,24069.704882,0.003640,0.011281,23513.733325,0.000001,0.000000,0.000025,23542.766466
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.011064,0.003693,0.010441,25394.353197,0.003170,0.010381,25394.353197,0.003228,0.010284,25394.353197,0.003189,0.009677,25394.353197,0.003056,0.009734,25394.353197,0.000387,0.000984,26094.608508,0.003108,0.010448,25352.671036,0.000000,0.000001,0.000025,25394.353197
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.014460,0.003929,0.011214,24397.984214,0.003190,0.010607,24397.984214,0.003245,0.010612,24397.984214,0.003486,0.009806,24397.984214,0.003212,0.010097,24397.984214,0.000422,0.001060,24940.206141,0.003223,0.010022,24297.301883,0.000000,0.000001,0.000027,24397.984214
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.012267,0.003959,0.012175,22303.611403,0.003353,0.011998,22303.611403,0.003371,0.011457,22303.611403,0.003644,0.010254,22303.611403,0.003440,0.011083,22303.611403,0.000415,0.001019,22725.318810,0.003213,0.010202,22226.518624,0.000000,0.000001,0.000022,22303.611403
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.010911,0.003798,0.011421,29200.062649,0.003498,0.012017,29200.062649,0.003227,0.010551,29200.062649,0.003425,0.009844,29200.062649,0.003332,0.015738,29200.062649,0.000407,0.001235,29869.480339,0.003480,0.010003,29033.072972,0.000000,0.000000,0.000043,29200.062649
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.012263,0.004069,0.011788,21727.003882,0.003788,0.011937,21727.003882,0.003684,0.012472,21727.003882,0.003689,0.010528,21727.003882,0.003297,0.011156,21727.003882,0.000385,0.001009,22317.879215,0.003239,0.010046,21624.968577,0.000000,0.000001,0.000025,21727.003882
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.011116,0.003950,0.011129,21069.780330,0.003271,0.010980,21069.780330,0.003108,0.011237,21069.780330,0.003173,0.010772,21069.780330,0.003191,0.010160,21069.780330,0.000403,0.000977,21607.938540,0.003321,0.010427,20965.397422,0.000001,0.000000,0.000027,21069.780330
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.013278,0.004734,0.012527,27726.905142,0.003740,0.010631,27726.905142,0.003919,0.011191,27726.905142,0.003241,0.009763,27726.905142,0.003159,0.010800,27726.905142,0.000405,0.000982,28559.362421,0.003842,0.010533,27546.103583,0.000000,0.000000,0.000029,27726.905142
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.011330,0.003972,0.011056,23612.518608,0.003430,0.010708,23612.518608,0.003139,0.010621,23612.518608,0.002971,0.009831,23612.518608,0.003281,0.012786,23612.518608,0.000390,0.000979,24264.059151,0.003105,0.010313,23595.521466,0.000000,0.000001,0.000028,23612.518608
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.010305,0.003945,0.010102,19738.166070,0.002935,0.010569,19738.166070,0.003045,0.011479,19738.166070,0.003212,0.010112,19738.166070,0.003202,0.010137,19738.166070,0.000381,0.001020,20345.006852,0.003243,0.010188,19633.375591,0.000000,0.000001,0.000021,19738.166070
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.011042,0.003848,0.010784,26443.783087,0.003247,0.010983,26443.783087,0.003282,0.011342,26443.783087,0.003306,0.010362,26443.783087,0.003172,0.010164,26443.783087,0.000404,0.001056,26987.128415,0.003847,0.010350,26390.412420,0.000000,0.000000,0.000023,26443.783087
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.011850,0.003878,0.011090,30909.078494,0.003175,0.011103,30909.078494,0.003109,0.010542,30909.078494,0.003021,0.009605,30909.078494,0.003664,0.010095,30909.078494,0.000423,0.001055,31539.391109,0.003465,0.010216,30653.988519,0.000001,0.000000,0.000025,30909.078494
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.011280,0.003893,0.011478,24961.409991,0.003313,0.012117,24961.409991,0.003393,0.012604,24961.409991,0.003539,0.011930,24961.409991,0.003511,0.011455,24961.409991,0.000493,0.001240,25625.382915,0.003505,0.011883,24776.333273,0.000000,0.000000,0.000025,24961.409991
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.013853,0.004642,0.012633,27741.309396,0.004097,0.012209,27741.309396,0.003891,0.014413,27741.309396,0.003550,0.011482,27741.309396,0.003988,0.011127,27741.309396,0.000456,0.001173,28430.062606,0.004421,0.014133,27682.595066,0.000001,0.000001,0.000027,27741.309396
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.011717,0.004310,0.011573,25736.910744,0.003600,0.011433,25736.910744,0.003481,0.010482,25736.910744,0.002990,0.011164,25736.910744,0.003084,0.009771,25736.910744,0.000359,0.000966,26237.300556,0.003018,0.009749,25538.129851,0.000000,0.000001,0.000019,25736.910744
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.010236,0.003859,0.010470,24680.376408,0.003103,0.010445,24680.376408,0.003073,0.011058,24680.376408,0.003029,0.009436,24680.376408,0.003217,0.009620,24680.376408,0.000388,0.000981,25417.187256,0.003302,0.009644,24628.382852,0.000000,0.000001,0.000027,24680.376408
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.011041,0.003863,0.010681,19531.273654,0.003302,0.010201,19531.273654,0.003464,0.010330,19531.273654,0.003158,0.010027,19531.273654,0.003419,0.010139,19531.273654,0.000432,0.001103,20016.996523,0.003204,0.010188,19406.904173,0.000000,0.000001,0.000023,19531.273654
uncorr,2000,1000,0.286414,2001,1994,2.899207,2001,1996,1.849185,2001,1994,3.015554,2001,1996,1.892943,201,201,0.286414,2001,1996,1.795344,0.012067,0.003756,0.010345,25142.068111,0.003351,0.010646,25142.068111,0.003580,0.010885,25142.068111,0.003215,0.010085,25142.068111,0.003216,0.010307,25142.068111,0.000391,0.001035,25742.935573,0.003205,0.010333,24972.493088,0.000001,0.000001,0.000018,25142.068111
