type,capacity,n,mincap_v1_1_div_time,t_size_v1,s_size_v1,mincap_v1_time,t_size_v2,s_size_v2,mincap_v2_time,t_size_v1_1,s_size_v1_1,mincap_v1_1_time,t_size_v2_1,s_size_v2_1,mincap_v2_1_time,t_size_v1_1_div,s_size_v1_1_div,mincap_v1_1_div_time,t_size_v2_1_cut,s_size_v2_1_cut,mincap_v2_1_cut_time,time_original,time_original_allocation,time_original_prealloc,res_original_alloc,time_ks2_v2_allocation,time_ks2_v2,resOpt_v2,time_ks2_v1_allocation,time_ks2_v1,resOpt_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,resOpt_v1_1,time_ks2_v2_allocation_1,time_ks2_v2_1,resOpt_v2_1,time_ks2_v1_allocation_1_div,time_ks2_v1_1_div,resOpt_v1_1_div,time_ks2_allocation_1_cut,time_ks2_v2_1_cut,resOpt_v2_1_cut,time_ks2_v1_nocol_noalloc,time_fminknap_allocation,time_fminknap,resFmin
uncorr,100,100,0.000268,101,101,0.002722,101,101,0.001249,101,101,0.002456,101,101,0.001390,11,11,0.000268,101,101,0.001601,0.000099,0.000027,0.000112,355.939085,0.000026,0.000205,355.939085,0.000027,0.000133,355.939085,0.000027,0.000126,355.939085,0.000027,0.000117,355.939085,0.000005,0.000015,380.162956,0.000037,0.000125,350.807978,0.000001,0.000011,0.000017,355.939085
uncorr,100,100,0.000268,101,101,0.002722,101,101,0.001249,101,101,0.002456,101,101,0.001390,11,11,0.000268,101,101,0.001601,0.000116,0.000031,0.000109,382.876378,0.000026,0.000129,382.876378,0.000026,0.000478,382.876378,0.000036,0.000122,382.876378,0.000027,0.000123,382.876378,0.000007,0.000017,408.658147,0.000031,0.000124,366.702226,0.000000,0.000001,0.000007,382.876378
uncorr,100,100,0.000268,101,101,0.002722,101,101,0.001249,101,101,0.002456,101,101,0.001390,11,11,0.000268,101,101,0.001601,0.000145,0.000048,0.000115,392.882179,0.000030,0.000141,392.882179,0.000031,0.000141,392.882179,0.000031,0.000122,392.882179,0.000060,0.000126,392.882179,0.000006,0.000017,418.089751,0.000029,0.000123,392.882179,0.000000,0.000000,0.000014,392.882179
uncorr,100,100,0.000268,101,101,0.002722,101,101,0.001249,101,101,0.002456,101,101,0.001390,11,11,0.000268,101,101,0.001601,0.000112,0.000027,0.000106,372.104472,0.000026,0.000129,372.104472,0.000026,0.000130,372.104472,0.000026,0.000125,372.104472,0.000026,0.000119,372.104472,0.000006,0.000017,382.532255,0.000025,0.000121,353.794158,0.000000,0.000000,0.000005,372.104472
uncorr,100,100,0.000268,101,101,0.002722,101,101,0.001249,101,101,0.002456,101,101,0.001390,11,11,0.000268,101,101,0.001601,0.000113,0.000030,0.000106,305.525663,0.000026,0.000129,305.525663,0.000026,0.000129,305.525663,0.000026,0.000120,305.525663,0.000026,0.000120,305.525663,0.000006,0.000017,326.308283,0.000027,0.000119,299.873967,0.000001,0.000001,0.000007,305.525663
uncorr,100,100,0.000268,101,101,0.002722,101,101,0.001249,101,101,0.002456,101,101,0.001390,11,11,0.000268,101,101,0.001601,0.000110,0.000026,0.000107,412.275830,0.000025,0.000124,412.275830,0.000026,0.000124,412.275830,0.000025,0.000118,412.275830,0.000025,0.000118,412.275830,0.000005,0.000017,428.901055,0.000025,0.000118,395.678470,0.000000,0.000000,0.000005,412.275830
uncorr,100,100,0.000268,101,101,0.002722,101,101,0.001249,101,101,0.002456,101,101,0.001390,11,11,0.000268,101,101,0.001601,0.000108,0.000026,0.000106,483.203089,0.000025,0.000126,483.203089,0.000025,0.000124,483.203089,0.000025,0.000118,483.203089,0.000025,0.000117,483.203089,0.000005,0.000017,506.760153,0.000025,0.000118,469.202516,0.000001,0.000000,0.000007,483.203089
uncorr,100,100,0.000268,101,101,0.002722,101,101,0.001249,101,101,0.002456,101,101,0.001390,11,11,0.000268,101,101,0.001601,0.000109,0.000026,0.000105,370.461730,0.000025,0.000123,370.461730,0.000025,0.000123,370.461730,0.000025,0.000118,370.461730,0.000025,0.000120,370.461730,0.000005,0.000016,377.157602,0.000025,0.000119,348.551864,0.000000,0.000001,0.000007,370.461730
uncorr,100,100,0.000268,101,101,0.002722,101,101,0.001249,101,101,0.002456,101,101,0.001390,11,11,0.000268,101,101,0.001601,0.000111,0.000026,0.000105,419.443051,0.000026,0.000123,419.443051,0.000025,0.000125,419.443051,0.000025,0.000140,419.443051,0.000044,0.000108,419.443051,0.000006,0.000017,429.653248,0.000029,0.000089,400.698393,0.000001,0.000001,0.000006,419.443051
uncorr,100,100,0.000268,101,101,0.002722,101,101,0.001249,101,101,0.002456,101,101,0.001390,11,11,0.000268,101,101,0.001601,0.000079,0.000024,0.000087,430.240277,0.000022,0.000077,430.240277,0.000022,0.000077,430.240277,0.000022,0.000117,430.240277,0.000022,0.000071,430.240277,0.000005,0.000012,471.339529,0.000022,0.000073,427.334085,0.000000,0.000000,0.000007,430.240277
