type,capacity,n,mincap_v1_1_div_time,t_size_v1,s_size_v1,mincap_v1_time,t_size_v2,s_size_v2,mincap_v2_time,t_size_v1_1,s_size_v1_1,mincap_v1_1_time,t_size_v2_1,s_size_v2_1,mincap_v2_1_time,t_size_v1_1_div,s_size_v1_1_div,mincap_v1_1_div_time,t_size_v2_1_cut,s_size_v2_1_cut,mincap_v2_1_cut_time,time_original,time_original_allocation,time_original_prealloc,res_original_alloc,time_ks2_v2_allocation,time_ks2_v2,resOpt_v2,time_ks2_v1_allocation,time_ks2_v1,resOpt_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,resOpt_v1_1,time_ks2_v2_allocation_1,time_ks2_v2_1,resOpt_v2_1,time_ks2_v1_allocation_1_div,time_ks2_v1_1_div,resOpt_v1_1_div,time_ks2_allocation_1_cut,time_ks2_v2_1_cut,resOpt_v2_1_cut,time_ks2_v1_nocol_noalloc,time_fminknap_allocation,time_fminknap,resFmin
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000004,0.000001,0.000003,29.606609,0.000001,0.000003,29.606609,0.000001,0.000003,29.606609,0.000001,0.000004,29.606609,0.000001,0.000003,29.606609,0.000001,0.000002,29.606609,0.000001,0.000002,29.606609,0.000000,0.000006,0.000005,29.606609
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000004,0.000001,0.000003,32.109312,0.000001,0.000003,32.109312,0.000000,0.000003,32.109312,0.000001,0.000003,32.109312,0.000000,0.000002,32.109312,0.000001,0.000002,32.109312,0.000001,0.000002,32.109312,0.000001,0.000001,0.000003,32.109312
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000003,0.000001,0.000003,23.141309,0.000001,0.000003,23.141309,0.000001,0.000003,23.141309,0.000001,0.000002,23.141309,0.000001,0.000002,23.141309,0.000000,0.000003,23.141309,0.000001,0.000002,23.141309,0.000000,0.000000,0.000003,23.141309
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000003,0.000001,0.000003,10.979802,0.000001,0.000003,10.979802,0.000000,0.000003,10.979802,0.000001,0.000003,10.979802,0.000001,0.000002,10.979802,0.000001,0.000002,10.979802,0.000001,0.000002,10.979802,0.000000,0.000000,0.000003,10.979802
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000003,0.000001,0.000002,20.752154,0.000001,0.000003,20.752154,0.000001,0.000002,20.752154,0.000001,0.000003,20.752154,0.000001,0.000002,20.752154,0.000001,0.000002,20.752154,0.000001,0.000003,20.752154,0.000000,0.000001,0.000003,20.752154
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000003,0.000000,0.000002,21.377661,0.000001,0.000003,21.377661,0.000001,0.000003,21.377661,0.000001,0.000003,21.377661,0.000001,0.000002,21.377661,0.000001,0.000002,21.377661,0.000000,0.000002,21.377661,0.000001,0.000000,0.000003,21.377661
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000003,0.000001,0.000002,29.774674,0.000000,0.000002,29.774674,0.000000,0.000002,29.774674,0.000001,0.000003,29.774674,0.000001,0.000002,29.774674,0.000000,0.000002,29.774674,0.000001,0.000002,29.774674,0.000000,0.000000,0.000002,29.774674
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000003,0.000001,0.000002,21.385541,0.000000,0.000002,21.385541,0.000000,0.000002,21.385541,0.000001,0.000003,21.385541,0.000000,0.000002,21.385541,0.000001,0.000002,21.385541,0.000001,0.000002,21.385541,0.000001,0.000000,0.000002,21.385541
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000033,0.000001,0.000003,15.517911,0.000001,0.000003,15.517911,0.000001,0.000023,15.517911,0.000001,0.000003,15.517911,0.000000,0.000002,15.517911,0.000001,0.000002,15.517911,0.000001,0.000002,15.517911,0.000000,0.000000,0.000003,15.517911
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000003,0.000001,0.000003,19.346288,0.000001,0.000003,19.346288,0.000001,0.000003,19.346288,0.000001,0.000003,19.346288,0.000001,0.000002,19.346288,0.000001,0.000002,19.346288,0.000001,0.000002,19.346288,0.000000,0.000000,0.000003,19.346288
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000003,0.000000,0.000002,17.430891,0.000001,0.000003,17.430891,0.000001,0.000003,17.430891,0.000001,0.000003,17.430891,0.000001,0.000003,17.430891,0.000001,0.000002,17.430891,0.000000,0.000002,17.430891,0.000000,0.000000,0.000003,17.430891
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000003,0.000001,0.000002,19.349437,0.000000,0.000002,19.349437,0.000000,0.000002,19.349437,0.000000,0.000002,19.349437,0.000000,0.000002,19.349437,0.000001,0.000003,19.349437,0.000001,0.000002,19.349437,0.000000,0.000000,0.000002,19.349437
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000003,0.000001,0.000002,23.431841,0.000000,0.000002,23.431841,0.000000,0.000002,23.431841,0.000000,0.000003,23.431841,0.000001,0.000002,23.431841,0.000001,0.000002,23.431841,0.000000,0.000002,23.431841,0.000000,0.000001,0.000003,23.431841
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000003,0.000001,0.000003,21.840320,0.000001,0.000003,21.840320,0.000001,0.000002,21.840320,0.000001,0.000002,21.840320,0.000000,0.000002,21.840320,0.000001,0.000002,21.840320,0.000000,0.000002,21.840320,0.000001,0.000000,0.000002,21.840320
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000003,0.000001,0.000003,16.548774,0.000001,0.000003,16.548774,0.000001,0.000002,16.548774,0.000001,0.000002,16.548774,0.000000,0.000002,16.548774,0.000001,0.000003,16.548774,0.000001,0.000002,16.548774,0.000000,0.000000,0.000001,16.548774
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000003,0.000001,0.000002,17.636718,0.000000,0.000003,17.636718,0.000000,0.000002,17.636718,0.000001,0.000003,17.636718,0.000001,0.000002,17.636718,0.000001,0.000002,17.636718,0.000000,0.000002,17.636718,0.000000,0.000000,0.000003,17.636718
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000003,0.000001,0.000002,23.776946,0.000000,0.000003,23.776946,0.000000,0.000002,23.776946,0.000001,0.000003,23.776946,0.000001,0.000002,23.776946,0.000000,0.000001,23.776946,0.000000,0.000001,23.776946,0.000000,0.000000,0.000003,23.776946
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000003,0.000001,0.000002,17.358975,0.000001,0.000003,17.358975,0.000001,0.000002,17.358975,0.000001,0.000002,17.358975,0.000000,0.000002,17.358975,0.000001,0.000002,17.358975,0.000001,0.000002,17.358975,0.000000,0.000000,0.000002,17.358975
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000002,0.000001,0.000003,28.911371,0.000001,0.000003,28.911371,0.000001,0.000002,28.911371,0.000001,0.000002,28.911371,0.000000,0.000068,28.911371,0.000001,0.000003,28.911371,0.000001,0.000002,28.911371,0.000001,0.000000,0.000003,28.911371
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000004,0.000001,0.000002,22.905904,0.000001,0.000003,22.905904,0.000000,0.000002,22.905904,0.000001,0.000002,22.905904,0.000001,0.000002,22.905904,0.000001,0.000002,22.905904,0.000001,0.000002,22.905904,0.000000,0.000001,0.000200,22.905904
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000004,0.000001,0.000002,14.207221,0.000001,0.000003,14.207221,0.000001,0.000002,14.207221,0.000001,0.000002,14.207221,0.000001,0.000002,14.207221,0.000001,0.000002,14.207221,0.000001,0.000002,14.207221,0.000000,0.000001,0.000004,14.207221
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000003,0.000000,0.000002,21.387630,0.000001,0.000002,21.387630,0.000001,0.000002,21.387630,0.000001,0.000002,21.387630,0.000001,0.000002,21.387630,0.000001,0.000002,21.387630,0.000000,0.000002,21.387630,0.000000,0.000000,0.000003,21.387630
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000003,0.000001,0.000002,22.854949,0.000000,0.000002,22.854949,0.000001,0.000002,22.854949,0.000001,0.000002,22.854949,0.000001,0.000002,22.854949,0.000000,0.000002,22.854949,0.000000,0.000002,22.854949,0.000000,0.000000,0.000002,22.854949
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000002,0.000001,0.000002,26.565251,0.000001,0.000003,26.565251,0.000001,0.000002,26.565251,0.000001,0.000002,26.565251,0.000000,0.000001,26.565251,0.000000,0.000001,26.565251,0.000000,0.000001,26.565251,0.000000,0.000000,0.000002,26.565251
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000003,0.000001,0.000002,22.678413,0.000000,0.000002,22.678413,0.000001,0.000002,22.678413,0.000001,0.000002,22.678413,0.000001,0.000002,22.678413,0.000001,0.000002,22.678413,0.000001,0.000001,22.678413,0.000000,0.000000,0.000002,22.678413
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000003,0.000001,0.000002,16.955682,0.000001,0.000002,16.955682,0.000000,0.000002,16.955682,0.000001,0.000002,16.955682,0.000001,0.000002,16.955682,0.000001,0.000002,16.955682,0.000000,0.000002,16.955682,0.000001,0.000000,0.000003,16.955682
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000003,0.000000,0.000001,16.375118,0.000000,0.000002,16.375118,0.000000,0.000003,16.375118,0.000001,0.000002,16.375118,0.000000,0.000001,16.375118,0.000001,0.000002,16.375118,0.000001,0.000002,16.375118,0.000000,0.000000,0.000002,16.375118
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000003,0.000001,0.000002,23.114189,0.000001,0.000003,23.114189,0.000001,0.000002,23.114189,0.000000,0.000002,23.114189,0.000001,0.000001,23.114189,0.000001,0.000002,23.114189,0.000001,0.000002,23.114189,0.000001,0.000000,0.000003,23.114189
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000004,0.000001,0.000002,26.323064,0.000000,0.000003,26.323064,0.000000,0.000002,26.323064,0.000001,0.000002,26.323064,0.000000,0.000001,26.323064,0.000001,0.000002,26.323064,0.000001,0.000002,26.323064,0.000000,0.000000,0.000001,26.323064
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000002,0.000000,0.000002,17.864117,0.000001,0.000002,17.864117,0.000000,0.000002,17.864117,0.000001,0.000002,17.864117,0.000000,0.000002,17.864117,0.000000,0.000001,17.864117,0.000000,0.000001,17.864117,0.000000,0.000000,0.000004,17.864117
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000003,0.000001,0.000002,17.219802,0.000000,0.000002,17.219802,0.000001,0.000002,17.219802,0.000001,0.000003,17.219802,0.000001,0.000002,17.219802,0.000001,0.000002,17.219802,0.000001,0.000002,17.219802,0.000000,0.000001,0.000004,17.219802
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000004,0.000001,0.000002,23.234067,0.000001,0.000003,23.234067,0.000001,0.000002,23.234067,0.000001,0.000002,23.234067,0.000000,0.000001,23.234067,0.000000,0.000002,23.234067,0.000001,0.000002,23.234067,0.000000,0.000000,0.000005,23.234067
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000002,0.000000,0.000001,14.926519,0.000001,0.000002,14.926519,0.000001,0.000001,14.926519,0.000001,0.000002,14.926519,0.000000,0.000001,14.926519,0.000001,0.000001,14.926519,0.000001,0.000001,14.926519,0.000000,0.000000,0.000002,14.926519
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000002,0.000000,0.000002,19.110245,0.000001,0.000002,19.110245,0.000001,0.000001,19.110245,0.000000,0.000002,19.110245,0.000001,0.000001,19.110245,0.000000,0.000001,19.110245,0.000000,0.000002,19.110245,0.000000,0.000001,0.000002,19.110245
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000001,0.000000,0.000002,11.261307,0.000001,0.000002,11.261307,0.000001,0.000001,11.261307,0.000001,0.000002,11.261307,0.000000,0.000001,11.261307,0.000001,0.000001,11.261307,0.000000,0.000001,11.261307,0.000000,0.000000,0.000002,11.261307
uncorr,10,10,0.000004,11,11,0.000005,11,11,0.000003,11,11,0.000004,11,11,0.000002,11,11,0.000004,11,11,0.000003,0.000002,0.000001,0.000001,12.801504,0.000000,0.000002,12.801504,0.000001,0.000001,12.801504,0.000000,0.000002,12.801504,0.000001,0.000001,12.801504,0.000000,0.000001,12.801504,0.000000,0.000002,12.801504,0.000000,0.000001,0.000002,12.801504
