type,capacity,n,mincap_v1_1_div_time,t_size_v1,s_size_v1,mincap_v1_time,t_size_v2,s_size_v2,mincap_v2_time,t_size_v1_1,s_size_v1_1,mincap_v1_1_time,t_size_v2_1,s_size_v2_1,mincap_v2_1_time,t_size_v1_1_div,s_size_v1_1_div,mincap_v1_1_div_time,t_size_v2_1_cut,s_size_v2_1_cut,mincap_v2_1_cut_time,time_original,time_original_allocation,time_original_prealloc,res_original_alloc,time_ks2_v2_allocation,time_ks2_v2,resOpt_v2,time_ks2_v1_allocation,time_ks2_v1,resOpt_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,resOpt_v1_1,time_ks2_v2_allocation_1,time_ks2_v2_1,resOpt_v2_1,time_ks2_v1_allocation_1_div,time_ks2_v1_1_div,resOpt_v1_1_div,time_ks2_allocation_1_cut,time_ks2_v2_1_cut,resOpt_v2_1_cut,time_ks2_v1_nocol_noalloc,time_fminknap_allocation,time_fminknap,resFmin
uncorr,50000,100,0.020504,50001,48543,0.209014,50001,48620,0.120720,50001,48543,0.188488,50001,48620,0.122362,5001,4939,0.020504,50001,48620,0.141216,0.038591,0.018103,0.031653,244895.921915,0.013957,0.073536,244895.921915,0.013605,0.073820,244895.921915,0.013634,0.029037,244895.921915,0.014386,0.031819,244895.921915,0.000796,0.003951,243218.866022,0.015598,0.032009,244895.921915,0.000000,0.000009,0.000007,244895.921915
uncorr,50000,100,0.020504,50001,48543,0.209014,50001,48620,0.120720,50001,48543,0.188488,50001,48620,0.122362,5001,4939,0.020504,50001,48620,0.141216,0.040470,0.017159,0.044041,267532.694460,0.015041,0.090755,267532.694460,0.013709,0.072445,267532.694460,0.013366,0.028642,267532.694460,0.014191,0.028783,267532.694460,0.000782,0.002775,267532.694460,0.013427,0.027827,267532.694460,0.000000,0.000001,0.000010,267532.694460
uncorr,50000,100,0.020504,50001,48543,0.209014,50001,48620,0.120720,50001,48543,0.188488,50001,48620,0.122362,5001,4939,0.020504,50001,48620,0.141216,0.035679,0.015765,0.028568,208112.120856,0.013426,0.074074,208112.120856,0.013681,0.071615,208112.120856,0.013572,0.028018,208112.120856,0.013824,0.027648,208112.120856,0.000847,0.002845,208013.974365,0.013632,0.027572,208112.120856,0.000000,0.000001,0.000008,208112.120856
uncorr,50000,100,0.020504,50001,48543,0.209014,50001,48620,0.120720,50001,48543,0.188488,50001,48620,0.122362,5001,4939,0.020504,50001,48620,0.141216,0.036229,0.016134,0.030519,264338.239737,0.013584,0.072264,264338.239737,0.013627,0.070621,264338.239737,0.013410,0.027841,264338.239737,0.013518,0.027915,264338.239737,0.000766,0.002795,264338.239737,0.013468,0.027859,264338.239737,0.000000,0.000001,0.000006,264338.239737
uncorr,50000,100,0.020504,50001,48543,0.209014,50001,48620,0.120720,50001,48543,0.188488,50001,48620,0.122362,5001,4939,0.020504,50001,48620,0.141216,0.035882,0.015786,0.028824,214332.399661,0.013418,0.072393,214332.399661,0.013595,0.072096,214332.399661,0.013431,0.027719,214332.399661,0.013434,0.027792,214332.399661,0.000822,0.002851,214332.399661,0.013553,0.027597,214332.399661,0.000000,0.000000,0.000007,214332.399661
uncorr,50000,100,0.020504,50001,48543,0.209014,50001,48620,0.120720,50001,48543,0.188488,50001,48620,0.122362,5001,4939,0.020504,50001,48620,0.141216,0.035737,0.015714,0.028801,245900.160334,0.013500,0.070339,245900.160334,0.013360,0.072549,245900.160334,0.013608,0.029148,245900.160334,0.013451,0.027872,245900.160334,0.000812,0.002778,245900.160334,0.013355,0.027910,245900.160334,0.000001,0.000000,0.000007,245900.160334
uncorr,50000,100,0.020504,50001,48543,0.209014,50001,48620,0.120720,50001,48543,0.188488,50001,48620,0.122362,5001,4939,0.020504,50001,48620,0.141216,0.036714,0.015814,0.029094,298436.224044,0.013659,0.070898,298436.224044,0.013293,0.071293,298436.224044,0.013650,0.027878,298436.224044,0.013541,0.028531,298436.224044,0.000771,0.002780,298436.224044,0.013501,0.027810,298436.224044,0.000001,0.000000,0.000007,298436.224044
uncorr,50000,100,0.020504,50001,48543,0.209014,50001,48620,0.120720,50001,48543,0.188488,50001,48620,0.122362,5001,4939,0.020504,50001,48620,0.141216,0.036130,0.015665,0.028623,225236.150094,0.013343,0.070544,225236.150094,0.013368,0.070959,225236.150094,0.013428,0.027576,225236.150094,0.013400,0.027663,225236.150094,0.000782,0.002812,224321.836323,0.013640,0.027470,225236.150094,0.000000,0.000001,0.000008,225236.150094
uncorr,50000,100,0.020504,50001,48543,0.209014,50001,48620,0.120720,50001,48543,0.188488,50001,48620,0.122362,5001,4939,0.020504,50001,48620,0.141216,0.036111,0.015656,0.028810,255455.240250,0.013619,0.070201,255455.240250,0.013276,0.070345,255455.240250,0.013502,0.028304,255455.240250,0.013723,0.027936,255455.240250,0.000770,0.002823,255455.240250,0.013376,0.027643,255455.240250,0.000000,0.000000,0.000007,255455.240250
uncorr,50000,100,0.020504,50001,48543,0.209014,50001,48620,0.120720,50001,48543,0.188488,50001,48620,0.122362,5001,4939,0.020504,50001,48620,0.141216,0.035882,0.015536,0.028646,221049.047413,0.013512,0.069882,221049.047413,0.013470,0.070436,221049.047413,0.013481,0.027623,221049.047413,0.013451,0.027483,221049.047413,0.000809,0.002785,220971.301465,0.013602,0.027558,221049.047413,0.000001,0.000001,0.000011,221049.047413
uncorr,50000,100,0.020504,50001,48543,0.209014,50001,48620,0.120720,50001,48543,0.188488,50001,48620,0.122362,5001,4939,0.020504,50001,48620,0.141216,0.036012,0.015806,0.028911,247114.775220,0.013524,0.070468,247114.775220,0.013601,0.070887,247114.775220,0.013754,0.027846,247114.775220,0.013315,0.027687,247114.775220,0.000796,0.002821,247114.775220,0.013693,0.027543,247114.775220,0.000001,0.000000,0.000007,247114.775220
almost,50000,100,0.021693,50001,49390,0.211193,50001,49565,0.135362,50001,49390,0.210301,50001,49565,0.134760,5001,4990,0.021693,50001,49565,0.145247,0.036129,0.015596,0.028554,134582.613864,0.013613,0.032686,134582.613864,0.013290,0.033106,134582.613864,0.013663,0.027843,134582.613864,0.013570,0.030561,134582.613864,0.000818,0.002976,134029.798959,0.014028,0.028354,134414.281826,0.000001,0.000000,0.000008,134582.613864
