type,capacity,n,mincap_v1_1_div_time,t_size_v1,s_size_v1,mincap_v1_time,t_size_v2,s_size_v2,mincap_v2_time,t_size_v1_1,s_size_v1_1,mincap_v1_1_time,t_size_v2_1,s_size_v2_1,mincap_v2_1_time,t_size_v1_1_div,s_size_v1_1_div,mincap_v1_1_div_time,t_size_v2_1_cut,s_size_v2_1_cut,mincap_v2_1_cut_time,time_original,time_original_allocation,time_original_prealloc,res_original_alloc,time_ks2_v2_allocation,time_ks2_v2,resOpt_v2,time_ks2_v1_allocation,time_ks2_v1,resOpt_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,resOpt_v1_1,time_ks2_v2_allocation_1,time_ks2_v2_1,resOpt_v2_1,time_ks2_v1_allocation_1_div,time_ks2_v1_1_div,resOpt_v1_1_div,time_ks2_allocation_1_cut,time_ks2_v2_1_cut,resOpt_v2_1_cut,time_ks2_v1_nocol_noalloc,time_fminknap_allocation,time_fminknap,resFmin
uncorr,5000,30,0.006674,5001,2290,0.007386,5001,2745,0.004128,5001,2290,0.006423,5001,2745,0.004345,5001,2290,0.006674,5001,2745,0.004061,0.001185,0.000356,0.000947,13071.962449,0.000169,0.001690,13071.962449,0.000116,0.001440,13071.962449,0.000118,0.001463,13071.962449,0.000159,0.000689,13071.962449,0.000143,0.001601,13071.962449,0.000168,0.000624,13071.962449,0.008992,0.000012,0.000005,13071.962449
uncorr,5000,30,0.006674,5001,2290,0.007386,5001,2745,0.004128,5001,2290,0.006423,5001,2745,0.004345,5001,2290,0.006674,5001,2745,0.004061,0.001127,0.000283,0.000795,7845.417043,0.000125,0.001522,7845.417043,0.000103,0.001305,7845.417043,0.000108,0.001359,7845.417043,0.000122,0.000540,7845.417043,0.000102,0.001462,7845.417043,0.000171,0.000528,7845.417043,0.008167,0.000001,0.000006,7845.417043
uncorr,5000,30,0.006674,5001,2290,0.007386,5001,2745,0.004128,5001,2290,0.006423,5001,2745,0.004345,5001,2290,0.006674,5001,2745,0.004061,0.000809,0.000284,0.000782,7938.305084,0.000123,0.001443,7938.305084,0.000102,0.001312,7938.305084,0.000102,0.001343,7938.305084,0.000123,0.000538,7938.305084,0.000103,0.001286,7938.305084,0.000136,0.000557,7938.305084,0.007882,0.000000,0.000003,7938.305084
uncorr,5000,30,0.006674,5001,2290,0.007386,5001,2745,0.004128,5001,2290,0.006423,5001,2745,0.004345,5001,2290,0.006674,5001,2745,0.004061,0.000800,0.000284,0.000780,10541.296700,0.000123,0.001539,10541.296700,0.000103,0.001303,10541.296700,0.000115,0.001397,10541.296700,0.000122,0.000527,10541.296700,0.000113,0.001359,10541.296700,0.000151,0.000547,10541.296700,0.009842,0.000000,0.000005,10541.296700
uncorr,5000,30,0.006674,5001,2290,0.007386,5001,2745,0.004128,5001,2290,0.006423,5001,2745,0.004345,5001,2290,0.006674,5001,2745,0.004061,0.000863,0.000297,0.000793,9565.696936,0.000137,0.001678,9565.696936,0.000103,0.001406,9565.696936,0.000103,0.001364,9565.696936,0.000137,0.000551,9565.696936,0.000103,0.001529,9565.696936,0.000182,0.000842,9565.696936,0.009138,0.000000,0.000005,9565.696936
uncorr,5000,30,0.006674,5001,2290,0.007386,5001,2745,0.004128,5001,2290,0.006423,5001,2745,0.004345,5001,2290,0.006674,5001,2745,0.004061,0.003861,0.000365,0.001419,11341.989745,0.000185,0.002148,11341.989745,0.000153,0.001892,11341.989745,0.000202,0.001914,11341.989745,0.000182,0.009630,11341.989745,0.000182,0.001893,11341.989745,0.000246,0.000734,11341.989745,0.008203,0.000000,0.000004,11341.989745
uncorr,5000,30,0.006674,5001,2290,0.007386,5001,2745,0.004128,5001,2290,0.006423,5001,2745,0.004345,5001,2290,0.006674,5001,2745,0.004061,0.001176,0.000365,0.001484,12893.662518,0.000185,0.002320,12893.662518,0.000158,0.001478,12893.662518,0.000102,0.001310,12893.662518,0.000123,0.000538,12893.662518,0.000103,0.001290,12893.662518,0.000123,0.000588,12893.662518,0.008689,0.000000,0.000005,12893.662518
uncorr,5000,30,0.006674,5001,2290,0.007386,5001,2745,0.004128,5001,2290,0.006423,5001,2745,0.004345,5001,2290,0.006674,5001,2745,0.004061,0.000957,0.000294,0.000781,14771.402631,0.000136,0.001445,14771.402631,0.000103,0.001365,14771.402631,0.000102,0.001371,14771.402631,0.000123,0.000538,14771.402631,0.000102,0.001595,14771.402631,0.000175,0.000601,14771.402631,0.007788,0.000000,0.000005,14771.402631
uncorr,5000,30,0.006674,5001,2290,0.007386,5001,2745,0.004128,5001,2290,0.006423,5001,2745,0.004345,5001,2290,0.006674,5001,2745,0.004061,0.000846,0.000325,0.000930,10956.684982,0.000124,0.001504,10956.684982,0.000102,0.001337,10956.684982,0.000114,0.001332,10956.684982,0.000123,0.000532,10956.684982,0.000103,0.001307,10956.684982,0.000132,0.000578,10956.684982,0.007610,0.000001,0.000005,10956.684982
uncorr,5000,30,0.006674,5001,2290,0.007386,5001,2745,0.004128,5001,2290,0.006423,5001,2745,0.004345,5001,2290,0.006674,5001,2745,0.004061,0.000805,0.000284,0.000810,11269.536163,0.000122,0.001443,11269.536163,0.000103,0.001297,11269.536163,0.000103,0.001311,11269.536163,0.000122,0.000526,11269.536163,0.000103,0.001295,11269.536163,0.000123,0.000533,11269.536163,0.007577,0.000000,0.000003,11269.536163
