type,capacity,n,t_v1,t_v2,s_v1,s_v2,t_size_v1_div,t_size_v2_cut,s_sizev1_div,s_size_v2_cut,time_v1,time_v2,time_v1_div,time_v2_cut,time_original_prealloc,time_ks2_v1_1,time_ks2_v2_1,time_ks2_v1_1_div,time_ks2_v2_1_cut,res_original_alloc,resOpt_v1_1,resOpt_v2_1,resOpt_v1_1_div,resOpt_v2_1_cut
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002664,0.003705,0.002230,0.000002,0.002114,19268.801899,19268.801899,19268.801899,4896.205745,18640.935388
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002712,0.004618,0.002360,0.000003,0.002077,18639.223050,18639.223050,18639.223050,4250.948748,16841.300065
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002557,0.004355,0.002394,0.000002,0.002004,17673.370005,17673.370005,17673.370005,4038.719646,16127.181268
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002558,0.004006,0.002287,0.000002,0.001889,17825.313813,17825.313813,17825.313813,4709.835483,17547.459220
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002645,0.003811,0.002909,0.000002,0.002057,17012.442933,17012.442933,17012.442933,3449.526105,15850.631758
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002551,0.003887,0.003563,0.000002,0.002140,14140.341357,14140.341357,14140.341357,6639.148339,12785.051123
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002972,0.004206,0.002759,0.000003,0.002104,16355.131264,16355.131264,16355.131264,5081.328078,13644.854488
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002856,0.004219,0.002579,0.000003,0.001988,19011.563805,19011.563805,19011.563805,5445.531689,16399.298576
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002670,0.003905,0.002354,0.000003,0.002492,17790.115619,17790.115619,17790.115619,6112.094498,16242.395640
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002707,0.004881,0.002536,0.000002,0.003001,17468.269183,17468.269183,17468.269183,5389.992031,15113.195964
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.003120,0.004035,0.002353,0.000002,0.002598,22009.725643,22009.725643,22009.725643,7382.709118,19435.513445
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002691,0.003835,0.002348,0.000003,0.002064,17485.474707,17485.474707,17485.474707,3845.183997,16297.499440
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.002609,0.004045,0.002519,0.000002,0.002082,21266.308658,21266.308658,21266.308658,3984.708032,19209.596308
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.003282,0.003994,0.002570,0.000011,0.002256,23290.069221,23290.069221,23290.069221,7835.372704,21281.847409
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.003172,0.003977,0.004283,0.000003,0.004242,20178.288908,20178.288908,20178.288908,6562.764677,19211.297380
uncorr,5000,100,5001,5001,4211,4405,2,5001,2,3637,0.078919,0.045486,0.000036,0.047605,0.004593,0.004190,0.003466,0.000003,0.002438,21169.401937,21169.401937,21169.401937,4515.362726,20431.043981
