type,capacity,n,t_v1,t_v2,s_v1,s_v2,t_size_v1_div,t_size_v2_cut,s_sizev1_div,s_size_v2_cut,time_v1,time_v2,time_v1_div,time_v2_cut,time_original_prealloc,time_ks2_v1_1,time_ks2_v2_1,time_ks2_v1_1_div,time_ks2_v2_1_cut,res_original_alloc,resOpt_v1_1,resOpt_v2_1,resOpt_v1_1_div,resOpt_v2_1_cut
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.012296,0.007364,0.006887,0.009128,0.005310,17474.644540,17474.644540,17474.644540,67722.465692,14643.476076
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.005092,0.011708,0.004016,0.005792,0.004078,17995.340966,17995.340966,17995.340966,65610.291996,14562.879282
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.004657,0.007391,0.004261,0.004814,0.002083,21121.861138,21121.861138,21121.861138,63713.815276,18217.848376
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.005234,0.006747,0.004116,0.005434,0.002079,21309.957348,21309.957348,21309.957348,59929.016835,16100.648407
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.003969,0.005699,0.002875,0.004128,0.002394,19387.250429,19387.250429,19387.250429,69445.259222,18621.842764
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.004628,0.005638,0.003141,0.004586,0.002033,14916.997301,14916.997301,14916.997301,59257.991042,11143.235601
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.003850,0.006935,0.004041,0.006118,0.002137,20616.994834,20616.994834,20616.994834,71697.228108,16466.720478
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.004115,0.006153,0.006052,0.007343,0.011272,25109.818877,25109.818877,25109.818877,77227.057888,23175.650957
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.005304,0.018387,0.006156,0.007425,0.007063,19681.816007,19681.816007,19681.816007,68990.437175,15457.150154
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.005791,0.008249,0.004059,0.006042,0.002329,21832.769031,21832.769031,21832.769031,70877.810324,18834.704054
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.003258,0.004809,0.003003,0.004207,0.003941,15792.561779,15792.561779,15792.561779,56840.314720,13789.026296
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.005375,0.007322,0.005875,0.005438,0.002116,13065.412439,13065.412439,13065.412439,61233.211322,11566.977230
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.005255,0.004865,0.002970,0.004078,0.002049,20137.362533,20137.362533,20137.362533,61958.797976,17530.374135
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.003253,0.004873,0.002895,0.004069,0.002123,22090.263534,22090.263534,22090.263534,71925.705390,19009.027377
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.003256,0.004689,0.002820,0.004208,0.002032,15267.865145,15267.865145,15267.865145,62256.338202,12746.711601
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.003263,0.004680,0.002856,0.004039,0.002024,15594.408882,15594.408882,15594.408882,59271.533683,13783.683732
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.003205,0.004677,0.002820,0.004523,0.002074,15869.594713,15869.594713,15869.594713,54186.766613,12567.772567
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.003240,0.004710,0.002986,0.004384,0.002105,17890.041581,17890.041581,17890.041581,61347.179823,15246.452178
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.003298,0.005040,0.003446,0.007406,0.002337,19591.828785,19591.828785,19591.828785,68954.205596,16349.264114
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.003231,0.005206,0.005529,0.007338,0.003326,24776.409309,24776.409309,24776.409309,76017.702361,18540.394293
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.005311,0.007864,0.005517,0.005671,0.003088,20631.184319,20631.184319,20631.184319,65482.581444,19464.508756
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.005050,0.005128,0.003231,0.006887,0.002727,19051.016849,19051.016849,19051.016849,66550.765225,17393.497574
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.005090,0.004797,0.003267,0.004141,0.002045,16511.708324,16511.708324,16511.708324,60491.418859,12183.800594
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.003305,0.005004,0.003022,0.004136,0.002150,12119.676926,12119.676926,12119.676926,57240.609645,10401.958205
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.003244,0.004674,0.002918,0.007466,0.003726,21660.780993,21660.780993,21660.780993,70366.821993,19541.755579
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.003353,0.004664,0.002849,0.004257,0.002063,17641.521502,17641.521502,17641.521502,71687.003337,14611.819059
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.003194,0.004695,0.002904,0.004040,0.002018,16364.763332,16364.763332,16364.763332,64136.794034,14502.299430
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.003231,0.005043,0.002871,0.004313,0.002084,25401.896457,25401.896457,25401.896457,72628.244927,19951.516798
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.003186,0.004732,0.005647,0.004199,0.002054,20066.115422,20066.115422,20066.115422,69709.827144,16878.993789
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.003523,0.004865,0.002843,0.004230,0.002395,18338.565441,18338.565441,18338.565441,55698.191804,17044.207925
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.003733,0.007676,0.002993,0.004512,0.005191,24256.647492,24256.647492,24256.647492,70095.311660,22683.014603
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.003263,0.004749,0.005386,0.007043,0.003370,16753.934896,16753.934896,16753.934896,59056.080057,15415.454288
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.003518,0.008174,0.005109,0.007834,0.004202,23439.744713,23439.744713,23439.744713,70101.767823,17781.419949
uncorr,5000,100,5001,5001,4211,4405,5001,5001,4970,2901,0.104144,0.064149,0.009784,0.069087,0.003327,0.005346,0.003843,0.015419,0.003147,25680.572349,25680.572349,25680.572349,71387.064152,20389.951347
