type,capacity,n,t_v1,t_v2,s_v1,s_v2,t_size_v1_div,t_size_v2_cut,s_sizev1_div,s_size_v2_cut,time_v1,time_v2,time_v1_div,time_v2_cut,time_original_prealloc,time_ks2_v1_1,time_ks2_v2_1,time_ks2_v1_1_div,time_ks2_v2_1_cut,res_original_alloc,resOpt_v1_1,resOpt_v2_1,resOpt_v1_1_div,resOpt_v2_1_cut
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030141,0.074167,0.029782,0.000324,0.031518,192055.650489,192055.650489,192055.650489,187745.967239,192055.650489
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030459,0.084798,0.039181,0.000334,0.035449,299751.661299,299751.661299,299751.661299,295723.037122,299751.661299
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.034628,0.075501,0.030923,0.000337,0.030792,252500.986752,252500.986752,252500.986752,248829.775416,252500.986752
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.031756,0.085811,0.032847,0.000345,0.054145,300768.469826,300768.469826,300768.469826,298973.518645,300768.469826
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.031891,0.079504,0.031359,0.000332,0.030331,256102.798054,256102.798054,256102.798054,251165.023688,256102.798054
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.032564,0.077420,0.030630,0.000363,0.031034,224220.865419,224220.865419,224220.865419,219499.536841,224220.865419
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.032276,0.076281,0.030548,0.000337,0.029858,239060.166171,239060.166171,239060.166171,234643.735370,239060.166171
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030669,0.073215,0.029452,0.000338,0.029286,237608.477884,237608.477884,237608.477884,233429.757571,237608.477884
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.031108,0.073279,0.029729,0.000339,0.029680,290015.143830,290015.143830,290015.143830,288065.954154,290015.143830
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030463,0.074052,0.030063,0.000356,0.029704,276854.192754,276854.192754,276854.192754,271482.697756,276854.192754
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030547,0.076881,0.029538,0.000327,0.031755,316236.054982,316236.054982,316236.054982,312209.532016,316236.054982
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.031761,0.074424,0.030801,0.000335,0.034761,242418.857566,242418.857566,242418.857566,238148.104808,242418.857566
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.034623,0.077197,0.030503,0.000341,0.030738,243352.441260,243352.441260,243352.441260,238090.761042,243352.441260
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.033028,0.073669,0.029292,0.000328,0.029627,227586.510675,227586.510675,227586.510675,223640.758496,227586.510675
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.030936,0.074210,0.029789,0.000363,0.032031,225281.278653,225281.278653,225281.278653,221228.915928,225281.278653
uncorr,50000,100,50001,50001,48543,48620,501,50001,501,48609,0.213822,0.135823,0.001922,0.126520,0.032127,0.078959,0.030338,0.000341,0.030604,287710.409383,287710.409383,287710.409383,282832.081847,287710.409383
