typename,time_original,time_columOpt_prealloc,time_columOpt_prealloc_V1,time_ks2_v1_nocol_noalloc,time_ks2_v1_allocation,time_ks2_allocation,time_ks2_v1_allocation,time_ks2_allocation,time_ks2_v1_allocation,time_ks2_allocation,time_fminknap,resOpt_v1,resOpt,resFmin
uncorr,0.000000,0.029141,0.031909,0.000000,0.013001,0.000000,0.013001,0.031245,0.013001,0.031245,0.000009,130260.292741,130260.292741,130260.292741
uncorr,0.000000,0.028108,0.029148,0.000000,0.013518,0.000000,0.013518,0.012482,0.013518,0.012482,0.000010,121434.634497,121434.634497,121434.634497
uncorr,0.000000,0.045476,0.027363,0.000000,0.014654,0.000000,0.014654,0.019104,0.014654,0.019104,0.000010,122202.189174,122202.189174,122202.189174
uncorr,0.000000,0.026652,0.028142,0.000000,0.013106,0.000000,0.013106,0.013661,0.013106,0.013661,0.000008,135851.943114,135851.943114,135851.943114
uncorr,0.000000,0.026597,0.026930,0.000000,0.013507,0.000000,0.013507,0.012594,0.013507,0.012594,0.000009,114163.292215,114163.292215,114163.292215
uncorr,0.000000,0.025958,0.026457,0.000000,0.011580,0.000000,0.011580,0.012552,0.011580,0.012552,0.000009,144147.496295,144147.496295,144147.496295
uncorr,0.000000,0.027286,0.027314,0.000000,0.011734,0.000000,0.011734,0.012281,0.011734,0.012281,0.000010,113281.839996,113281.839996,113281.839996
uncorr,0.000000,0.027399,0.026741,0.000000,0.012028,0.000000,0.012028,0.012403,0.012028,0.012403,0.000011,107594.932552,107594.932552,107594.932552
uncorr,0.000000,0.025978,0.027493,0.000000,0.011973,0.000000,0.011973,0.012239,0.011973,0.012239,0.000010,121416.994427,121416.994427,121416.994427
uncorr,0.000000,0.026563,0.027204,0.000000,0.012349,0.000000,0.012349,0.011674,0.012349,0.011674,0.000009,116215.037276,116215.037276,116215.037276
uncorr,0.000000,0.026658,0.026134,0.000000,0.011976,0.000000,0.011976,0.012284,0.011976,0.012284,0.000010,118730.748537,118730.748537,118730.748537
uncorr,0.000000,0.026695,0.026933,0.000000,0.011377,0.000000,0.011377,0.012196,0.011377,0.012196,0.000010,106798.579882,106798.579882,106798.579882
uncorr,0.000000,0.026529,0.027314,0.000000,0.011868,0.000000,0.011868,0.012989,0.011868,0.012989,0.000010,145674.365840,145674.365840,145674.365840
uncorr,0.000000,0.027131,0.027259,0.000000,0.011783,0.000000,0.011783,0.011947,0.011783,0.011947,0.000009,122048.411036,122048.411036,122048.411036
uncorr,0.000000,0.026542,0.027838,0.000000,0.012092,0.000000,0.012092,0.011542,0.012092,0.011542,0.000009,151782.860543,151782.860543,151782.860543
uncorr,0.000000,0.027311,0.026427,0.000000,0.011615,0.000000,0.011615,0.011758,0.011615,0.011758,0.000008,110118.269305,110118.269305,110118.269305
uncorr,0.000000,0.027281,0.026655,0.000000,0.011196,0.000000,0.011196,0.012697,0.011196,0.012697,0.000008,143519.059701,143519.059701,143519.059701
uncorr,0.000000,0.027093,0.026465,0.000000,0.011758,0.000000,0.011758,0.012213,0.011758,0.012213,0.000009,130512.077821,130512.077821,130512.077821
uncorr,0.000000,0.025543,0.027220,0.000000,0.011711,0.000000,0.011711,0.012587,0.011711,0.012587,0.000012,119375.853283,119375.853283,119375.853283
uncorr,0.000000,0.026843,0.026866,0.000000,0.011717,0.000000,0.011717,0.011708,0.011717,0.011708,0.000009,126762.236228,126762.236228,126762.236228
uncorr,0.000000,0.026602,0.026364,0.000000,0.011650,0.000000,0.011650,0.012078,0.011650,0.012078,0.000008,130171.971571,130171.971571,130171.971571
uncorr,0.000000,0.026027,0.026078,0.000000,0.011450,0.000000,0.011450,0.011950,0.011450,0.011950,0.000011,114093.798966,114093.798966,114093.798966
uncorr,0.000000,0.025832,0.026823,0.000000,0.012127,0.000000,0.012127,0.011848,0.012127,0.011848,0.000009,135837.386293,135837.386293,135837.386293
uncorr,0.000000,0.026893,0.026476,0.000000,0.011341,0.000000,0.011341,0.011822,0.011341,0.011822,0.000008,135593.758253,135593.758253,135593.758253
uncorr,0.000000,0.026077,0.026136,0.000000,0.011385,0.000000,0.011385,0.011871,0.011385,0.011871,0.000010,142196.917298,142196.917298,142196.917298
uncorr,0.000000,0.025927,0.027886,0.000000,0.011451,0.000000,0.011451,0.011436,0.011451,0.011436,0.000011,104436.384194,104436.384194,104436.384194
uncorr,0.000000,0.026650,0.026156,0.000000,0.012185,0.000000,0.012185,0.013044,0.012185,0.013044,0.000019,106838.029092,106838.029092,106838.029092
uncorr,0.000000,0.030538,0.026927,0.000000,0.012858,0.000000,0.012858,0.013338,0.012858,0.013338,0.000010,126848.497104,126848.497104,126848.497104
uncorr,0.000000,0.026549,0.027582,0.000000,0.012545,0.000000,0.012545,0.011505,0.012545,0.011505,0.000008,111914.926460,111914.926460,111914.926460
uncorr,0.000000,0.025613,0.028579,0.000000,0.012051,0.000000,0.012051,0.011467,0.012051,0.011467,0.000010,113551.985244,113551.985244,113551.985244
uncorr,0.000000,0.026995,0.026561,0.000000,0.011164,0.000000,0.011164,0.011887,0.011164,0.011887,0.000013,117908.192023,117908.192023,117908.192023
uncorr,0.000000,0.027690,0.026009,0.000000,0.011468,0.000000,0.011468,0.013106,0.011468,0.013106,0.000009,147551.866757,147551.866757,147551.866757
uncorr,0.000000,0.027432,0.026762,0.000000,0.011957,0.000000,0.011957,0.011796,0.011957,0.011796,0.000010,143350.969962,143350.969962,143350.969962
uncorr,0.000000,0.025610,0.027374,0.000000,0.012266,0.000000,0.012266,0.011797,0.012266,0.011797,0.000017,126878.059036,126878.059036,126878.059036
uncorr,0.000000,0.026436,0.027385,0.000000,0.012316,0.000000,0.012316,0.012168,0.012316,0.012168,0.000026,108501.001799,108501.001799,108501.001799
uncorr,0.000000,0.026634,0.027479,0.000000,0.012014,0.000000,0.012014,0.012437,0.012014,0.012437,0.000008,107177.800383,107177.800383,107177.800383
uncorr,0.000000,0.027859,0.026634,0.000000,0.012008,0.000000,0.012008,0.012510,0.012008,0.012510,0.000012,141846.550675,141846.550675,141846.550675
uncorr,0.000000,0.026311,0.026903,0.000000,0.011582,0.000000,0.011582,0.012370,0.011582,0.012370,0.000010,112855.372721,112855.372721,112855.372721
uncorr,0.000000,0.026517,0.027721,0.000000,0.012638,0.000000,0.012638,0.012200,0.012638,0.012200,0.000009,129716.173750,129716.173750,129716.173750
uncorr,0.000000,0.027443,0.027636,0.000000,0.012829,0.000000,0.012829,0.012456,0.012829,0.012456,0.000010,118644.666769,118644.666769,118644.666769
uncorr,0.000000,0.026237,0.026893,0.000000,0.012259,0.000000,0.012259,0.012437,0.012259,0.012437,0.000019,106115.204720,106115.204720,106115.204720
uncorr,0.000000,0.026712,0.026407,0.000000,0.011997,0.000000,0.011997,0.012297,0.011997,0.012297,0.000012,126100.640532,126100.640532,126100.640532
uncorr,0.000000,0.026644,0.026514,0.000000,0.013006,0.000000,0.013006,0.013010,0.013006,0.013010,0.000009,118908.129400,118908.129400,118908.129400
uncorr,0.000000,0.027231,0.026237,0.000000,0.012572,0.000000,0.012572,0.012915,0.012572,0.012915,0.000011,103072.999319,103072.999319,103072.999319
uncorr,0.000000,0.026507,0.026139,0.000000,0.011510,0.000000,0.011510,0.011537,0.011510,0.011537,0.000009,111762.494548,111762.494548,111762.494548
uncorr,0.000000,0.025700,0.026707,0.000000,0.011428,0.000000,0.011428,0.011637,0.011428,0.011637,0.000012,102054.678460,102054.678460,102054.678460
uncorr,0.000000,0.026284,0.025959,0.000000,0.011224,0.000000,0.011224,0.011741,0.011224,0.011741,0.000020,124693.222966,124693.222966,124693.222966
uncorr,0.000000,0.025672,0.026650,0.000000,0.011095,0.000000,0.011095,0.011660,0.011095,0.011660,0.000010,118411.574090,118411.574090,118411.574090
uncorr,0.000000,0.025786,0.027162,0.000000,0.011471,0.000000,0.011471,0.011626,0.011471,0.011626,0.000011,137471.656229,137471.656229,137471.656229
uncorr,0.000000,0.026486,0.026233,0.000000,0.011497,0.000000,0.011497,0.011796,0.011497,0.011796,0.000009,124050.909558,124050.909558,124050.909558
uncorr,0.000000,0.025606,0.026234,0.000000,0.011458,0.000000,0.011458,0.011646,0.011458,0.011646,0.000014,121303.644440,121303.644440,121303.644440
uncorr,0.000000,0.026348,0.027041,0.000000,0.012005,0.000000,0.012005,0.012850,0.012005,0.012850,0.000009,114308.686796,114308.686796,114308.686796
uncorr,0.000000,0.026890,0.026003,0.000000,0.012118,0.000000,0.012118,0.011769,0.012118,0.011769,0.000010,127733.780408,127733.780408,127733.780408
uncorr,0.000000,0.026535,0.060716,0.000000,0.011669,0.000000,0.011669,0.011795,0.011669,0.011795,0.000010,116020.531186,116020.531186,116020.531186
uncorr,0.000000,0.027161,0.026886,0.000000,0.011885,0.000000,0.011885,0.012036,0.011885,0.012036,0.000010,120306.240818,120306.240818,120306.240818
uncorr,0.000000,0.028949,0.028610,0.000000,0.011555,0.000000,0.011555,0.013349,0.011555,0.013349,0.000008,144229.238012,144229.238012,144229.238012
uncorr,0.000000,0.027706,0.026455,0.000000,0.011408,0.000000,0.011408,0.012371,0.011408,0.012371,0.000009,122845.443166,122845.443166,122845.443166
uncorr,0.000000,0.025769,0.027233,0.000000,0.011297,0.000000,0.011297,0.011600,0.011297,0.011600,0.000011,103446.087992,103446.087992,103446.087992
uncorr,0.000000,0.026861,0.027002,0.000000,0.011631,0.000000,0.011631,0.011637,0.011631,0.011637,0.000028,119328.280101,119328.280101,119328.280101
uncorr,0.000000,0.025686,0.025937,0.000000,0.011375,0.000000,0.011375,0.012114,0.011375,0.012114,0.000011,123051.778164,123051.778164,123051.778164
uncorr,0.000000,0.025342,0.026418,0.000000,0.011464,0.000000,0.011464,0.011531,0.011464,0.011531,0.000011,113434.549326,113434.549326,113434.549326
uncorr,0.000000,0.025858,0.028468,0.000000,0.013163,0.000000,0.013163,0.012406,0.013163,0.012406,0.000009,135766.961619,135766.961619,135766.961619
uncorr,0.000000,0.031291,0.032062,0.000000,0.013739,0.000000,0.013739,0.012186,0.013739,0.012186,0.000018,87632.723640,87632.723640,87632.723640
uncorr,0.000000,0.028088,0.028812,0.000000,0.011248,0.000000,0.011248,0.013151,0.011248,0.013151,0.000008,103720.839411,103720.839411,103720.839411
uncorr,0.000000,0.031073,0.026915,0.000000,0.012175,0.000000,0.012175,0.013084,0.012175,0.013084,0.000008,113251.634119,113251.634119,113251.634119
uncorr,0.000000,0.026602,0.027176,0.000000,0.012989,0.000000,0.012989,0.012704,0.012989,0.012704,0.000007,111210.049998,111210.049998,111210.049998
uncorr,0.000000,0.027864,0.027167,0.000000,0.013201,0.000000,0.013201,0.013451,0.013201,0.013451,0.000009,90001.033730,90001.033730,90001.033730
uncorr,0.000000,0.028049,0.026546,0.000000,0.012060,0.000000,0.012060,0.013246,0.012060,0.013246,0.000011,127569.638422,127569.638422,127569.638422
uncorr,0.000000,0.026791,0.027444,0.000000,0.011518,0.000000,0.011518,0.013622,0.011518,0.013622,0.000012,115332.401833,115332.401833,115332.401833
uncorr,0.000000,0.027653,0.029225,0.000000,0.011300,0.000000,0.011300,0.012402,0.011300,0.012402,0.000010,170779.206703,170779.206703,170779.206703
uncorr,0.000000,0.027248,0.027199,0.000000,0.011619,0.000000,0.011619,0.012765,0.011619,0.012765,0.000011,133944.668010,133944.668010,133944.668010
uncorr,0.000000,0.025746,0.027287,0.000000,0.011437,0.000000,0.011437,0.012260,0.011437,0.012260,0.000009,101657.776472,101657.776472,101657.776472
uncorr,0.000000,0.025283,0.025772,0.000000,0.012095,0.000000,0.012095,0.011506,0.012095,0.011506,0.000011,94768.977167,94768.977167,94768.977167
uncorr,0.000000,0.025887,0.027538,0.000000,0.012988,0.000000,0.012988,0.011924,0.012988,0.011924,0.000009,108763.982142,108763.982142,108763.982142
uncorr,0.000000,0.025863,0.026473,0.000000,0.011901,0.000000,0.011901,0.011568,0.011901,0.011568,0.000022,92538.477320,92538.477320,92538.477320
uncorr,0.000000,0.028787,0.027026,0.000000,0.011751,0.000000,0.011751,0.014524,0.011751,0.014524,0.000012,149664.414796,149664.414796,149664.414796
uncorr,0.000000,0.026018,0.025996,0.000000,0.011135,0.000000,0.011135,0.012070,0.011135,0.012070,0.000009,137235.034202,137235.034202,137235.034202
uncorr,0.000000,0.025846,0.027805,0.000000,0.011431,0.000000,0.011431,0.011603,0.011431,0.011603,0.000010,127277.580422,127277.580422,127277.580422
uncorr,0.000000,0.025924,0.026125,0.000000,0.011229,0.000000,0.011229,0.012315,0.011229,0.012315,0.000008,136927.839398,136927.839398,136927.839398
uncorr,0.000000,0.025529,0.026201,0.000000,0.011729,0.000000,0.011729,0.011822,0.011729,0.011822,0.000008,121001.841768,121001.841768,121001.841768
uncorr,0.000000,0.025353,0.026402,0.000000,0.011866,0.000000,0.011866,0.012260,0.011866,0.012260,0.000008,136382.990257,136382.990257,136382.990257
uncorr,0.000000,0.026695,0.026080,0.000000,0.0
