typename,s_size_v1,s_size_v2,s_size_v1_1,s_size_v2_1,time_ks2_allocation,time_ks2_v2,time_ks2_v2_allocation_1,time_ks2_v2_1,time_ks2_v1_allocation,time_ks2_v1,time_ks2_v1_allocation_1,time_ks2_v1_1,time_original
uncorr,744,384,744,384,0.000013,0.002107,0.000010,0.000088,0.000020,0.002502,0.000017,0.000172,0.006435
uncorr,744,384,744,384,0.000013,0.002184,0.000010,0.000110,0.000031,0.002448,0.000016,0.000174,0.005857
uncorr,744,384,744,384,0.000009,0.001854,0.000007,0.000090,0.000014,0.002071,0.000014,0.000108,0.005263
uncorr,744,384,744,384,0.000018,0.001948,0.000011,0.000218,0.000023,0.002641,0.000014,0.000114,0.004727
uncorr,744,384,744,384,0.000012,0.001854,0.000008,0.000077,0.000014,0.002084,0.000014,0.000111,0.004204
uncorr,744,384,744,384,0.000008,0.001878,0.000008,0.000083,0.000014,0.002066,0.000014,0.000103,0.004077
uncorr,744,384,744,384,0.000009,0.001900,0.000008,0.000068,0.000014,0.002080,0.000014,0.000102,0.004205
uncorr,744,384,744,384,0.000008,0.001880,0.000007,0.000081,0.000014,0.002083,0.000014,0.000117,0.003838
uncorr,744,384,744,384,0.000007,0.001710,0.000006,0.000066,0.000013,0.001889,0.000015,0.000139,0.003669
uncorr,744,384,744,384,0.000007,0.001657,0.000007,0.000056,0.000013,0.001906,0.000012,0.000096,0.003604
uncorr,744,384,744,384,0.000007,0.001673,0.000007,0.000057,0.000013,0.001966,0.000014,0.000110,0.004002
uncorr,744,384,744,384,0.000007,0.001819,0.000008,0.000087,0.000014,0.001979,0.000012,0.000102,0.004061
uncorr,744,384,744,384,0.000009,0.001715,0.000006,0.000075,0.000014,0.002197,0.000015,0.000111,0.004353
uncorr,744,384,744,384,0.000008,0.001735,0.000006,0.000069,0.000012,0.002036,0.000015,0.000189,0.004930
uncorr,744,384,744,384,0.000009,0.001759,0.000006,0.000085,0.000013,0.001896,0.000013,0.000101,0.004813
uncorr,744,384,744,384,0.000008,0.001684,0.000007,0.000068,0.000013,0.001861,0.000013,0.000099,0.004198
uncorr,744,384,744,384,0.000011,0.001755,0.000008,0.000073,0.000014,0.001877,0.000012,0.000098,0.003729
uncorr,744,384,744,384,0.000007,0.001660,0.000007,0.000071,0.000013,0.001877,0.000012,0.000110,0.003673
uncorr,744,384,744,384,0.000007,0.001844,0.000007,0.000141,0.000016,0.001862,0.000012,0.000094,0.003693
uncorr,744,384,744,384,0.000007,0.001678,0.000007,0.000082,0.000013,0.001865,0.000012,0.000112,0.003661
uncorr,744,384,744,384,0.000007,0.001647,0.000006,0.000065,0.000013,0.001943,0.000012,0.000089,0.003640
uncorr,744,384,744,384,0.000008,0.001658,0.000006,0.000057,0.000013,0.001849,0.000012,0.000091,0.003632
uncorr,744,384,744,384,0.000007,0.001643,0.000006,0.000058,0.000013,0.001934,0.000012,0.000090,0.003604
uncorr,744,384,744,384,0.000007,0.001659,0.000006,0.000057,0.000012,0.001852,0.000013,0.000090,0.003620
uncorr,744,384,744,384,0.000007,0.001641,0.000007,0.000055,0.000012,0.001861,0.000013,0.000081,0.003664
uncorr,744,384,744,384,0.000007,0.001652,0.000007,0.000052,0.000012,0.001852,0.000013,0.000081,0.003612
uncorr,744,384,744,384,0.000007,0.001658,0.000006,0.000051,0.000012,0.001848,0.000012,0.000080,0.003662
uncorr,744,384,744,384,0.000007,0.001653,0.000007,0.000059,0.000012,0.001874,0.000013,0.000074,0.003605
uncorr,744,384,744,384,0.000006,0.001642,0.000007,0.000058,0.000012,0.001858,0.000013,0.000071,0.003606
uncorr,744,384,744,384,0.000007,0.001671,0.000007,0.000059,0.000013,0.001854,0.000012,0.000072,0.003610
uncorr,744,384,744,384,0.000007,0.001646,0.000007,0.000046,0.000013,0.001849,0.000012,0.000070,0.003599
uncorr,744,384,744,384,0.000007,0.001646,0.000007,0.000045,0.000013,0.001943,0.000013,0.000070,0.003626
uncorr,744,384,744,384,0.000007,0.001641,0.000006,0.000046,0.000012,0.001863,0.000012,0.000068,0.003618
uncorr,744,384,744,384,0.000007,0.001639,0.000007,0.000045,0.000012,0.001882,0.000012,0.000077,0.003628
uncorr,744,384,744,384,0.000006,0.001644,0.000006,0.000046,0.000012,0.001843,0.000012,0.000070,0.003640
uncorr,744,384,744,384,0.000007,0.001645,0.000007,0.000038,0.000012,0.001843,0.000012,0.000062,0.004019
uncorr,744,384,744,384,0.000011,0.001935,0.000008,0.000096,0.000014,0.002137,0.000012,0.000107,0.004566
uncorr,744,384,744,384,0.000008,0.001686,0.000007,0.000071,0.000013,0.001873,0.000012,0.000103,0.004039
uncorr,744,384,744,384,0.000008,0.001855,0.000008,0.000071,0.000018,0.001927,0.000012,0.000104,0.003820
uncorr,744,384,744,384,0.000007,0.001659,0.000006,0.000086,0.000013,0.001891,0.000013,0.000121,0.003707
uncorr,744,384,744,384,0.000023,0.001679,0.000007,0.000076,0.000013,0.001871,0.000012,0.000096,0.003636
uncorr,744,384,744,384,0.000007,0.001656,0.000007,0.000078,0.000014,0.001906,0.000014,0.000128,0.003623
uncorr,744,384,744,384,0.000007,0.001646,0.000017,0.000054,0.000013,0.001938,0.000012,0.000103,0.003625
uncorr,744,384,744,384,0.000007,0.001663,0.000007,0.000057,0.000012,0.001869,0.000012,0.000094,0.003644
uncorr,744,384,744,384,0.000008,0.001647,0.000007,0.000059,0.000012,0.001895,0.000013,0.000095,0.003648
uncorr,744,384,744,384,0.000007,0.001638,0.000006,0.000052,0.000013,0.001860,0.000012,0.000092,0.003713
uncorr,744,384,744,384,0.000008,0.001652,0.000006,0.000054,0.000012,0.001897,0.000012,0.000081,0.004095
uncorr,744,384,744,384,0.000008,0.001683,0.000007,0.000088,0.000013,0.001892,0.000012,0.000109,0.003917
uncorr,744,384,744,384,0.000008,0.001723,0.000006,0.000063,0.000013,0.001896,0.000013,0.000094,0.003977
uncorr,744,384,744,384,0.000008,0.001717,0.000008,0.000073,0.000018,0.001898,0.000013,0.000097,0.003817
uncorr,744,384,744,384,0.000008,0.001724,0.000006,0.000061,0.000013,0.002039,0.000013,0.000135,0.003711
uncorr,744,384,744,384,0.000007,0.001661,0.000006,0.000055,0.000012,0.001852,0.000012,0.000090,0.003714
uncorr,744,384,744,384,0.000008,0.001764,0.000007,0.000075,0.000015,0.001934,0.000014,0.000101,0.004100
uncorr,744,384,744,384,0.000008,0.001710,0.000007,0.000071,0.000014,0.001928,0.000013,0.000104,0.004117
uncorr,744,384,744,384,0.000025,0.001867,0.000008,0.000115,0.000014,0.001987,0.000013,0.000109,0.004189
uncorr,744,384,744,384,0.000009,0.001818,0.000006,0.000078,0.000014,0.001988,0.000012,0.000126,0.004081
uncorr,744,384,744,384,0.000008,0.001687,0.000007,0.000072,0.000012,0.001983,0.000012,0.000100,0.003729
