test: 1
cut: 1
div: 1
typename,time_original,time_columOpt_prealloc,time_columOpt_prealloc_V1,time_ks2_v1_nocol_noalloc,time_ks2_v1_allocation,time_ks2_allocation,time_ks2_v1_allocation,time_ks2_allocation,time_ks2_v1_allocation,time_ks2_allocation,time_fminknap,resOpt_v1,resOpt,resFmin
uncorr,0.000000,0.031212,0.032358,0.000000,0.013739,0.000000,0.013739,0.045287,0.013739,0.045287,0.000012,114939.935434,114939.935434,114939.935434
uncorr,0.000000,0.033886,0.032437,0.000000,0.013810,0.000000,0.013810,0.015303,0.013810,0.015303,0.000013,112442.536701,112442.536701,112442.536701
uncorr,0.000000,0.031213,0.032019,0.000000,0.013211,0.000000,0.013211,0.015599,0.013211,0.015599,0.000013,114756.690991,114756.690991,114756.690991
uncorr,0.000000,0.031243,0.032037,0.000000,0.013363,0.000000,0.013363,0.013611,0.013363,0.013611,0.000010,137038.659893,137038.659893,137038.659893
uncorr,0.000000,0.031501,0.031933,0.000000,0.013395,0.000000,0.013395,0.014381,0.013395,0.014381,0.000010,146653.255574,146653.255574,146653.255574
uncorr,0.000000,0.031046,0.031731,0.000000,0.013185,0.000000,0.013185,0.013544,0.013185,0.013544,0.000013,120641.561849,120641.561849,120641.561849
uncorr,0.000000,0.031631,0.036322,0.000000,0.014798,0.000000,0.014798,0.013535,0.014798,0.013535,0.000013,140533.473761,140533.473761,140533.473761
uncorr,0.000000,0.031845,0.032470,0.000000,0.013450,0.000000,0.013450,0.014420,0.013450,0.014420,0.000011,134152.137240,134152.137240,134152.137240
uncorr,0.000000,0.031633,0.031985,0.000000,0.013313,0.000000,0.013313,0.013930,0.013313,0.013930,0.000013,104372.608230,104372.608230,104372.608230
uncorr,0.000000,0.031971,0.033270,0.000000,0.013374,0.000000,0.013374,0.013649,0.013374,0.013649,0.000018,149371.911699,149371.911699,149371.911699
uncorr,0.000000,0.031352,0.031717,0.000000,0.013448,0.000000,0.013448,0.038405,0.013448,0.038405,0.000011,109513.879213,109513.879213,109513.879213
uncorr,0.000000,0.032539,0.031967,0.000000,0.013702,0.000000,0.013702,0.014774,0.013702,0.014774,0.000012,99593.250083,99593.250083,99593.250083
uncorr,0.000000,0.031560,0.032045,0.000000,0.013360,0.000000,0.013360,0.013986,0.013360,0.013986,0.000012,124751.975244,124751.975244,124751.975244
uncorr,0.000000,0.031278,0.031741,0.000000,0.013447,0.000000,0.013447,0.014364,0.013447,0.014364,0.000012,108258.047842,108258.047842,108258.047842
uncorr,0.000000,0.031303,0.032443,0.000000,0.013487,0.000000,0.013487,0.014232,0.013487,0.014232,0.000011,138467.486566,138467.486566,138467.486566
uncorr,0.000000,0.031707,0.031667,0.000000,0.013267,0.000000,0.013267,0.014174,0.013267,0.014174,0.000012,154762.599896,154762.599896,154762.599896
uncorr,0.000000,0.031243,0.032840,0.000000,0.013190,0.000000,0.013190,0.013589,0.013190,0.013589,0.000012,143773.041320,143773.041320,143773.041320
uncorr,0.000000,0.032870,0.032211,0.000000,0.013405,0.000000,0.013405,0.013651,0.013405,0.013651,0.000010,121374.119967,121374.119967,121374.119967
uncorr,0.000000,0.032607,0.032748,0.000000,0.014259,0.000000,0.014259,0.013908,0.014259,0.013908,0.000012,122335.778473,122335.778473,122335.778473
uncorr,0.000000,0.030967,0.032625,0.000000,0.013250,0.000000,0.013250,0.013873,0.013250,0.013873,0.000010,137442.933215,137442.933215,137442.933215
uncorr,0.000000,0.031255,0.031945,0.000000,0.013257,0.000000,0.013257,0.013529,0.013257,0.013529,0.000012,147465.443554,147465.443554,147465.443554
uncorr,0.000000,0.031239,0.031707,0.000000,0.013666,0.000000,0.013666,0.013519,0.013666,0.013519,0.000012,126127.305011,126127.305011,126127.305011
uncorr,0.000000,0.033479,0.031928,0.000000,0.013463,0.000000,0.013463,0.013471,0.013463,0.013471,0.000011,148231.125754,148231.125754,148231.125754
uncorr,0.000000,0.032334,0.032514,0.000000,0.014079,0.000000,0.014079,0.013742,0.014079,0.013742,0.000013,90794.169632,90794.169632,90794.169632
uncorr,0.000000,0.031382,0.032008,0.000000,0.013290,0.000000,0.013290,0.013512,0.013290,0.013512,0.000012,121692.153726,121692.153726,121692.153726
uncorr,0.000000,0.031210,0.032366,0.000000,0.013277,0.000000,0.013277,0.014060,0.013277,0.014060,0.000014,101739.302463,101739.302463,101739.302463
uncorr,0.000000,0.031387,0.036098,0.000000,0.013327,0.000000,0.013327,0.013739,0.013327,0.013739,0.000011,107215.033601,107215.033601,107215.033601
uncorr,0.000000,0.031358,0.031765,0.000000,0.013661,0.000000,0.013661,0.014092,0.013661,0.014092,0.000013,93805.585002,93805.585002,93805.585002
uncorr,0.000000,0.031531,0.033618,0.000000,0.013422,0.000000,0.013422,0.014161,0.013422,0.014161,0.000012,138292.857674,138292.857674,138292.857674
uncorr,0.000000,0.031552,0.031714,0.000000,0.013263,0.000000,0.013263,0.014190,0.013263,0.014190,0.000009,112877.668170,112877.668170,112877.668170
uncorr,0.000000,0.032589,0.031864,0.000000,0.013234,0.000000,0.013234,0.013507,0.013234,0.013507,0.000013,142299.260235,142299.260235,142299.260235
uncorr,0.000000,0.031242,0.033909,0.000000,0.013312,0.000000,0.013312,0.013734,0.013312,0.013734,0.000013,120270.632590,120270.632590,120270.632590
uncorr,0.000000,0.031133,0.031824,0.000000,0.013263,0.000000,0.013263,0.013542,0.013263,0.013542,0.000013,127885.414938,127885.414938,127885.414938
uncorr,0.000000,0.031200,0.031911,0.000000,0.013261,0.000000,0.013261,0.013501,0.013261,0.013501,0.000012,115158.510892,115158.510892,115158.510892
uncorr,0.000000,0.031952,0.035267,0.000000,0.013443,0.000000,0.013443,0.013407,0.013443,0.013407,0.000011,138038.808355,138038.808355,138038.808355
uncorr,0.000000,0.030969,0.031964,0.000000,0.013358,0.000000,0.013358,0.013800,0.013358,0.013800,0.000011,123226.501287,123226.501287,123226.501287
uncorr,0.000000,0.031282,0.040691,0.000000,0.013244,0.000000,0.013244,0.013591,0.013244,0.013591,0.000014,141708.119690,141708.119690,141708.119690
uncorr,0.000000,0.054590,0.033052,0.000000,0.014417,0.000000,0.014417,0.017253,0.014417,0.017253,0.000013,122258.961751,122258.961751,122258.961751
uncorr,0.000000,0.043098,0.043472,0.000000,0.019023,0.000000,0.019023,0.014727,0.019023,0.014727,0.000013,144935.557689,144935.557689,144935.557689
uncorr,0.000000,0.031474,0.035140,0.000000,0.018636,0.000000,0.018636,0.016218,0.018636,0.016218,0.000011,156619.341988,156619.341988,156619.341988
uncorr,0.000000,0.031771,0.041644,0.000000,0.013546,0.000000,0.013546,0.014857,0.013546,0.014857,0.000011,87137.454817,87137.454817,87137.454817
uncorr,0.000000,0.032153,0.031883,0.000000,0.013698,0.000000,0.013698,0.015172,0.013698,0.015172,0.000020,134690.935033,134690.935033,134690.935033
uncorr,0.000000,0.031181,0.038007,0.000000,0.013353,0.000000,0.013353,0.013833,0.013353,0.013833,0.000012,161975.374627,161975.374627,161975.374627
uncorr,0.000000,0.034730,0.031734,0.000000,0.013569,0.000000,0.013569,0.019721,0.013569,0.019721,0.000012,104304.506382,104304.506382,104304.506382
uncorr,0.000000,0.031159,0.032435,0.000000,0.013387,0.000000,0.013387,0.013669,0.013387,0.013669,0.000011,127175.985382,127175.985382,127175.985382
uncorr,0.000000,0.031337,0.031576,0.000000,0.013373,0.000000,0.013373,0.014244,0.013373,0.014244,0.000010,135920.867277,135920.867277,135920.867277
uncorr,0.000000,0.031332,0.031792,0.000000,0.013200,0.000000,0.013200,0.013602,0.013200,0.013602,0.000012,135151.546749,135151.546749,135151.546749
uncorr,0.000000,0.031626,0.032411,0.000000,0.013165,0.000000,0.013165,0.013618,0.013165,0.013618,0.000010,133563.998956,133563.998956,133563.998956
uncorr,0.000000,0.031070,0.031928,0.000000,0.014001,0.000000,0.014001,0.013388,0.014001,0.013388,0.000012,138662.280854,138662.280854,138662.280854
uncorr,0.000000,0.031514,0.034583,0.000000,0.014384,0.000000,0.014384,0.013624,0.014384,0.013624,0.000015,98849.556698,98849.556698,98849.556698
uncorr,0.000000,0.031615,0.033361,0.000000,0.013544,0.000000,0.013544,0.015838,0.013544,0.015838,0.000010,140056.955863,140056.955863,140056.955863
uncorr,0.000000,0.032490,0.031365,0.000000,0.013366,0.000000,0.013366,0.014225,0.013366,0.014225,0.000011,134266.867975,134266.867975,134266.867975
uncorr,0.000000,0.039795,0.031701,0.000000,0.013273,0.000000,0.013273,0.015240,0.013273,0.015240,0.000010,107622.823322,107622.823322,107622.823322
uncorr,0.000000,0.031750,0.032076,0.000000,0.013226,0.000000,0.013226,0.013820,0.013226,0.013820,0.000012,103327.998435,103327.998435,103327.998435
uncorr,0.000000,0.031684,0.035609,0.000000,0.013408,0.000000,0.013408,0.013681,0.013408,0.013681,0.000010,141087.888075,141087.888075,141087.888075
uncorr,0.000000,0.031049,0.031991,0.000000,0.013543,0.000000,0.013543,0.014111,0.013543,0.014111,0.000017,119658.989610,119658.989610,119658.989610
uncorr,0.000000,0.031824,0.031912,0.000000,0.013467,0.000000,0.013467,0.013636,0.013467,0.013636,0.000010,162396.803737,162396.803737,162396.803737
uncorr,0.000000,0.031452,0.032588,0.000000,0.013323,0.000000,0.013323,0.013500,0.013323,0.013500,0.000011,159879.812273,159879.812273,159879.812273
uncorr,0.000000,0.031971,0.031767,0.000000,0.013227,0.000000,0.013227,0.014010,0.013227,0.014010,0.000011,127641.169110,127641.169110,127641.169110
uncorr,0.000000,0.031067,0.032139,0.000000,0.013221,0.000000,0.013221,0.014407,0.013221,0.014407,0.000010,137114.408727,137114.408727,137114.408727
uncorr,0.000000,0.031696,0.031792,0.000000,0.013291,0.000000,0.013291,0.013750,0.013291,0.013750,0.000012,139303.588952,139303.588952,139303.588952
uncorr,0.000000,0.030982,0.031654,0.000000,0.013112,0.000000,0.013112,0.013512,0.013112,0.013512,0.000013,117683.228523,117683.228523,117683.228523
uncorr,0.000000,0.031781,0.031823,0.000000,0.013338,0.000000,0.013338,0.014619,0.013338,0.014619,0.000013,131890.854667,131890.854667,131890.854667
uncorr,0.000000,0.031408,0.031576,0.000000,0.013128,0.000000,0.013128,0.013442,0.013128,0.013442,0.000012,102753.399672,102753.399672,102753.399672
uncorr,0.000000,0.031283,0.031635,0.000000,0.013272,0.000000,0.013272,0.013484,0.013272,0.013484,0.000010,126267.095889,126267.095889,126267.095889
uncorr,0.000000,0.031022,0.031590,0.000000,0.013375,0.000000,0.013375,0.013582,0.013375,0.013582,0.000012,129259.439538,129259.439538,129259.439538
uncorr,0.000000,0.031278,0.033352,0.000000,0.013386,0.000000,0.013386,0.013451,0.013386,0.013451,0.000011,128307.827457,128307.827457,128307.827457
uncorr,0.000000,0.031184,0.033445,0.000000,0.013220,0.000000,0.013220,0.013729,0.013220,0.013729,0.000012,106946.915584,106946.915584,106946.915584
uncorr,0.000000,0.031355,0.031933,0.000000,0.013505,0.000000,0.013505,0.013913,0.013505,0.013913,0.000012,100229.062845,100229.062845,100229.062845
uncorr,0.000000,0.033189,0.033429,0.000000,0.013359,0.000000,0.013359,0.013670,0.013359,0.013670,0.000011,122108.342343,122108.342343,122108.342343
uncorr,0.000000,0.033141,0.034224,0.000000,0.013958,0.000000,0.013958,0.013807,0.013958,0.013807,0.000015,139348.516701,139348.516701,139348.516701
uncorr,0.000000,0.033147,0.031813,0.000000,0.013741,0.000000,0.013741,0.015265,0.013741,0.015265,0.000010,118620.970436,118620.970436,118620.970436
uncorr,0.000000,0.032600,0.031746,0.000000,0.014259,0.000000,0.014259,0.014290,0.014259,0.014290,0.000010,143488.758805,143488.758805,143488.758805
uncorr,0.000000,0.032159,0.032456,0.000000,0.013199,0.000000,0.013199,0.013864,0.013199,0.013864,0.000009,115285.307736,115285.307736,115285.307736
uncorr,0.000000,0.031478,0.031769,0.000000,0.013236,0.000000,0.013236,0.014523,0.013236,0.014523,0.000012,113991.637565,113991.637565,113991.637565
uncorr,0.000000,0.031462,0.031931,0.000000,0.013173,0.000000,0.013173,0.013747,0.013173,0.013747,0.000011,120850.214135,120850.214135,120850.214135
uncorr,0.000000,0.031388,0.031682,0.000000,0.013372,0.000000,0.013372,0.013691,0.013372,0.013691,0.000009,144563.537927,144563.537927,144563.537927
uncorr,0.000000,0.031040,0.031686,0.000000,0.013428,0.000000,0.013428,0.014231,0.013428,0.014231,0.000010,115029.852267,115029.852267,115029.852267
uncorr,0.000000,0.031377,0.031958,0.000000,0.013316,0.000000,0.013316,0.013529,0.013316,0.013529,0.000010,107628.485821,107628.485821,107628.485821
uncorr,0.000000,0.031445,0.031930,0.000000,0.013506,0.000000,0.013506,0.014078,0.013506,0.014078,0.000012,115933.600133,115933.600133,115933.600133
uncorr,0.000000,0.031606,0.032028,0.000000,0.014480,0.000000,0.014480,0.013518,0.014480,0.013518,0.000011,90131.694352,90131.694352,90131.694352
uncorr,0.000000,0.031730,0.031804,0.000000,0.013275,0.000000,0.013275,0.013579,0.013275,0.013579,0.000011,139952.488744,139952.488744,139952.488744
uncorr,0.000000,0.031184,0.035874,0.000000,0.013160,0.000000,0.013160,0.013523,0.013160,0.013523,0.000013,147196.793038,147196.793038,147196.793038
uncorr,0.000000,0.033552,0.031992,0.000000,0.013610,0.000000,0.013610,0.015436,0.013610,0.015436,0.000013,111601.011123,111601.011123,111601.011123
uncorr,0.000000,0.031637,0.034300,0.000000,0.013393,0.000000,0.013393,0.013866,0.013393,0.013866,0.000011,129931.922053,129931.922053,129931.922053
uncorr,0.000000,0.031054,0.038710,0.000000,0.013197,0.000000,0.013197,0.013712,0.013197,0.013712,0.000010,109155.024174,109155.024174,109155.024174
uncorr,0.000000,0.047770,0.033624,0.000000,0.017346,0.000000,0.017346,0.016903,0.017346,0.016903,0.000010,140740.883546,140740.883546,140740.883546
uncorr,0.000000,0.031656,0.055263,0.000000,0.015170,0.000000,0.015170,0.014361,0.015170,0.014361,0.000014,140956.217343,140956.217343,140956.217343
uncorr,0.000000,0.032135,0.033237,0.000000,0.013947,0.000000,0.013947,0.015984,0.013947,0.015984,0.000017,133842.909910,133842.909910,133842.909910
uncorr,0.000000,0.032207,0.039296,0.000000,0.015148,0.000000,0.015148,0.014872,0.015148,0.014872,0.000011,154970.630222,154970.630222,154970.630222
uncorr,0.000000,0.032488,0.041729,0.000000,0.013869,0.000000,0.013869,0.015974,0.013869,0.015974,0.000014,114793.361742,114793.361742,114793.361742
uncorr,0.000000,0.031119,0.037364,0.000000,0.013372,0.000000,0.013372,0.014235,0.013372,0.014235,0.000014,107507.826865,107507.826865,107507.826865
uncorr,0.000000,0.031479,0.032101,0.000000,0.013598,0.000000,0.013598,0.014836,0.013598,0.014836,0.000013,136192.279257,136192.279257,136192.279257
uncorr,0.000000,0.031176,0.031803,0.000000,0.013353,0.000000,0.013353,0.014051,0.013353,0.014051,0.000011,94315.048336,94315.048336,94315.048336
uncorr,0.000000,0.031219,0.032293,0.000000,0.013305,0.000000,0.013305,0.013679,0.013305,0.013679,0.000008,141811.608338,141811.608338,141811.608338
uncorr,0.000000,0.032012,0.031803,0.000000,0.013406,0.000000,0.013406,0.014379,0.013406,0.014379,0.000012,124639.329231,124639.329231,124639.329231
uncorr,0.000000,0.032175,0.031682,0.000000,0.013391,0.000000,0.013391,0.013458,0.013391,0.013458,0.000010,118810.419138,118810.419138,118810.419138
uncorr,0.000000,0.031272,0.031649,0.000000,0.013219,0.000000,0.013219,0.013535,0.013219,0.013535,0.000010,125112.625608,125112.625608,125112.625608
uncorr,0.000000,0.031303,0.031769,0.000000,0.013374,0.000000,0.013374,0.013615,0.013374,0.013615,0.000010,121023.614009,121023.614009,121023.614009
uncorr,0.000000,0.031743,0.031928,0.000000,0.013308,0.000000,0.013308,0.013548,0.013308,0.013548,0.000011,112972.499587,112972.499587,112972.499587
almost,0.000000,0.032362,0.032940,0.000000,0.007260,0.000000,0.007260,0.011341,0.007260,0.011341,0.000017,48652.552308,48652.552308,48652.552308
almost,0.000000,0.031208,0.032243,0.000000,0.007311,0.000000,0.007311,0.007590,0.007311,0.007590,0.000018,41457.198546,41457.198546,41457.198546
almost,0.000000,0.031449,0.035883,0.000000,0.007387,0.000000,0.007387,0.007420,0.007387,0.007420,0.000011,49426.862396,49426.862396,49426.862396
almost,0.000000,0.032296,0.031835,0.000000,0.007334,0.000000,0.007334,0.007628,0.007334,0.007628,0.000014,41108.330243,41108.330243,41108.330243
almost,0.000000,0.031761,0.032025,0.000000,0.007258,0.000000,0.007258,0.007459,0.007258,0.007459,0.000012,45817.752927,45817.752927,45817.752927
almost,0.000000,0.031583,0.032585,0.000000,0.007323,0.000000,0.007323,0.007653,0.007323,0.007653,0.000015,45154.339343,45154.339343,45154.339343
almost,0.000000,0.034827,0.032531,0.000000,0.007405,0.000000,0.007405,0.007626,0.007405,0.007626,0.000012,47764.185129,47764.185129,47764.185129
almost,0.000000,0.031282,0.031923,0.000000,0.007442,0.000000,0.007442,0.007578,0.007442,0.007578,0.000013,50679.187559,50679.187559,50679.187559
almost,0.000000,0.032120,0.032736,0.000000,0.010052,0.000000,0.010052,0.007342,0.010052,0.007342,0.000012,43115.514261,43115.514261,43115.514261
almost,0.000000,0.031936,0.031954,0.000000,0.007464,0.000000,0.007464,0.007455,0.007464,0.007455,0.000012,39855.371221,39855.371221,39855.371221
almost,0.000000,0.031306,0.035927,0.000000,0.007330,0.000000,0.007330,0.007560,0.007330,0.007560,0.000013,44006.116140,44006.116140,44006.116140
almost,0.000000,0.032121,0.032528,0.000000,0.007279,0.000000,0.007279,0.008516,0.007279,0.008516,0.000015,41858.311070,41858.311070,41858.311070
almost,0.000000,0.031215,0.033113,0.000000,0.007219,0.000000,0.007219,0.007552,0.007219,0.007552,0.000014,45054.089547,45054.089547,45054.089547
almost,0.000000,0.040392,0.044936,0.000000,0.007396,0.000000,0.007396,0.007511,0.007396,0.007511,0.000012,40448.127776,40448.127776,40448.127776
almost,0.000000,0.036016,0.043109,0.000000,0.007482,0.000000,0.007482,0.008183,0.007482,0.008183,0.000018,41892.801608,41892.801608,41892.801608
almost,0.000000,0.047839,0.034825,0.000000,0.008097,0.000000,0.008097,0.008306,0.008097,0.008306,0.000014,51515.421880,51515.421880,51515.421880
almost,0.000000,0.031519,0.039882,0.000000,0.011128,0.000000,0.011128,0.007483,0.011128,0.007483,0.000015,49136.152397,49136.152397,49136.152397
almost,0.000000,0.032017,0.039682,0.000000,0.007316,0.000000,0.007316,0.007581,0.007316,0.007581,0.000013,48799.339631,48799.339631,48799.339631
almost,0.000000,0.033769,0.032904,0.000000,0.007506,0.000000,0.007506,0.010303,0.007506,0.010303,0.000015,40661.219994,40661.219994,40661.219994
almost,0.000000,0.031921,0.035531,0.000000,0.007283,0.000000,0.007283,0.007579,0.007283,0.007579,0.000017,47596.244137,47596.244137,47596.244137
almost,0.000000,0.032693,0.031793,0.000000,0.007337,0.000000,0.007337,0.008767,0.007337,0.008767,0.000016,40455.841287,40455.841287,40455.841287
almost,0.000000,0.031544,0.031800,0.000000,0.007191,0.000000,0.007191,0.007878,0.007191,0.007878,0.000011,41925.927024,41925.927024,41925.927024
almost,0.000000,0.033368,0.032193,0.000000,0.007516,0.000000,0.007516,0.007680,0.007516,0.007680,0.000013,38909.342241,38909.342241,38909.342241
almost,0.000000,0.031900,0.031992,0.000000,0.007352,0.000000,0.007352,0.007524,0.007352,0.007524,0.000021,42681.901782,42681.901782,42681.901782
almost,0.000000,0.031676,0.032885,0.000000,0.007214,0.000000,0.007214,0.007891,0.007214,0.007891,0.000015,42971.425140,42971.425140,42971.425140
almost,0.000000,0.032556,0.032072,0.000000,0.007415,0.000000,0.007415,0.007907,0.007415,0.007907,0.000013,44840.791554,44840.791554,44840.791554
almost,0.000000,0.031402,0.031745,0.000000,0.007345,0.000000,0.007345,0.007538,0.007345,0.007538,0.000011,45684.201497,45684.201497,45684.201497
almost,0.000000,0.031728,0.032028,0.000000,0.007507,0.000000,0.007507,0.007419,0.007507,0.007419,0.000015,45510.072359,45510.072359,45510.072359
almost,0.000000,0.031459,0.031935,0.000000,0.007597,0.000000,0.007597,0.007342,0.007597,0.007342,0.000015,50063.148977,50063.148977,50063.148977
almost,0.000000,0.031365,0.032810,0.000000,0.007174,0.000000,0.007174,0.007608,0.007174,0.007608,0.000014,36650.209295,36650.209295,36650.209295
almost,0.000000,0.031532,0.032249,0.000000,0.007369,0.000000,0.007369,0.007630,0.007369,0.007630,0.000014,39791.192740,39791.192740,39791.192740
almost,0.000000,0.031555,0.035623,0.000000,0.007461,0.000000,0.007461,0.007484,0.007461,0.007484,0.000011,40063.467781,40063.467781,40063.467781
almost,0.000000,0.032011,0.031962,0.000000,0.007479,0.000000,0.007479,0.007667,0.007479,0.007667,0.000013,47767.844552,47767.844552,47767.844552
almost,0.000000,0.031763,0.032242,0.000000,0.007375,0.000000,0.007375,0.007614,0.007375,0.007614,0.000010,51312.016829,51312.016829,51312.016829
almost,0.000000,0.031824,0.034008,0.000000,0.007286,0.000000,0.007286,0.007597,0.007286,0.007597,0.000013,42836.046467,42836.046467,42836.046467
almost,0.000000,0.031426,0.034583,0.000000,0.007389,0.000000,0.007389,0.007789,0.007389,0.007789,0.000014,37988.224434,37988.224434,37988.224434
almost,0.000000,0.031630,0.033241,0.000000,0.007442,0.000000,0.007442,0.007533,0.007442,0.007533,0.000012,37431.377915,37431.377915,37431.377915
almost,0.000000,0.031665,0.031897,0.000000,0.007465,0.000000,0.007465,0.008626,0.007465,0.008626,0.000013,42178.817672,42178.817672,42178.817672
almost,0.000000,0.033767,0.033764,0.000000,0.009134,0.000000,0.009134,0.007566,0.009134,0.007566,0.000011,45319.084762,45319.084762,45319.084762
almost,0.000000,0.032446,0.035214,0.000000,0.007521,0.000000,0.007521,0.008710,0.007521,0.008710,0.000018,43437.004428,43437.004428,43437.004428
almost,0.000000,0.033517,0.032476,0.000000,0.007716,0.000000,0.007716,0.008570,0.007716,0.008570,0.000015,42834.988787,42834.988787,42834.988787
almost,0.000000,0.031992,0.032028,0.000000,0.007386,0.000000,0.007386,0.007430,0.007386,0.007430,0.000016,37355.340991,37355.340991,37355.340991
almost,0.000000,0.031934,0.031986,0.000000,0.007250,0.000000,0.007250,0.007599,0.007250,0.007599,0.000012,42272.731583,42272.731583,42272.731583
almost,0.000000,0.031476,0.032107,0.000000,0.007254,0.000000,0.007254,0.007431,0.007254,0.007431,0.000011,40887.739848,40887.739848,40887.739848
almost,0.000000,0.031510,0.033420,0.000000,0.007540,0.000000,0.007540,0.007350,0.007540,0.007350,0.000013,42358.343215,42358.343215,42358.343215
almost,0.000000,0.032172,0.031872,0.000000,0.007316,0.000000,0.007316,0.007538,0.007316,0.007538,0.000011,51340.497613,51340.497613,51340.497613
almost,0.000000,0.031720,0.032505,0.000000,0.007386,0.000000,0.007386,0.007548,0.007386,0.007548,0.000014,47659.367836,47659.367836,47659.367836
almost,0.000000,0.034793,0.032197,0.000000,0.007259,0.000000,0.007259,0.007591,0.007259,0.007591,0.000013,39609.440790,39609.440790,39609.440790
almost,0.000000,0.031360,0.032212,0.000000,0.007659,0.000000,0.007659,0.007663,0.007659,0.007663,0.000014,43312.849526,43312.849526,43312.849526
almost,0.000000,0.031573,0.032109,0.000000,0.007378,0.000000,0.007378,0.007417,0.007378,0.007417,0.000015,39367.601574,39367.601574,39367.601574
almost,0.000000,0.031734,0.032193,0.000000,0.007303,0.000000,0.007303,0.007387,0.007303,0.007387,0.000015,45113.071002,45113.071002,45113.071002
almost,0.000000,0.032697,0.033086,0.000000,0.007305,0.000000,0.007305,0.008734,0.007305,0.008734,0.000023,37867.305490,37867.305490,37867.305490
almost,0.000000,0.031775,0.031999,0.000000,0.007314,0.000000,0.007314,0.007525,0.007314,0.007525,0.000014,41917.179372,41917.179372,41917.179372
almost,0.000000,0.031020,0.032052,0.000000,0.007349,0.000000,0.007349,0.007423,0.007349,0.007423,0.000016,48085.486538,48085.486538,48085.486538
almost,0.000000,0.031515,0.032704,0.000000,0.007290,0.000000,0.007290,0.007450,0.007290,0.007450,0.000014,42903.455977,42903.455977,42903.455977
almost,0.000000,0.032541,0.032135,0.000000,0.007253,0.000000,0.007253,0.007754,0.007253,0.007754,0.000014,42764.123603,42764.123603,42764.123603
almost,0.000000,0.031827,0.032415,0.000000,0.007269,0.000000,0.007269,0.007677,0.007269,0.007677,0.000014,39133.752136,39133.752136,39133.752136
almost,0.000000,0.031458,0.031917,0.000000,0.007561,0.000000,0.007561,0.007648,0.007561,0.007648,0.000012,43975.176338,43975.176338,43975.176338
almost,0.000000,0.032471,0.032409,0.000000,0.007655,0.000000,0.007655,0.008514,0.007655,0.008514,0.000011,43430.506487,43430.506487,43430.506487
almost,0.000000,0.031591,0.034019,0.000000,0.007201,0.000000,0.007201,0.007929,0.007201,0.007929,0.000014,33349.006949,33349.006949,33349.006949
almost,0.000000,0.032223,0.032380,0.000000,0.007245,0.000000,0.007245,0.008199,0.007245,0.008199,0.000014,41037.025200,41037.025200,41037.025200
almost,0.000000,0.031701,0.032996,0.000000,0.007248,0.000000,0.007248,0.007714,0.007248,0.007714,0.000013,42775.002951,42775.002951,42775.002951
almost,0.000000,0.031986,0.031920,0.000000,0.007447,0.000000,0.007447,0.008296,0.007447,0.008296,0.000015,40110.065272,40110.065272,40110.065272
almost,0.000000,0.031847,0.032352,0.000000,0.007904,0.000000,0.007904,0.007336,0.007904,0.007336,0.000013,44508.539700,44508.539700,44508.539700
almost,0.000000,0.031611,0.033170,0.000000,0.007304,0.000000,0.007304,0.007390,0.007304,0.007390,0.000013,47334.628426,47334.628426,47334.628426
almost,0.000000,0.031950,0.032764,0.000000,0.007247,0.000000,0.007247,0.007766,0.007247,0.007766,0.000012,38018.925871,38018.925871,38018.925871
almost,0.000000,0.033723,0.031586,0.000000,0.007353,0.000000,0.007353,0.007871,0.007353,0.007871,0.000018,37893.892484,37893.892484,37893.892484
almost,0.000000,0.038946,0.031983,0.000000,0.007423,0.000000,0.007423,0.007996,0.007423,0.007996,0.000013,45795.431171,45795.431171,45795.431171
almost,0.000000,0.031586,0.032201,0.000000,0.007222,0.000000,0.007222,0.007491,0.007222,0.007491,0.000013,39746.263933,39746.263933,39746.263933
almost,0.000000,0.031117,0.032261,0.000000,0.007286,0.000000,0.007286,0.007442,0.007286,0.007442,0.000015,48267.125685,48267.125685,48267.125685
almost,0.000000,0.031414,0.043193,0.000000,0.009156,0.000000,0.009156,0.007558,0.009156,0.007558,0.000014,41185.367979,41185.367979,41185.367979
almost,0.000000,0.041327,0.037724,0.000000,0.008391,0.000000,0.008391,0.008529,0.008391,0.008529,0.000013,44136.053384,44136.053384,44136.053384
almost,0.000000,0.049595,0.042122,0.000000,0.015359,0.000000,0.015359,0.007659,0.015359,0.007659,0.000016,38229.498486,38229.498486,38229.498486
