typename,time_original,time_columOpt_prealloc,time_columOpt_prealloc_V1,time_fminknap,resOpt_v1,resOpt,resFmin
uncorr,0.000000,0.054465,0.054082,0.000016,186035.994203,186035.994203,186035.994203
uncorr,0.000000,0.054887,0.054086,0.000015,152157.889846,152157.889846,152157.889846
uncorr,0.000000,0.053968,0.054012,0.000015,170936.412986,170970.969174,170970.969174
uncorr,0.000000,0.054296,0.054556,0.000018,135189.050863,135189.050863,135189.050863
uncorr,0.000000,0.054239,0.053974,0.000014,178474.018669,178474.018669,178474.018669
uncorr,0.000000,0.053639,0.054771,0.000016,145331.335225,145331.335225,145331.335225
uncorr,0.000000,0.053775,0.054170,0.000019,192365.296180,192365.296180,192365.296180
uncorr,0.000000,0.053672,0.054002,0.000013,146681.468289,146681.468289,146681.468289
uncorr,0.000000,0.053738,0.053984,0.000015,179241.355604,179241.355604,179241.355604
uncorr,0.000000,0.053672,0.054570,0.000015,147025.309307,147025.309307,147025.309307
uncorr,0.000000,0.053819,0.053943,0.000014,150115.459727,150115.459727,150115.459727
uncorr,0.000000,0.054037,0.054331,0.000020,181266.957163,181266.957163,181266.957163
uncorr,0.000001,0.055667,0.055264,0.000017,178614.750242,178614.750242,178614.750242
uncorr,0.000000,0.055996,0.056867,0.000017,184316.413319,184316.413319,184316.413319
uncorr,0.000000,0.055941,0.054069,0.000016,181321.951638,181321.951638,181321.951638
uncorr,0.000000,0.056619,0.057033,0.000019,150408.769676,150408.769676,150408.769676
uncorr,0.000001,0.056785,0.057041,0.000014,188318.850020,188318.850020,188318.850020
uncorr,0.000000,0.057120,0.057227,0.000017,179137.625593,179137.625593,179137.625593
uncorr,0.000001,0.056684,0.057769,0.000016,174022.056812,174170.012936,174170.012936
uncorr,0.000000,0.056780,0.057009,0.000017,161678.669561,161948.796111,161948.796111
uncorr,0.000000,0.053502,0.053840,0.000013,146708.845890,146708.845890,146708.845890
uncorr,0.000000,0.054209,0.056082,0.000016,158682.383473,158682.383473,158682.383473
uncorr,0.000000,0.056411,0.054022,0.000016,189214.551366,189214.551366,189214.551366
uncorr,0.000000,0.053733,0.054131,0.000016,202658.254981,202658.254981,202658.254981
uncorr,0.000000,0.053649,0.054990,0.000016,149423.972620,149423.972620,149423.972620
uncorr,0.000000,0.054041,0.054182,0.000015,169599.440723,169599.440723,169599.440723
uncorr,0.000000,0.054145,0.054098,0.000016,176544.325778,176544.325778,176544.325778
uncorr,0.000000,0.054691,0.054179,0.000015,141409.855872,141409.855872,141409.855872
uncorr,0.000000,0.054088,0.054056,0.000016,141303.291880,141303.291880,141303.291880
uncorr,0.000000,0.053874,0.059266,0.000018,190153.329531,190153.329531,190153.329531
