typename,time_original,time_original_prealloc
uncorr,0.324983,0.081347
uncorr,0.094393,0.067060
uncorr,0.093617,0.147831
uncorr,0.096210,0.062658
uncorr,0.083084,0.062896
uncorr,0.082562,0.067754
uncorr,0.119616,0.065552
uncorr,0.086585,0.065100
uncorr,0.083596,0.067486
uncorr,0.082882,0.065595
uncorr,0.082784,0.062734
uncorr,0.083877,0.063814
uncorr,0.097799,0.062866
uncorr,0.082805,0.062439
uncorr,0.084803,0.063812
uncorr,0.082991,0.063013
uncorr,0.082631,0.062459
uncorr,0.084658,0.063938
uncorr,0.083792,0.063060
uncorr,0.083143,0.064453
uncorr,0.083855,0.062830
uncorr,0.083898,0.062991
uncorr,0.085337,0.074887
uncorr,0.106362,0.067529
uncorr,0.087608,0.070690
uncorr,0.088572,0.063075
uncorr,0.084546,0.064542
uncorr,0.083723,0.064078
uncorr,0.083228,0.064125
uncorr,0.083309,0.062972
uncorr,0.082693,0.063707
uncorr,0.085644,0.068444
uncorr,0.082190,0.062720
uncorr,0.106851,0.062891
uncorr,0.088058,0.063173
uncorr,0.084189,0.062649
uncorr,0.084718,0.063948
uncorr,0.083497,0.062791
uncorr,0.083317,0.063328
uncorr,0.085181,0.063262
uncorr,0.084471,0.062543
uncorr,0.082788,0.063893
uncorr,0.083494,0.063848
uncorr,0.084089,0.063968
uncorr,0.083142,0.067307
uncorr,0.089160,0.062775
uncorr,0.088017,0.062800
uncorr,0.084622,0.062792
uncorr,0.082646,0.062865
uncorr,0.083009,0.063800
uncorr,0.089841,0.062499
uncorr,0.083036,0.065579
uncorr,0.084651,0.064595
uncorr,0.084743,0.063025
uncorr,0.083121,0.062511
uncorr,0.084751,0.065656
uncorr,0.087747,0.062982
uncorr,0.086744,0.063359
uncorr,0.083294,0.064210
uncorr,0.084938,0.065269
uncorr,0.083727,0.062383
uncorr,0.083290,0.062618
uncorr,0.084339,0.063715
uncorr,0.082636,0.062954
uncorr,0.083342,0.062467
uncorr,0.084002,0.063231
uncorr,0.083912,0.063454
uncorr,0.088604,0.063981
uncorr,0.087944,0.063561
uncorr,0.087201,0.064614
uncorr,0.083382,0.063494
uncorr,0.083011,0.063457
uncorr,0.082543,0.063202
uncorr,0.085029,0.063007
uncorr,0.083312,0.064526
uncorr,0.088052,0.062724
uncorr,0.082309,0.063045
uncorr,0.083619,0.062965
uncorr,0.089163,0.063774
uncorr,0.087834,0.062615
uncorr,0.083017,0.063844
uncorr,0.085335,0.065715
uncorr,0.082966,0.062918
uncorr,0.083164,0.063733
uncorr,0.084594,0.063401
uncorr,0.083936,0.063323
uncorr,0.082480,0.063600
uncorr,0.083345,0.063139
uncorr,0.084127,0.063021
uncorr,0.088499,0.062935
uncorr,0.088004,0.063152
uncorr,0.084150,0.073852
uncorr,0.094132,0.073233
uncorr,0.093357,0.071183
uncorr,0.093519,0.073051
uncorr,0.086572,0.086703
uncorr,0.091405,0.071562
uncorr,0.093016,0.072620
uncorr,0.113482,0.071635
uncorr,0.099297,0.067348
almost,0.087933,0.065432
almost,0.084156,0.064096
almost,0.084843,0.065143
almost,0.087592,0.063291
almost,0.084624,0.062624
almost,0.084475,0.065695
almost,0.085832,0.063301
almost,0.085250,0.065792
almost,0.084741,0.063763
almost,0.101639,0.063291
almost,0.083641,0.065882
almost,0.083474,0.064983
almost,0.083890,0.062809
almost,0.082854,0.062867
almost,0.083829,0.064220
almost,0.083048,0.062594
almost,0.085280,0.062825
almost,0.084089,0.063537
almost,0.082731,0.064180
almost,0.082900,0.063391
almost,0.102067,0.065664
almost,0.087291,0.063764
almost,0.083247,0.063704
almost,0.083495,0.064894
almost,0.083989,0.063913
almost,0.084207,0.065580
almost,0.084276,0.064142
almost,0.087221,0.063727
almost,0.085455,0.063167
almost,0.088566,0.069026
almost,0.094626,0.064542
almost,0.093970,0.066116
almost,0.082958,0.062579
almost,0.083740,0.063837
almost,0.085969,0.062866
almost,0.083755,0.062423
almost,0.082639,0.065647
almost,0.084720,0.062719
almost,0.082861,0.063162
almost,0.082760,0.064083
almost,0.083139,0.063497
almost,0.106519,0.062927
almost,0.087235,0.063233
almost,0.083345,0.064971
almost,0.082519,0.066514
almost,0.083266,0.063108
almost,0.082223,0.062881
almost,0.084637,0.064530
almost,0.083327,0.064181
almost,0.085465,0.062511
almost,0.084830,0.065528
almost,0.082569,0.063525
almost,0.086555,0.063877
almost,0.088850,0.063133
almost,0.087948,0.063585
almost,0.088707,0.063286
almost,0.084500,0.063116
almost,0.083683,0.064744
almost,0.084351,0.064039
almost,0.083723,0.064381
almost,0.082512,0.063548
almost,0.083783,0.065248
almost,0.083130,0.062420
almost,0.087274,0.064003
almost,0.087494,0.063302
almost,0.090084,0.065140
almost,0.083931,0.063942
almost,0.086632,0.063887
almost,0.085134,0.065985
almost,0.087010,0.065830
almost,0.086569,0.068039
almost,0.083005,0.070643
almost,0.090422,0.069717
almost,0.085665,0.084274
almost,0.134822,0.067149
almost,0.084829,0.064296
almost,0.085474,0.064095
almost,0.087134,0.063395
almost,0.095029,0.091759
almost,0.116680,0.082880
almost,0.097379,0.082325
almost,0.096429,0.072536
almost,0.091879,0.085711
almost,0.122823,0.065853
almost,0.091451,0.066732
almost,0.084482,0.064690
almost,0.085061,0.066563
almost,0.089478,0.066471
almost,0.084147,0.063182
almost,0.084520,0.064689
almost,0.085901,0.063785
almost,0.085595,0.063219
almost,0.083336,0.067053
almost,0.083711,0.063998
almost,0.100353,0.065364
almost,0.082660,0.063390
almost,0.083112,0.062911
almost,0.084206,0.065837
almost,0.084907,0.063993
almost,0.085337,0.065151
inv,0.084292,0.061307
inv,0.083084,0.060838
inv,0.081120,0.062444
inv,0.081945,0.065295
inv,0.082069,0.063615
inv,0.093613,0.071903
inv,0.081373,0.064586
inv,0.081128,0.060499
inv,0.082165,0.060776
inv,0.082818,0.063758
inv,0.087694,0.063109
inv,0.082895,0.061489
inv,0.082003,0.060801
inv,0.082921,0.062507
inv,0.081706,0.061326
inv,0.082522,0.062344
inv,0.090151,0.061187
inv,0.083357,0.065329
inv,0.083577,0.062318
inv,0.081366,0.061530
inv,0.081191,0.061758
inv,0.086394,0.061281
inv,0.081385,0.063247
inv,0.081156,0.063041
inv,0.083653,0.061173
inv,0.081851,0.061100
inv,0.082770,0.063961
inv,0.100268,0.062335
inv,0.083757,0.063735
inv,0.089282,0.063950
inv,0.082119,0.062017
inv,0.081446,0.063533
inv,0.082166,0.062463
inv,0.084551,0.061223
inv,0.081600,0.065844
inv,0.081533,0.062571
inv,0.081125,0.060883
inv,0.082521,0.062976
inv,0.088129,0.060654
inv,0.080741,0.061436
inv,0.083199,0.060722
inv,0.081492,0.061407
inv,0.081005,0.062734
inv,0.082284,0.063114
inv,0.081919,0.062053
inv,0.082984,0.062843
inv,0.083797,0.061393
inv,0.081525,0.063088
inv,0.084019,0.062490
inv,0.098106,0.062007
inv,0.082072,0.062680
inv,0.081896,0.063963
inv,0.081547,0.061857
inv,0.085508,0.061486
inv,0.085400,0.062803
inv,0.083144,0.063603
inv,0.081518,0.060856
inv,0.082882,0.061880
inv,0.081091,0.064433
inv,0.081402,0.062080
inv,0.099986,0.061174
inv,0.084384,0.061744
inv,0.082681,0.063589
inv,0.083139,0.064432
inv,0.081976,0.061984
inv,0.081934,0.064380
inv,0.081336,0.061062
inv,0.081291,0.061378
inv,0.081393,0.061923
inv,0.085916,0.060952
inv,0.082766,0.061554
inv,0.100110,0.062730
inv,0.083928,0.062103
inv,0.082246,0.062565
inv,0.084360,0.062088
inv,0.082049,0.061772
inv,0.081985,0.062305
inv,0.084981,0.061353
inv,0.084094,0.061149
inv,0.081621,0.064035
inv,0.081386,0.061585
inv,0.081147,0.061471
inv,0.099260,0.061958
inv,0.080594,0.061702
inv,0.080864,0.060705
inv,0.084169,0.061641
inv,0.083503,0.060648
inv,0.080995,0.064598
inv,0.080559,0.060665
inv,0.081638,0.060739
inv,0.081212,0.062044
inv,0.082508,0.061669
inv,0.081186,0.062890
inv,0.091591,0.061435
inv,0.080621,0.060513
inv,0.079541,0.062265
inv,0.083896,0.063176
inv,0.081105,0.060787
inv,0.080357,0.063828
inv,0.081347,0.063168
str,0.084179,0.064102
str,0.085506,0.063655
str,0.084513,0.065512
str,0.082140,0.064524
str,0.091498,0.062607
str,0.084905,0.063965
str,0.084860,0.064354
str,0.084044,0.064096
str,0.084209,0.064277
str,0.086568,0.062988
str,0.084222,0.064159
str,0.085449,0.064792
str,0.083087,0.063189
str,0.086231,0.063922
str,0.084747,0.064460
str,0.090497,0.062985
str,0.083405,0.064021
str,0.083440,0.062223
str,0.084817,0.063129
str,0.085139,0.065031
str,0.085347,0.062367
str,0.083874,0.063003
str,0.084621,0.063068
str,0.083209,0.062755
str,0.085688,0.063721
str,0.085647,0.063465
str,0.090779,0.063691
str,0.085322,0.064598
str,0.083125,0.063532
str,0.082847,0.061890
str,0.085653,0.063773
str,0.083444,0.062420
str,0.082581,0.065261
str,0.084521,0.063453
str,0.083624,0.064101
str,0.084242,0.064998
str,0.083986,0.062638
str,0.093346,0.064672
str,0.085295,0.063883
str,0.085086,0.062621
str,0.083022,0.065076
str,0.084047,0.064478
str,0.084275,0.062718
str,0.084507,0.065209
str,0.083861,0.063096
str,0.082528,0.062525
str,0.084956,0.064245
str,0.083545,0.064150
str,0.097995,0.067436
str,0.083812,0.071867
str,0.084679,0.065733
str,0.089986,0.066241
str,0.084067,0.067985
str,0.083191,0.066713
str,0.084508,0.063418
str,0.083575,0.064219
str,0.085382,0.063921
str,0.082832,0.062677
str,0.086478,0.062715
str,0.090156,0.063087
str,0.083528,0.062362
str,0.085081,0.066870
str,0.084826,0.062284
str,0.083226,0.063825
str,0.084660,0.063484
str,0.083497,0.063076
str,0.082582,0.063792
str,0.085166,0.063032
str,0.082374,0.063498
str,0.083846,0.065985
str,0.085281,0.063258
str,0.084953,0.065969
str,0.086862,0.062626
str,0.082972,0.062903
str,0.084222,0.064820
str,0.084722,0.063474
str,0.084523,0.063867
str,0.084433,0.065512
str,0.083775,0.063599
str,0.082679,0.062830
str,0.085520,0.065351
str,0.084130,0.062780
str,0.082563,0.067543
str,0.084165,0.064057
