typename,time_original
uncorr,0.414488
uncorr,0.442332
uncorr,0.467393
uncorr,0.461116
uncorr,0.465707
uncorr,0.479709
uncorr,0.501799
uncorr,0.507835
uncorr,0.426784
uncorr,0.145355
almost,0.140603
almost,0.168993
almost,0.126539
almost,0.125988
almost,0.138641
almost,0.142044
almost,0.127671
almost,0.151158
almost,0.121905
almost,0.157253
inv,0.128096
inv,0.161479
inv,0.185520
inv,0.149891
inv,0.133156
inv,0.105203
inv,0.109941
inv,0.112365
inv,0.174536
inv,0.168777
str,0.147807
str,0.163433
str,0.155209
str,0.140965
str,0.176587
str,0.110965
str,0.273406
str,0.113420
str,0.149253
str,0.133432
weak,0.134913
weak,0.150543
weak,0.141501
weak,0.161066
weak,0.193388
weak,0.135581
weak,0.128045
weak,0.179295
weak,0.158671
weak,0.121327
